t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8018,6515,1503,6380,3768,0.59060,9,272,280,24,0,0,0,0,127.97,0.00,0,86,127.97,0,0,0,0,0,0,24038,0
2,8029,6523,1506,6382,4270,0.66907,8,272,280,30,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
3,8007,6510,1497,6315,4718,0.74711,7,272,272,23,0,0,0,0,127.98,0.01,1,86,127.98,0,0,0,0,0,0,24038,0
4,8006,6501,1505,6286,4427,0.70426,8,272,280,26,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
5,8006,6505,1501,6311,4501,0.71320,8,272,280,24,0,0,0,0,127.98,0.01,1,86,127.98,0,0,0,0,0,0,24038,0
6,8005,6504,1501,6326,4561,0.72099,8,272,272,23,0,0,0,0,127.98,0.00,0,86,127.98,0,0,0,0,0,0,24038,0
7,8009,6508,1501,6362,4614,0.72524,8,272,272,23,0,0,0,0,127.97,0.15,3,86,127.97,0,0,0,0,0,0,24038,0
8,8009,6509,1500,6432,4091,0.63604,8,272,280,2624,1,0,1,0,127.97,0.02,2,87,127.97,0,0,0,0,0,0,25053,46
9,8021,6517,1504,6614,4146,0.62685,8,272,288,2752,1,1,0,0,127.98,0.14,7,97,127.98,0,0,0,0,0,0,30973,2849
10,8007,6503,1504,6568,3781,0.57567,8,272,288,2688,1,1,0,0,127.98,0.40,9,100,127.98,0,0,0,0,0,0,38811,7478
11,8008,6507,1501,6554,2949,0.44995,264,272,296,2688,1,0,0,0,127.98,0.00,0,100,127.98,0,0,0,0,0,0,44567,9832
12,8004,6502,1502,6548,3112,0.47526,264,272,288,2368,1,1,0,0,127.98,0.11,2,103,127.98,0,0,0,0,0,0,49923,11796
13,8010,6509,1501,6522,3107,0.47639,264,272,288,136,1,0,0,0,127.98,0.07,3,103,127.98,0,0,0,0,0,0,54211,12510
14,8008,6507,1501,6530,2972,0.45513,264,272,288,2304,1,1,0,0,127.98,0.14,8,100,127.98,0,0,0,0,0,0,58423,13220
15,8013,6512,1501,6557,2806,0.42794,264,272,296,496,1,0,0,0,127.98,0.20,3,100,127.98,0,0,0,0,0,0,63315,14602
16,8010,6508,1502,6546,3157,0.48228,264,272,296,1920,1,0,0,0,127.98,0.02,2,100,127.98,0,0,0,0,0,0,68662,16515
17,8035,6527,1508,6560,2412,0.36768,264,272,288,2176,1,1,0,0,127.98,3.61,3,103,127.98,0,0,0,0,0,0,73117,17463
18,8042,6535,1507,6555,3122,0.47628,264,272,288,1984,1,0,0,0,127.98,1.59,3,103,127.98,0,0,0,0,0,0,77780,18628
