t,type,level,bytes
-29.914,flush_begin,0,0
-29.886,flush_end,0,6638552
-29.878,flush_begin,0,0
-29.852,flush_end,0,6638554
-29.843,flush_begin,0,0
-29.816,flush_end,0,6638553
-29.807,flush_begin,0,0
-29.780,flush_end,0,6638553
-29.771,flush_begin,0,0
-29.744,flush_end,0,6638553
-29.735,flush_begin,0,0
-29.708,flush_end,0,6638554
-29.699,flush_begin,0,0
-29.672,flush_end,0,6638552
-29.663,flush_begin,0,0
-29.636,flush_end,0,6638554
-29.627,flush_begin,0,0
-29.600,flush_end,0,6638554
-29.591,flush_begin,0,0
-29.564,flush_end,0,6638552
-29.555,flush_begin,0,0
-29.527,flush_end,0,6638553
-29.519,flush_begin,0,0
-29.492,flush_end,0,6638553
-29.483,flush_begin,0,0
-29.455,flush_end,0,6638554
-29.447,flush_begin,0,0
-29.419,flush_end,0,6638552
-29.411,flush_begin,0,0
-29.383,flush_end,0,6638554
-29.375,flush_begin,0,0
-29.348,flush_end,0,6638554
-29.330,trivial_move,3,6638552
-29.330,flush_begin,0,0
-29.302,flush_end,0,6638552
-29.285,trivial_move,3,6638554
-29.285,flush_begin,0,0
-29.258,flush_end,0,6638555
-29.239,trivial_move,3,6638553
-29.239,flush_begin,0,0
-29.213,flush_end,0,6638553
-29.195,trivial_move,3,6638553
-29.195,flush_begin,0,0
-29.168,flush_end,0,6638553
-29.149,trivial_move,3,6638553
-29.149,flush_begin,0,0
-29.122,flush_end,0,6638552
-29.103,trivial_move,3,6638554
-29.103,flush_begin,0,0
-29.075,flush_end,0,6638554
-29.058,trivial_move,3,6638552
-29.058,flush_begin,0,0
-29.031,flush_end,0,6638554
-29.013,trivial_move,3,6638554
-29.013,flush_begin,0,0
-28.985,flush_end,0,6638552
-28.967,trivial_move,3,6638554
-28.967,flush_begin,0,0
-28.940,flush_end,0,6638554
-28.923,trivial_move,3,6638552
-28.923,flush_begin,0,0
-28.894,flush_end,0,6638553
-28.877,trivial_move,3,6638553
-28.877,flush_begin,0,0
-28.850,flush_end,0,6638553
-28.831,trivial_move,3,6638553
-28.831,flush_begin,0,0
-28.804,flush_end,0,6638553
-28.786,trivial_move,3,6638554
-28.786,flush_begin,0,0
-28.759,flush_end,0,6638554
-28.740,trivial_move,3,6638552
-28.740,flush_begin,0,0
-28.713,flush_end,0,6638553
-28.696,trivial_move,3,6638554
-28.696,flush_begin,0,0
-28.669,flush_end,0,6638552
-28.652,trivial_move,3,6638554
-28.652,flush_begin,0,0
-28.625,flush_end,0,6638554
-28.607,trivial_move,3,6638552
-28.607,flush_begin,0,0
-28.579,flush_end,0,6638553
-28.561,trivial_move,3,6638555
-28.561,flush_begin,0,0
-28.534,flush_end,0,6638553
-28.516,trivial_move,3,6638553
-28.516,flush_begin,0,0
-28.488,flush_end,0,6638553
-28.470,trivial_move,3,6638553
-28.470,flush_begin,0,0
-28.443,flush_end,0,6638555
-28.424,trivial_move,3,6638552
-28.424,flush_begin,0,0
-28.397,flush_end,0,6638553
-28.379,trivial_move,3,6638554
-28.379,flush_begin,0,0
-28.352,flush_end,0,6638553
-28.333,trivial_move,3,6638554
-28.333,flush_begin,0,0
-28.306,flush_end,0,6638554
-28.288,trivial_move,3,6638552
-28.288,flush_begin,0,0
-28.260,flush_end,0,6638552
-28.242,trivial_move,3,6638554
-28.242,flush_begin,0,0
-28.215,flush_end,0,6638553
-28.197,trivial_move,3,6638553
-28.197,flush_begin,0,0
-28.168,flush_end,0,6638553
-28.150,trivial_move,3,6638553
-28.150,flush_begin,0,0
-28.123,flush_end,0,6638554
-28.103,trivial_move,3,6638553
-28.103,flush_begin,0,0
-28.075,flush_end,0,6638553
-28.057,trivial_move,3,6638554
-28.057,flush_begin,0,0
-28.029,flush_end,0,6638553
-28.010,trivial_move,3,6638553
-28.010,flush_begin,0,0
-27.983,flush_end,0,6638554
-27.964,trivial_move,3,6638552
-27.964,flush_begin,0,0
-27.937,flush_end,0,6638552
-27.918,trivial_move,3,6638554
-27.918,flush_begin,0,0
-27.890,flush_end,0,6638554
-27.872,trivial_move,3,6638553
-27.872,flush_begin,0,0
