t,type,level,bytes
-29.923,flush_begin,0,0
-29.899,flush_end,0,6638552
-29.889,flush_begin,0,0
-29.864,flush_end,0,6638554
-29.855,flush_begin,0,0
-29.830,flush_end,0,6638553
-29.821,flush_begin,0,0
-29.796,flush_end,0,6638553
-29.786,flush_begin,0,0
-29.760,flush_end,0,6638553
-29.751,flush_begin,0,0
-29.726,flush_end,0,6638554
-29.717,flush_begin,0,0
-29.691,flush_end,0,6638552
-29.682,flush_begin,0,0
-29.657,flush_end,0,6638554
-29.648,flush_begin,0,0
-29.624,flush_end,0,6638554
-29.615,flush_begin,0,0
-29.590,flush_end,0,6638552
-29.580,flush_begin,0,0
-29.556,flush_end,0,6638553
-29.547,flush_begin,0,0
-29.522,flush_end,0,6638553
-29.512,flush_begin,0,0
-29.487,flush_end,0,6638554
-29.479,flush_begin,0,0
-29.454,flush_end,0,6638552
-29.445,flush_begin,0,0
-29.420,flush_end,0,6638554
-29.411,flush_begin,0,0
-29.386,flush_end,0,6638554
-29.368,trivial_move,3,6638552
-29.368,flush_begin,0,0
-29.344,flush_end,0,6638552
-29.327,trivial_move,3,6638554
-29.327,flush_begin,0,0
-29.302,flush_end,0,6638555
-29.286,trivial_move,3,6638553
-29.286,flush_begin,0,0
-29.261,flush_end,0,6638553
-29.243,trivial_move,3,6638553
-29.243,flush_begin,0,0
-29.218,flush_end,0,6638553
-29.198,trivial_move,3,6638553
-29.198,flush_begin,0,0
-29.173,flush_end,0,6638552
-29.157,trivial_move,3,6638554
-29.157,flush_begin,0,0
-29.131,flush_end,0,6638554
-29.115,trivial_move,3,6638552
-29.115,flush_begin,0,0
-29.090,flush_end,0,6638554
-29.072,trivial_move,3,6638554
-29.072,flush_begin,0,0
-29.046,flush_end,0,6638552
-29.030,trivial_move,3,6638554
-29.029,flush_begin,0,0
-29.004,flush_end,0,6638554
-28.989,trivial_move,3,6638552
-28.988,flush_begin,0,0
-28.963,flush_end,0,6638553
-28.945,trivial_move,3,6638553
-28.945,flush_begin,0,0
-28.921,flush_end,0,6638553
-28.902,trivial_move,3,6638553
-28.902,flush_begin,0,0
-28.877,flush_end,0,6638553
-28.859,trivial_move,3,6638554
-28.859,flush_begin,0,0
-28.834,flush_end,0,6638554
-28.816,trivial_move,3,6638552
-28.816,flush_begin,0,0
-28.792,flush_end,0,6638553
-28.776,trivial_move,3,6638554
-28.776,flush_begin,0,0
-28.750,flush_end,0,6638552
-28.734,trivial_move,3,6638554
-28.733,flush_begin,0,0
-28.709,flush_end,0,6638554
-28.691,trivial_move,3,6638552
-28.691,flush_begin,0,0
-28.666,flush_end,0,6638553
-28.657,flush_begin,0,0
-28.633,flush_end,0,6638553
-28.617,trivial_move,3,6638555
-28.617,flush_begin,0,0
-28.592,flush_end,0,6638553
-28.574,trivial_move,3,6638553
