t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8006,6503,1503,6364,5708,0.89692,8,272,280,52,0,0,0,0,255.97,10.64,6,86,255.97,24038,109011,0,0,135196,23432,24038,24038
2,8007,6506,1501,6347,5925,0.93351,7,264,280,59,0,0,0,0,255.97,9.93,5,86,255.97,0,109433,0,0,135196,23434,24038,24038
3,8004,6503,1501,6312,5914,0.93695,7,264,272,25,0,0,0,0,255.97,9.15,6,86,255.97,0,109831,0,0,135196,23434,24038,24038
4,8007,6504,1503,6318,5605,0.88715,8,264,272,23,0,0,0,0,255.97,9.57,5,86,255.97,0,110513,49,0,135196,23434,24038,24038
5,8007,6506,1501,6327,5542,0.87593,7,264,272,24,0,0,0,0,255.97,15.49,9,86,255.97,0,111228,134,0,135196,23434,24038,24038
6,8006,6509,1497,6350,5416,0.85291,7,272,280,42,0,0,0,0,255.97,33.25,15,86,255.97,0,111946,387,0,135196,23434,24038,24038
7,8006,6503,1503,6370,5566,0.87378,7,272,280,34,0,0,0,0,255.97,30.97,15,86,255.97,0,112463,746,0,135196,23434,24038,24038
8,8006,6503,1503,6363,5260,0.82665,8,272,288,46,0,0,0,0,255.96,27.56,14,86,255.96,0,113876,2114,0,136686,23434,24038,24038
9,8016,6513,1503,6591,5477,0.83098,7,272,280,2624,1,1,1,0,255.26,25.48,16,97,255.26,10371,116439,3224,0,139345,23638,27006,26789
10,8014,6511,1503,6572,5721,0.87051,7,272,280,64,1,0,0,0,255.97,26.48,14,97,255.97,0,117404,4189,0,141670,23774,29762,28273
11,8025,6521,1504,6590,5884,0.89287,7,272,280,51,1,0,0,0,255.97,40.14,18,97,255.97,0,118688,5473,0,144850,23890,32896,31048
12,8038,6529,1509,6606,5559,0.84151,7,272,280,51,1,0,0,0,255.96,50.20,18,97,255.96,0,121022,7807,0,148078,23994,36057,33892
13,8028,6523,1505,6587,5151,0.78199,7,272,280,2944,1,1,0,0,228.00,41.75,17,100,228.01,5003,125720,12396,0,150562,24659,39009,35840
14,8007,6506,1501,6545,5050,0.77158,8,272,280,48,1,0,0,0,244.86,61.01,22,100,244.87,0,125720,12396,0,153382,25062,41077,37074
15,8045,6537,1508,6600,4483,0.67924,8,272,288,86,1,0,0,0,255.97,62.16,21,100,255.97,0,126711,13387,0,156061,25200,44198,39275
16,8007,6505,1502,6575,4538,0.69019,9,272,288,64,1,0,0,0,255.97,63.10,21,100,255.97,0,127519,14195,0,157800,25369,46251,39401
17,8008,6507,1501,6566,4809,0.73241,8,272,288,40,1,0,0,0,255.97,73.54,25,100,255.97,0,128755,15431,0,160028,25636,48143,39843
18,8006,6505,1501,6541,5319,0.81318,7,272,280,208,1,1,0,0,247.71,64.73,20,103,247.71,3928,129019,15643,0,162536,26443,50760,41424
19,8004,6503,1501,6524,5526,0.84703,7,272,280,54,1,0,0,0,255.97,62.08,19,103,255.97,0,129168,15792,0,164582,27280,52438,41427
20,8004,6504,1500,6536,5047,0.77218,8,272,288,48,1,0,0,0,255.97,61.35,17,103,255.97,0,130060,16684,0,166628,27882,54778,42171
21,8006,6505,1501,6514,4499,0.69067,9,272,288,2560,1,0,0,0,255.97,66.60,19,103,255.97,0,131514,17733,0,169269,28446,57446,43932
22,8045,6536,1509,6560,4533,0.69101,9,272,288,2816,1,1,0,0,240.76,60.79,17,100,240.77,4525,136078,20259,0,171300,29167,59822,44810
23,8005,6504,1501,6502,4762,0.73239,9,272,288,1824,1,0,0,0,255.94,61.46,18,100,255.94,0,136527,20298,0,174082,30268,62438,46649
24,8007,6506,1501,6473,4791,0.74015,8,280,296,55,1,0,0,0,255.97,55.43,16,100,255.97,0,139266,20492,0,176128,31580,64513,47109
25,8005,6504,1501,6492,4669,0.71919,8,280,312,2688,1,0,0,0,255.97,65.63,19,100,255.97,0,142314,20718,0,178464,32550,67047,48489
26,8035,6528,1507,6517,4604,0.70646,8,272,296,70,1,0,0,0,255.97,66.75,18,100,255.97,0,144532,20981,0,180818,33065,69112,49294
27,8046,6537,1509,6475,4853,0.74950,7,272,280,832,1,1,0,0,243.82,46.46,15,97,243.83,4071,146722,22619,0,182787,34022,71474,50022
28,8004,6506,1498,6432,5054,0.78576,7,272,280,50,1,0,0,0,255.83,59.72,21,97,255.83,0,146937,22651,0,184982,34916,73539,50577
29,8007,6504,1503,6409,5050,0.78795,6,272,280,44,1,0,0,0,255.97,66.28,21,97,255.97,0,148870,22986,0,187615,35471,75600,51608
30,8006,6504,1502,6411,5041,0.78630,7,272,280,47,1,0,0,0,255.97,64.96,21,97,255.97,0,150919,23237,0,189720,35835,77975,52425
31,8044,6537,1507,6496,5193,0.79942,7,272,280,51,1,0,0,0,255.97,63.53,21,97,255.97,0,152995,23446,0,191767,36235,80568,53436
