t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8019,6517,1502,6394,2866,0.44823,256,272,280,29,0,0,0,0,63.96,0.00,0,86,63.96
2,8032,6525,1507,6400,3344,0.52250,8,264,280,26,0,0,0,0,63.96,0.00,0,86,63.96
3,8014,6512,1502,6308,3760,0.59607,7,272,280,25,0,0,0,0,63.96,0.02,1,86,63.96
4,8021,6516,1505,6324,3688,0.58318,6,264,280,25,0,0,0,0,63.96,0.00,0,86,63.96
5,8011,6512,1499,6332,3759,0.59365,6,264,272,22,0,0,0,0,63.96,0.03,1,86,63.96
6,8016,6510,1506,6367,3556,0.55850,7,264,280,31,0,0,0,0,63.96,0.00,0,86,63.96
7,8009,6510,1499,6342,3581,0.56465,7,264,280,25,0,0,0,0,63.96,0.00,0,86,63.96
8,8014,6509,1505,7608,3507,0.46096,7,264,280,2304,1,0,1,0,63.96,0.01,1,87,63.96
9,8030,6525,1505,12370,5749,0.46475,11,272,288,2688,1,1,0,0,63.96,0.12,7,97,63.96
10,8016,6512,1504,12546,5661,0.45122,15,272,288,2944,1,0,0,0,63.97,0.22,7,97,63.97
11,8018,6516,1502,10452,2387,0.22838,256,272,288,3264,1,1,0,0,60.04,0.03,1,100,60.05
12,8023,6518,1505,11110,3503,0.31530,256,272,288,2816,1,0,0,0,63.97,0.11,2,100,63.97
13,8008,6506,1502,10417,3314,0.31813,256,272,288,3008,1,1,0,0,62.71,0.27,6,103,62.71
14,8008,6507,1501,11437,4243,0.37099,256,272,288,248,1,0,0,0,63.97,0.02,1,103,63.97
15,8026,6521,1505,11128,3608,0.32423,256,272,288,2048,1,0,0,0,63.97,0.00,0,103,63.97
16,8020,6515,1505,10317,2529,0.24513,256,272,288,3072,1,1,0,0,63.97,0.00,0,100,63.97
17,8016,6513,1503,11267,3758,0.33354,256,272,288,1632,1,0,0,0,63.97,0.00,0,100,63.97
18,8018,6515,1503,11473,4188,0.36503,256,272,288,2752,1,1,0,0,63.97,0.00,0,103,63.97
19,8026,6522,1504,11019,3590,0.32580,256,272,288,232,1,0,0,0,63.97,0.13,2,103,63.97
20,8010,6507,1503,10620,3027,0.28503,256,272,296,3456,1,1,0,0,59.00,0.08,6,100,59.00
21,8030,6526,1504,11205,3454,0.30826,256,272,288,56,1,0,0,0,63.97,0.14,2,100,63.97
22,8005,6504,1501,10220,2756,0.26967,256,272,288,2624,1,0,0,0,63.96,0.08,2,100,63.96
23,8013,6511,1502,10228,2734,0.26731,256,272,288,3008,1,1,0,0,57.06,0.00,1,103,57.06
24,8017,6512,1505,11676,4003,0.34284,256,272,280,2688,1,0,0,0,63.96,0.08,3,103,63.96
25,8020,6519,1501,10214,2260,0.22126,256,272,288,47,1,0,0,0,63.96,0.03,3,103,63.96
26,8023,6517,1506,10171,2184,0.21473,256,272,288,2304,1,1,0,0,63.41,0.09,2,106,63.41
27,8013,6511,1502,12024,4315,0.35887,256,264,280,2304,1,0,0,0,63.96,0.09,1,106,63.96
28,8022,6516,1506,10793,3448,0.31947,256,272,288,2176,1,1,0,0,63.96,0.09,5,109,63.96
29,8038,6534,1504,10432,3251,0.31164,256,272,280,50,1,0,0,0,63.97,0.02,1,109,63.97
30,8019,6513,1506,10823,3828,0.35369,248,272,280,3328,1,0,0,0,63.97,0.02,1,109,63.97
31,8022,6518,1504,10560,3544,0.33561,252,272,280,3392,1,1,0,0,63.96,0.02,1,112,63.96
32,8004,6504,1500,11009,3797,0.34490,256,272,280,3200,1,0,0,0,63.96,0.00,0,112,63.96
33,8014,6511,1503,10024,3338,0.33300,256,264,280,3008,0,1,0,0,51.51,0.10,4,115,51.51
34,8018,6518,1500,7547,3594,0.47622,21,264,280,1920,0,1,0,0,62.19,0.00,0,114,62.19
35,8019,6512,1507,6355,3331,0.52415,9,272,280,21,0,0,0,0,63.95,0.00,0,114,63.95
36,8018,6514,1504,6361,3339,0.52492,9,272,288,20,0,0,0,0,63.95,0.00,0,114,63.95
37,8023,6521,1502,6341,3530,0.55669,7,264,280,18,0,0,0,0,63.95,0.05,2,114,63.95
38,8024,6522,1502,6352,3564,0.56108,7,264,280,22,0,0,0,0,63.95,0.02,1,114,63.95
39,8003,6498,1505,6346,3214,0.50646,11,272,280,24,0,0,0,0,63.95,0.00,0,114,63.95
40,8005,6506,1499,6358,2691,0.42325,256,272,280,22,0,0,0,0,63.95,0.10,4,114,63.95
41,8007,6504,1503,6326,2453,0.38776,256,272,288,23,0,0,0,0,63.95,0.02,1,114,63.95
42,8018,6516,1502,6377,2472,0.38764,256,272,280,21,0,0,0,0,63.95,0.00,0,114,63.95
43,8005,6504,1501,6405,2450,0.38251,256,272,280,23,0,0,0,0,63.95,0.04,1,114,63.95
44,8021,6516,1505,6424,2142,0.33344,256,272,280,21,0,0,0,0,63.95,0.00,1,114,63.95
45,8018,6514,1504,6419,2780,0.43309,256,272,288,24,0,0,0,0,63.95,0.15,2,114,63.95
46,8026,6521,1505,9507,3474,0.36541,256,272,288,2880,1,1,1,0,63.95,0.19,8,126,63.95
47,8003,6503,1500,11326,3828,0.33798,256,272,288,80,1,0,0,0,63.96,0.02,2,126,63.96
48,8035,6528,1507,11352,3845,0.33871,256,272,288,3456,1,1,0,0,51.38,0.41,7,125,51.39
49,8016,6513,1503,10592,2531,0.23895,256,272,288,140,1,0,0,0,63.96,0.03,1,125,63.96
50,8021,6522,1499,10815,3051,0.28211,256,272,288,2304,1,0,0,0,63.96,0.00,0,125,63.97
51,8019,6512,1507,11422,3910,0.34232,256,264,288,3264,1,1,0,0,63.97,0.06,2,124,63.97
52,8037,6529,1508,10626,3165,0.29785,256,272,288,32,1,0,0,0,63.97,0.22,4,124,63.97
53,8023,6519,1504,11028,3843,0.34848,256,272,280,3008,1,1,0,0,60.00,0.13,1,122,60.00
54,8032,6525,1507,11217,4254,0.37925,228,272,288,2048,1,0,0,0,63.97,0.07,1,122,63.97
55,8030,6525,1505,10829,3934,0.36328,18,272,288,2816,1,1,0,0,58.15,0.07,2,121,58.16
56,8025,6519,1506,10296,3461,0.33615,13,272,288,29,1,0,0,0,63.97,0.13,4,121,63.97
57,8003,6503,1500,12132,5587,0.46052,11,272,280,3456,1,0,0,0,63.96,0.04,1,121,63.96
58,8002,6503,1499,10538,3616,0.34314,216,272,288,3264,1,1,0,0,63.91,0.00,0,120,63.91
59,8024,6518,1506,12509,5550,0.44368,244,272,288,2880,1,0,0,0,63.96,0.21,5,120,63.96
60,8033,6527,1506,11882,4472,0.37637,256,272,280,3136,1,1,0,0,63.16,0.23,4,119,63.16
61,8018,6516,1502,11240,3970,0.35320,256,272,280,48,1,0,0,0,63.96,0.04,2,119,63.96
62,8023,6517,1506,10598,2703,0.25505,256,272,288,2176,1,1,0,0,63.22,0.40,4,118,63.22
63,8001,6502,1499,10856,3091,0.28473,256,272,288,1952,1,0,0,0,63.96,0.05,3,118,63.96
64,8017,6513,1504,10559,2648,0.25078,256,272,288,2752,1,1,0,0,63.96,0.12,2,116,63.96
65,8004,6503,1501,10446,2550,0.24411,256,272,288,264,1,0,0,0,63.96,0.17,3,116,63.96
66,8013,6511,1502,10507,2905,0.27648,256,272,288,240,1,0,0,0,63.96,0.00,0,116,63.96
67,8030,6526,1504,10824,3413,0.31532,256,272,288,1728,1,1,0,0,63.96,0.02,2,115,63.96
68,8030,6528,1502,10164,2885,0.28384,256,272,288,57,1,0,0,0,63.96,0.00,1,115,63.96
69,8017,6512,1505,11906,4804,0.40349,256,272,280,2816,1,1,0,0,59.70,0.25,4,114,59.71
70,8018,6512,1506,10648,3433,0.32241,256,272,280,344,1,0,0,0,63.95,0.10,3,114,63.95
71,8027,6523,1504,9819,3299,0.33598,256,272,288,2752,0,1,0,0,63.95,0.00,1,113,63.95
72,8022,6516,1506,6425,2271,0.35346,256,272,288,20,0,0,0,0,63.95,0.08,2,113,63.95
73,8038,6532,1506,6450,2407,0.37318,256,272,280,21,0,0,0,0,63.95,0.08,1,113,63.95
74,8038,6532,1506,6406,2614,0.40805,256,272,288,22,0,0,0,0,63.95,0.07,1,113,63.95
75,8037,6530,1507,6414,2843,0.44325,256,272,288,20,0,0,0,0,63.95,0.17,3,113,63.95
76,8019,6514,1505,6409,2931,0.45733,256,272,288,23,0,0,0,0,63.95,0.00,0,113,63.95
77,8021,6517,1504,6421,3193,0.49727,16,272,280,20,0,0,0,0,63.95,0.10,1,113,63.95
78,8031,6525,1506,6425,3078,0.47907,256,264,280,20,0,0,0,0,63.95,0.00,0,113,63.95
79,8016,6514,1502,6386,3174,0.49702,12,264,280,19,0,0,0,0,63.95,0.00,0,113,63.95
80,8021,6516,1505,6399,2871,0.44866,256,264,280,18,0,0,0,0,63.95,0.00,0,113,63.95
81,8024,6519,1505,6411,2785,0.43441,256,272,288,29,0,0,0,0,63.95,0.24,4,113,63.95
82,8027,6522,1505,6384,2966,0.46460,256,272,288,43,0,0,0,0,63.95,0.00,0,113,63.95
83,8021,6517,1504,7260,3269,0.45028,14,272,288,2176,1,0,1,0,63.96,0.13,2,114,63.96
84,8013,6510,1503,11163,4424,0.39631,256,272,288,3072,1,1,0,0,63.97,0.05,2,123,63.97
85,8016,6514,1502,10369,3657,0.35269,10,272,288,34,1,0,0,0,63.97,0.00,0,123,63.97
86,8030,6526,1504,10982,4818,0.43872,6,264,280,2560,1,1,0,0,56.41,0.12,3,122,56.41
87,8004,6501,1503,11938,5772,0.48350,6,272,280,2560,1,0,0,0,63.97,0.01,1,122,63.97
88,8019,6516,1503,10842,4195,0.38692,10,272,288,2112,1,1,0,0,55.22,0.16,2,121,55.23
