t,type,level,bytes
-29.877,flush_begin,0,0
-29.860,flush_end,0,6638552
-29.852,flush_begin,0,0
-29.836,flush_end,0,6638554
-29.827,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.786,flush_end,0,6638553
-29.778,flush_begin,0,0
-29.761,flush_end,0,6638553
-29.753,flush_begin,0,0
-29.736,flush_end,0,6638554
-29.728,flush_begin,0,0
-29.711,flush_end,0,6638552
-29.703,flush_begin,0,0
-29.685,flush_end,0,6638554
-29.678,flush_begin,0,0
-29.661,flush_end,0,6638554
-29.653,flush_begin,0,0
-29.635,flush_end,0,6638552
-29.627,flush_begin,0,0
-29.610,flush_end,0,6638553
-29.601,flush_begin,0,0
-29.584,flush_end,0,6638553
-29.576,flush_begin,0,0
-29.559,flush_end,0,6638554
-29.551,flush_begin,0,0
-29.533,flush_end,0,6638552
-29.525,flush_begin,0,0
-29.508,flush_end,0,6638554
-29.499,flush_begin,0,0
-29.481,flush_end,0,6638554
-29.463,trivial_move,3,6638552
-29.463,flush_begin,0,0
-29.445,flush_end,0,6638552
-29.427,trivial_move,3,6638554
-29.427,flush_begin,0,0
-29.409,flush_end,0,6638555
-29.391,trivial_move,3,6638553
-29.391,flush_begin,0,0
-29.374,flush_end,0,6638553
-29.355,trivial_move,3,6638553
-29.355,flush_begin,0,0
-29.337,flush_end,0,6638553
-29.319,trivial_move,3,6638553
-29.319,flush_begin,0,0
-29.301,flush_end,0,6638552
-29.282,trivial_move,3,6638554
-29.282,flush_begin,0,0
-29.265,flush_end,0,6638554
-29.257,flush_begin,0,0
-29.240,flush_end,0,6638554
-29.223,trivial_move,3,6638552
-29.223,flush_begin,0,0
-29.205,flush_end,0,6638552
-29.191,trivial_move,3,6638554
-29.191,flush_begin,0,0
-29.174,flush_end,0,6638554
-29.156,trivial_move,3,6638554
-29.156,flush_begin,0,0
-29.139,flush_end,0,6638553
-29.121,trivial_move,3,6638552
-29.121,flush_begin,0,0
-29.103,flush_end,0,6638553
-29.087,trivial_move,3,6638553
-29.087,flush_begin,0,0
-29.070,flush_end,0,6638553
-29.062,flush_begin,0,0
-29.044,flush_end,0,6638554
-29.036,flush_begin,0,0
-29.019,flush_end,0,6638553
-29.011,flush_begin,0,0
-28.994,flush_end,0,6638552
-28.977,trivial_move,3,6638553
-28.977,flush_begin,0,0
-28.960,flush_end,0,6638554
-28.942,trivial_move,3,6638554
-28.942,flush_begin,0,0
-28.924,flush_end,0,6638553
-28.908,trivial_move,3,6638552
-28.908,flush_begin,0,0
-28.892,flush_end,0,6638553
-28.874,trivial_move,3,6638554
-28.874,flush_begin,0,0
-28.857,flush_end,0,6638553
-28.840,trivial_move,3,6638554
-28.840,flush_begin,0,0
-28.823,flush_end,0,6638555
-28.805,trivial_move,3,6638552
-28.805,flush_begin,0,0
-28.787,flush_end,0,6638553
-28.770,trivial_move,3,6638555
-28.770,flush_begin,0,0
-28.753,flush_end,0,6638553
-28.734,trivial_move,3,6638553
-28.734,flush_begin,0,0
-28.717,flush_end,0,6638554
-28.698,trivial_move,3,6638553
-28.698,flush_begin,0,0
-28.680,flush_end,0,6638552
-28.662,trivial_move,3,6638552
-28.662,flush_begin,0,0
-28.644,flush_end,0,6638553
-28.626,trivial_move,3,6638554
-28.626,flush_begin,0,0
-28.608,flush_end,0,6638553
-28.590,trivial_move,3,6638554
-28.590,flush_begin,0,0
-28.573,flush_end,0,6638554
-28.556,trivial_move,3,6638552
-28.556,flush_begin,0,0
-28.538,flush_end,0,6638553
-28.522,trivial_move,3,6638554
-28.522,flush_begin,0,0
-28.505,flush_end,0,6638553
-28.488,trivial_move,3,6638553
-28.488,flush_begin,0,0
-28.469,flush_end,0,6638554
-28.451,trivial_move,3,6638553
-28.451,flush_begin,0,0
-28.433,flush_end,0,6638552
-28.414,trivial_move,3,6638553
-28.414,flush_begin,0,0
-28.397,flush_end,0,6638554
-28.379,trivial_move,3,6638554
-28.379,flush_begin,0,0
-28.362,flush_end,0,6638553
-28.343,trivial_move,3,6638553
-28.343,flush_begin,0,0
-28.325,flush_end,0,6638553
-28.307,trivial_move,3,6638552
-28.307,flush_begin,0,0
-28.290,flush_end,0,6638553
-28.273,trivial_move,3,6638554
-28.273,flush_begin,0,0
-28.255,flush_end,0,6638553
-28.237,trivial_move,3,6638553
-28.237,flush_begin,0,0
-28.218,flush_end,0,6638555
-28.201,trivial_move,3,6638553
-28.201,flush_begin,0,0
-28.182,flush_end,0,6638552
-28.175,flush_begin,0,0
-28.156,flush_end,0,6638554
-28.148,flush_begin,0,0
-28.130,flush_end,0,6638553
-28.123,flush_begin,0,0
-28.105,flush_end,0,6638553
-28.097,flush_begin,0,0
-28.079,flush_end,0,6638554
-28.063,trivial_move,3,6638553
-28.063,flush_begin,0,0
-28.045,flush_end,0,6638553
-28.028,trivial_move,3,6638555
-28.028,flush_begin,0,0
-28.012,flush_end,0,6638553
-27.987,trivial_move,3,6638553
-27.987,flush_begin,0,0
-27.970,flush_end,0,6638552
-27.953,trivial_move,3,6638553
-27.953,flush_begin,0,0
-27.936,flush_end,0,6638554
-27.928,flush_begin,0,0
-27.911,flush_end,0,6638553
-27.895,trivial_move,3,6638554
-27.895,flush_begin,0,0
-27.878,flush_end,0,6638553
-27.861,trivial_move,3,6638552
-27.861,flush_begin,0,0
-27.842,flush_end,0,6638554
-27.825,trivial_move,3,6638553
-27.825,flush_begin,0,0
-27.808,flush_end,0,6638553
-27.790,trivial_move,3,6638553
-27.790,flush_begin,0,0
-27.772,flush_end,0,6638553
-27.754,trivial_move,3,6638554
-27.754,flush_begin,0,0
-27.736,flush_end,0,6638553
-27.718,trivial_move,3,6638553
-27.718,flush_begin,0,0
-27.700,flush_end,0,6638554
-27.683,trivial_move,3,6638553
-27.683,flush_begin,0,0
-27.666,flush_end,0,6638552
-27.650,trivial_move,3,6638554
-27.650,flush_begin,0,0
-27.642,flush_end,0,1164547
-27.626,trivial_move,3,6638552
-27.618,trivial_move,3,6638554
-27.610,trivial_move,3,6638553
-27.610,compaction_begin,2,0
-27.170,compaction_end,2,6638145
-27.154,trivial_move,3,6638553
