t,type,level,bytes
-29.880,flush_begin,0,0
-29.864,flush_end,0,6638552
-29.854,flush_begin,0,0
-29.838,flush_end,0,6638554
-29.829,flush_begin,0,0
-29.812,flush_end,0,6638553
-29.804,flush_begin,0,0
-29.787,flush_end,0,6638553
-29.779,flush_begin,0,0
-29.762,flush_end,0,6638553
-29.754,flush_begin,0,0
-29.737,flush_end,0,6638554
-29.729,flush_begin,0,0
-29.711,flush_end,0,6638552
-29.702,flush_begin,0,0
-29.684,flush_end,0,6638554
-29.675,flush_begin,0,0
-29.658,flush_end,0,6638554
-29.647,flush_begin,0,0
-29.631,flush_end,0,6638552
-29.622,flush_begin,0,0
-29.605,flush_end,0,6638553
-29.596,flush_begin,0,0
-29.579,flush_end,0,6638553
-29.572,flush_begin,0,0
-29.555,flush_end,0,6638554
-29.546,flush_begin,0,0
-29.529,flush_end,0,6638552
-29.521,flush_begin,0,0
-29.504,flush_end,0,6638554
-29.496,flush_begin,0,0
-29.479,flush_end,0,6638554
-29.463,trivial_move,3,6638552
-29.463,flush_begin,0,0
-29.447,flush_end,0,6638552
-29.431,trivial_move,3,6638554
-29.430,flush_begin,0,0
-29.414,flush_end,0,6638555
-29.398,trivial_move,3,6638553
-29.398,flush_begin,0,0
-29.380,flush_end,0,6638553
-29.364,trivial_move,3,6638553
-29.363,flush_begin,0,0
-29.347,flush_end,0,6638553
-29.331,trivial_move,3,6638553
-29.330,flush_begin,0,0
-29.313,flush_end,0,6638552
-29.297,trivial_move,3,6638554
-29.297,flush_begin,0,0
-29.281,flush_end,0,6638554
-29.265,trivial_move,3,6638552
-29.264,flush_begin,0,0
-29.247,flush_end,0,6638554
-29.233,trivial_move,3,6638554
-29.232,flush_begin,0,0
-29.215,flush_end,0,6638552
-29.200,trivial_move,3,6638554
-29.199,flush_begin,0,0
-29.182,flush_end,0,6638554
-29.166,trivial_move,3,6638552
-29.166,flush_begin,0,0
-29.149,flush_end,0,6638553
-29.135,trivial_move,3,6638553
-29.134,flush_begin,0,0
-29.117,flush_end,0,6638553
-29.101,trivial_move,3,6638553
-29.101,flush_begin,0,0
-29.083,flush_end,0,6638553
-29.067,trivial_move,3,6638554
-29.067,flush_begin,0,0
-29.049,flush_end,0,6638554
-29.032,trivial_move,3,6638552
-29.032,flush_begin,0,0
-29.014,flush_end,0,6638553
-29.000,trivial_move,3,6638554
-28.999,flush_begin,0,0
-28.982,flush_end,0,6638552
-28.968,trivial_move,3,6638554
-28.967,flush_begin,0,0
-28.950,flush_end,0,6638554
-28.932,trivial_move,3,6638552
-28.932,flush_begin,0,0
-28.915,flush_end,0,6638553
-28.899,trivial_move,3,6638555
-28.899,flush_begin,0,0
-28.882,flush_end,0,6638553
-28.866,trivial_move,3,6638553
-28.866,flush_begin,0,0
-28.849,flush_end,0,6638553
-28.833,trivial_move,3,6638553
-28.832,flush_begin,0,0
-28.815,flush_end,0,6638555
-28.801,trivial_move,3,6638552
-28.800,flush_begin,0,0
-28.782,flush_end,0,6638553
-28.765,trivial_move,3,6638554
-28.765,flush_begin,0,0
-28.747,flush_end,0,6638553
-28.730,trivial_move,3,6638554
-28.729,flush_begin,0,0
-28.711,flush_end,0,6638554
-28.694,trivial_move,3,6638552
-28.694,flush_begin,0,0
-28.676,flush_end,0,6638552
-28.657,trivial_move,3,6638554
-28.657,flush_begin,0,0
-28.639,flush_end,0,6638553
-28.622,trivial_move,3,6638553
-28.622,flush_begin,0,0
-28.605,flush_end,0,6638553
-28.590,trivial_move,3,6638553
-28.589,flush_begin,0,0
-28.572,flush_end,0,6638554
-28.556,trivial_move,3,6638553
-28.555,flush_begin,0,0
-28.537,flush_end,0,6638553
-28.522,trivial_move,3,6638554
-28.522,flush_begin,0,0
-28.504,flush_end,0,6638553
-28.487,trivial_move,3,6638553
-28.487,flush_begin,0,0
-28.468,flush_end,0,6638554
-28.453,trivial_move,3,6638552
-28.453,flush_begin,0,0
-28.437,flush_end,0,6638552
-28.421,trivial_move,3,6638554
-28.420,flush_begin,0,0
-28.401,flush_end,0,6638554
-28.385,trivial_move,3,6638553
-28.385,flush_begin,0,0
-28.367,flush_end,0,6638553
-28.352,trivial_move,3,6638553
-28.351,flush_begin,0,0
-28.334,flush_end,0,6638553
-28.317,trivial_move,3,6638553
-28.317,flush_begin,0,0
-28.299,flush_end,0,6638553
-28.291,flush_begin,0,0
-28.274,flush_end,0,6638553
-28.257,trivial_move,3,6638555
-28.257,flush_begin,0,0
-28.240,flush_end,0,6638555
-28.231,flush_begin,0,0
-28.214,flush_end,0,6638552
-28.199,trivial_move,3,6638553
-28.191,trivial_move,3,6638553
-28.190,flush_begin,0,0
-28.173,flush_end,0,6638554
-28.159,trivial_move,3,6638554
-28.150,trivial_move,3,6638552
-28.150,flush_begin,0,0
-28.133,flush_end,0,6638553
-28.117,trivial_move,3,6638553
-28.116,flush_begin,0,0
-28.098,flush_end,0,6638553
-28.083,trivial_move,3,6638553
-28.082,flush_begin,0,0
-28.064,flush_end,0,6638554
-28.047,trivial_move,3,6638554
-28.047,flush_begin,0,0
-28.030,flush_end,0,6638553
-28.015,trivial_move,3,6638553
-28.014,flush_begin,0,0
-27.997,flush_end,0,6638553
-27.982,trivial_move,3,6638553
-27.982,flush_begin,0,0
-27.965,flush_end,0,6638552
-27.948,trivial_move,3,6638554
-27.948,flush_begin,0,0
-27.931,flush_end,0,6638554
-27.913,trivial_move,3,6638552
-27.913,flush_begin,0,0
-27.896,flush_end,0,6638553
-27.879,trivial_move,3,6638554
-27.879,flush_begin,0,0
-27.861,flush_end,0,6638553
-27.843,trivial_move,3,6638553
-27.843,flush_begin,0,0
-27.825,flush_end,0,6638554
-27.808,trivial_move,3,6638553
-27.808,flush_begin,0,0
-27.789,flush_end,0,6638553
-27.773,trivial_move,3,6638553
-27.773,flush_begin,0,0
-27.755,flush_end,0,6638553
-27.741,trivial_move,3,6638553
-27.740,flush_begin,0,0
-27.723,flush_end,0,6638553
-27.707,trivial_move,3,6638555
-27.706,flush_begin,0,0
-27.689,flush_end,0,6638554
-27.673,trivial_move,3,6638552
-27.673,flush_begin,0,0
-27.656,flush_end,0,6638552
-27.640,trivial_move,3,6638554
-27.640,flush_begin,0,0
-27.633,flush_end,0,1164547
-27.624,compaction_begin,2,0
-27.186,compaction_end,2,6638145
-27.178,compaction_begin,2,0
-26.735,compaction_end,2,6638145
-26.726,compaction_begin,2,0
-26.291,compaction_end,2,6638146
-26.282,compaction_begin,2,0
-25.843,compaction_end,2,6638145
