t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8021,6516,1505,6392,2904,0.45432,256,272,288,36,0,0,0,0,63.96,0.00,0,86,63.96
2,8032,6530,1502,6397,3377,0.52790,10,272,288,40,0,0,0,0,63.96,0.00,0,86,63.96
3,8016,6509,1507,6312,3793,0.60092,8,272,288,38,0,0,0,0,63.95,0.03,1,86,63.95
4,8024,6520,1504,6324,3684,0.58254,6,264,272,19,0,0,0,0,63.96,0.00,0,86,63.96
5,8005,6507,1498,6338,3773,0.59530,6,264,280,17,0,0,0,0,63.96,0.02,1,86,63.96
6,8021,6515,1506,6359,3502,0.55072,7,264,280,21,0,0,0,0,63.96,0.00,0,86,63.96
7,8022,6516,1506,6346,3568,0.56224,7,264,280,37,0,0,0,0,63.95,0.11,1,86,63.95
8,8021,6522,1499,7414,3563,0.48058,8,272,280,2432,1,0,1,0,63.96,0.01,1,87,63.96
9,8003,6498,1505,10312,4378,0.42455,15,272,288,2816,1,1,0,0,63.96,0.16,5,97,63.96
10,8016,6515,1501,12785,6425,0.50254,11,264,280,3584,1,0,0,0,63.97,0.16,6,97,63.97
11,8020,6515,1505,9673,3520,0.36390,256,272,296,2048,1,1,0,0,48.34,0.06,3,100,48.34
12,8033,6527,1506,9556,2317,0.24247,256,272,296,46,1,0,0,0,63.75,0.10,3,100,63.75
13,8006,6506,1500,11289,4051,0.35884,256,272,280,3136,1,0,0,0,63.97,0.13,5,100,63.97
14,8016,6511,1505,10761,3325,0.30899,256,272,288,2176,1,1,0,0,63.97,0.05,4,103,63.97
15,8009,6507,1502,10281,2459,0.23918,256,272,288,60,1,0,0,0,63.97,0.05,1,103,63.97
16,8026,6523,1503,10995,3162,0.28759,256,272,288,216,1,0,0,0,63.97,0.00,0,103,63.97
17,8020,6518,1502,10786,3249,0.30122,256,272,288,2816,1,1,0,0,63.96,0.03,1,100,63.96
18,8022,6514,1508,10908,3546,0.32508,256,272,288,53,1,0,0,0,63.96,0.00,0,100,63.96
19,8015,6512,1503,10314,2903,0.28146,256,272,288,2176,1,1,0,0,56.59,0.29,4,103,56.59
20,8013,6511,1502,10787,3073,0.28488,256,272,288,124,1,0,0,0,63.97,0.02,1,103,63.97
21,8020,6517,1503,11251,3825,0.33997,256,272,280,296,1,0,0,0,63.97,0.04,1,103,63.97
22,8009,6507,1502,10143,2719,0.26807,256,272,280,2624,1,1,0,0,63.95,0.11,5,106,63.95
23,8022,6518,1504,10202,2729,0.26750,256,272,288,61,1,0,0,0,63.96,0.02,1,106,63.96
24,8013,6511,1502,11082,3234,0.29182,256,272,296,216,1,0,0,0,63.96,0.06,1,106,63.96
25,8016,6513,1503,10555,2602,0.24652,256,272,288,2304,1,1,0,0,63.96,0.03,2,109,63.96
26,8008,6507,1501,9058,2293,0.25315,256,272,288,1696,1,0,0,0,63.96,0.02,1,109,63.96
27,8021,6516,1505,11262,3527,0.31318,256,272,280,2368,1,1,0,0,58.04,0.20,4,106,58.05
28,8010,6514,1496,10423,3204,0.30740,256,272,280,720,1,0,0,0,63.96,0.03,3,106,63.96
29,8023,6513,1510,10663,3754,0.35206,12,272,280,49,1,0,0,0,63.96,0.01,1,106,63.96
30,8021,6523,1498,11220,4271,0.38066,232,272,280,3136,1,1,0,0,63.56,0.05,2,109,63.56
31,8028,6517,1511,10227,3753,0.36697,252,272,280,36,1,0,0,0,63.96,0.00,0,109,63.96
32,8021,6517,1504,9126,3699,0.40533,228,272,280,39,1,0,0,0,63.96,0.00,0,109,63.96
33,8019,6518,1501,10283,3358,0.32656,25,272,280,3136,1,1,0,0,55.91,0.34,3,112,55.91
34,8014,6508,1506,10606,3651,0.34424,26,272,288,160,1,0,0,0,63.95,0.00,0,112,63.95
35,8022,6519,1503,10166,3426,0.33701,11,272,288,160,1,0,0,0,63.95,0.00,0,112,63.95
36,8006,6504,1502,9234,3744,0.40546,14,264,280,2624,0,2,0,0,63.11,0.00,0,114,63.11
37,8027,6523,1504,6360,3407,0.53569,10,272,288,62,0,0,0,0,63.95,0.00,0,114,63.95
38,8024,6518,1506,6319,3588,0.56781,8,272,288,41,0,0,0,0,63.95,0.02,1,114,63.95
39,8007,6507,1500,6342,3215,0.50694,13,272,288,33,0,0,0,0,63.95,0.00,0,114,63.95
40,8019,6514,1505,6364,2730,0.42898,256,264,280,18,0,0,0,0,63.95,0.21,4,114,63.95
41,8033,6535,1498,6417,2504,0.39021,256,272,280,22,0,0,0,0,63.95,0.02,1,114,63.95
42,8023,6512,1511,6376,2484,0.38959,256,272,288,21,0,0,0,0,63.95,0.00,0,114,63.95
43,8039,6533,1506,6455,2497,0.38683,256,272,288,58,0,0,0,0,63.95,0.04,1,114,63.95
44,8020,6518,1502,6426,2151,0.33473,256,272,288,25,0,0,0,0,63.95,0.00,1,114,63.95
45,8006,6501,1505,6410,2714,0.42340,256,272,288,34,0,0,0,0,63.95,0.03,1,114,63.95
46,8022,6521,1501,8827,3050,0.34553,256,272,288,2624,1,1,1,0,63.96,0.04,4,126,63.96
47,8024,6516,1508,11808,4383,0.37119,256,272,336,1920,1,0,0,0,63.96,0.01,2,126,63.96
48,8013,6511,1502,11506,3872,0.33652,256,272,288,2496,1,1,0,0,63.96,0.42,6,125,63.96
49,8021,6517,1504,10433,2601,0.24931,256,272,296,120,1,0,0,0,63.97,0.04,2,125,63.97
50,8013,6512,1501,10806,3079,0.28493,256,272,288,70,1,0,0,0,63.96,0.04,2,125,63.96
51,8018,6515,1503,11315,3815,0.33716,256,272,288,2496,1,1,0,0,62.37,0.13,4,124,62.37
52,8018,6514,1504,10527,3067,0.29135,256,272,288,132,1,0,0,0,63.97,0.23,5,124,63.97
53,8007,6507,1500,11075,3869,0.34935,256,272,280,2944,1,1,0,0,59.24,0.26,2,123,59.25
54,8042,6532,1510,11217,3818,0.34038,256,272,280,204,1,0,0,0,63.96,0.25,3,123,63.96
55,8025,6520,1505,10907,3914,0.35885,244,272,288,1856,1,1,0,0,63.97,0.19,3,122,63.97
56,8016,6513,1503,11163,4301,0.38529,12,272,280,54,1,0,0,0,63.97,0.35,6,122,63.97
57,8023,6519,1504,10614,3871,0.36471,11,272,288,236,1,0,0,0,63.96,0.02,1,122,63.96
58,8023,6519,1504,10502,3727,0.35488,11,272,280,2944,1,1,0,0,60.38,0.11,1,120,60.38
59,8003,6503,1500,11908,4998,0.41972,212,272,288,1088,1,0,0,0,63.96,0.27,5,120,63.96
60,8020,6516,1504,10550,3057,0.28976,256,272,288,2624,1,1,0,0,63.15,0.20,2,119,63.15
61,8020,6515,1505,10382,3039,0.29272,256,272,288,304,1,0,0,0,63.96,0.20,3,119,63.96
62,8023,6519,1504,10031,4206,0.41930,256,272,288,32,1,0,0,0,63.96,0.11,1,119,63.96
63,8032,6529,1503,9459,3440,0.36367,256,272,288,1088,1,1,0,0,63.96,0.07,2,118,63.96
64,8026,6518,1508,11666,4187,0.35891,256,272,280,2624,1,0,0,0,63.96,0.22,4,118,63.96
65,8004,6504,1500,9641,2681,0.27808,256,272,288,1760,1,1,0,0,50.03,0.14,4,117,50.03
66,8028,6522,1506,10246,2688,0.26235,256,272,288,47,1,0,0,0,63.69,0.13,2,117,63.69
67,8042,6536,1506,10723,3428,0.31969,256,272,280,156,1,0,0,0,63.96,0.17,5,117,63.96
68,8015,6510,1505,9206,4196,0.45579,256,264,280,3648,1,1,0,0,57.36,0.32,5,116,57.36
69,8020,6518,1502,10501,3455,0.32902,240,272,280,440,1,0,0,0,63.96,0.29,7,116,63.96
70,8023,6518,1505,10815,3813,0.35257,224,272,280,54,1,0,0,0,63.96,0.00,0,116,63.96
71,8014,6511,1503,10326,2698,0.26128,256,272,288,1984,1,1,0,0,63.96,0.15,4,115,63.96
72,8016,6517,1499,10074,2906,0.28847,256,272,288,50,1,0,0,0,63.96,0.04,2,115,63.96
73,8017,6511,1506,10199,2976,0.29179,256,272,288,248,1,0,0,0,63.96,0.00,0,115,63.96
74,8021,6515,1506,6592,2685,0.40731,256,264,280,51,0,1,0,0,63.95,0.05,2,113,63.95
75,8014,6515,1499,6396,2790,0.43621,256,272,288,21,0,0,0,0,63.95,0.02,2,113,63.95
76,8016,6510,1506,6415,2939,0.45814,256,272,288,23,0,0,0,0,63.95,0.00,0,113,63.95
77,8011,6510,1501,6372,3228,0.50659,9,272,288,19,0,0,0,0,63.95,0.12,1,113,63.95
78,8033,6525,1508,6410,3085,0.48128,252,264,280,20,0,0,0,0,63.95,0.24,1,113,63.95
79,8038,6531,1507,6408,3133,0.48892,232,272,288,20,0,0,0,0,63.95,0.00,0,113,63.95
80,8036,6530,1506,6415,2928,0.45643,256,272,280,60,0,0,0,0,63.95,0.00,0,113,63.95
81,8025,6521,1504,6392,2829,0.44258,256,264,280,20,0,0,0,0,63.96,0.16,3,113,63.96
82,8018,6515,1503,6379,2945,0.46167,256,272,288,21,0,0,0,0,63.96,0.00,0,113,63.96
83,8022,6521,1501,7048,3319,0.47091,9,272,288,1440,1,0,1,0,63.96,0.00,0,114,63.96
84,8028,6519,1509,8945,3318,0.37093,256,272,288,1984,1,1,0,0,63.96,0.08,2,123,63.96
85,8005,6507,1498,9731,4782,0.49142,9,272,288,39,1,0,0,0,63.97,0.00,0,123,63.97
86,8023,6515,1508,8999,4259,0.47327,5,272,280,29,1,0,0,0,63.97,0.03,1,123,63.97
87,8013,6511,1502,10204,5113,0.50108,6,272,288,27,1,0,0,0,63.97,0.01,1,123,63.97
88,8002,6504,1498,10071,3435,0.34108,9,272,288,3136,1,1,0,0,62.61,0.00,0,122,62.62
89,8020,6516,1504,11122,4337,0.38995,11,272,288,102,1,0,0,0,63.97,0.07,1,122,63.97
90,8040,6530,1510,12509,5643,0.45112,244,272,288,3392,1,1,0,0,63.97,0.01,1,121,63.97
91,8032,6528,1504,11358,4351,0.38308,236,272,288,2176,1,0,0,0,63.97,0.14,2,121,63.97
92,8015,6510,1505,10944,3683,0.33653,256,272,288,2112,1,1,0,0,63.97,0.09,1,120,63.97
93,8005,6505,1500,11373,4577,0.40244,11,272,288,1472,1,0,0,0,63.96,0.19,2,120,63.96
94,8018,6514,1504,11377,4442,0.39044,240,264,280,2688,1,1,0,0,52.12,0.16,5,119,52.13
95,8028,6523,1505,10804,3511,0.32497,256,272,288,2240,1,0,0,0,63.92,0.09,3,119,63.92
96,8022,6519,1503,10879,3701,0.34020,256,272,288,2816,1,1,0,0,59.47,0.10,3,118,59.48
97,8017,6512,1505,10608,3574,0.33692,244,272,288,156,1,0,0,0,63.96,0.12,4,118,63.96
98,8015,6513,1502,10990,4578,0.41656,7,272,288,2752,1,0,0,0,63.96,0.00,1,118,63.96
99,8033,6527,1506,10245,3670,0.35822,7,272,288,2368,1,1,0,0,63.96,0.05,2,117,63.96
100,8040,6533,1507,10902,4517,0.41433,6,272,288,976,1,0,0,0,63.96,0.00,0,117,63.96
101,8012,6510,1502,10972,4540,0.41378,6,272,280,2624,1,1,0,0,63.96,0.13,2,116,63.96
102,8021,6520,1501,11061,4476,0.40467,8,272,280,61,1,0,0,0,63.96,0.23,2,116,63.96
103,8038,6528,1510,10718,3645,0.34008,256,272,288,2944,1,1,0,0,47.39,0.20,3,115,47.40
104,8024,6518,1506,10296,3103,0.30138,256,272,280,224,1,0,0,0,60.96,0.00,0,115,60.97
105,8004,6505,1499,11269,4549,0.40367,10,272,280,272,1,0,0,0,63.96,0.33,4,115,63.96
106,8040,6531,1509,10154,3060,0.30136,256,272,280,2112,1,1,0,0,63.86,0.02,2,114,63.86
107,8013,6510,1503,10718,3426,0.31965,256,272,280,61,1,0,0,0,63.95,0.16,2,114,63.95
108,8021,6517,1504,9618,2927,0.30433,256,272,280,592,1,0,0,0,63.96,0.24,3,114,63.96
109,8022,6521,1501,10598,2753,0.25977,256,272,280,1568,1,1,0,0,63.95,0.00,0,113,63.95
