t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8025,6522,1503,6397,2961,0.46287,256,272,296,44,0,0,0,0,63.96,0.00,0,88,63.96
2,8045,6535,1510,6396,3372,0.52720,10,272,280,31,0,0,0,0,63.96,0.00,0,88,63.96
3,8045,6537,1508,6325,3816,0.60332,6,264,280,21,0,0,0,0,63.96,0.04,1,88,63.96
4,8017,6513,1504,6329,3678,0.58113,6,264,280,28,0,0,0,0,63.96,0.00,0,88,63.96
5,8014,6514,1500,6350,3705,0.58346,7,264,280,19,0,0,0,0,63.96,0.02,1,88,63.96
6,8017,6511,1506,6355,3623,0.57010,7,264,280,24,0,0,0,0,63.96,0.00,0,88,63.96
7,8036,6530,1506,6376,3566,0.55928,7,264,280,27,0,0,0,0,63.95,0.38,2,88,63.95
8,8001,6501,1500,7240,3840,0.53039,7,264,288,1792,1,0,1,0,63.97,0.02,1,89,63.97
9,8022,6520,1502,9467,3990,0.42146,19,272,280,2368,1,1,0,0,63.96,0.16,7,99,63.96
10,8019,6513,1506,10647,5524,0.51883,14,272,288,45,1,0,0,0,63.97,0.21,5,99,63.97
11,8009,6507,1502,8944,4528,0.50626,256,272,280,1376,1,0,0,0,63.97,0.00,0,99,63.97
12,8006,6505,1501,9835,3592,0.36523,256,264,288,1120,1,1,0,0,45.53,0.16,5,102,45.54
13,8016,6513,1503,9886,3199,0.32359,256,264,288,53,1,0,0,0,61.32,0.22,5,102,61.33
14,8023,6519,1504,9929,4297,0.43277,256,272,352,896,1,0,0,0,63.97,0.22,5,102,63.97
15,8005,6503,1502,8967,2786,0.31069,256,384,424,25,1,0,0,0,63.97,0.16,3,102,63.97
16,8005,6506,1499,9432,2671,0.28318,328,384,560,160,1,1,0,0,63.97,0.01,1,105,63.97
17,8027,6521,1506,9791,3137,0.32040,320,384,424,25,1,0,0,0,63.97,0.04,2,105,63.97
18,8026,6524,1502,9189,3726,0.40548,256,400,440,70,1,0,0,0,63.97,0.00,0,105,63.97
19,8018,6512,1506,9074,3551,0.39134,256,392,424,18,1,0,0,0,63.97,0.08,2,105,63.97
