t,type,level,bytes
-29.954,flush_begin,0,0
-29.937,flush_end,0,6638552
-29.928,flush_begin,0,0
-29.913,flush_end,0,6638554
-29.903,flush_begin,0,0
-29.887,flush_end,0,6638553
-29.878,flush_begin,0,0
-29.862,flush_end,0,6638553
-29.853,flush_begin,0,0
-29.837,flush_end,0,6638553
-29.828,flush_begin,0,0
-29.812,flush_end,0,6638554
-29.804,flush_begin,0,0
-29.787,flush_end,0,6638552
-29.779,flush_begin,0,0
-29.762,flush_end,0,6638554
-29.753,flush_begin,0,0
-29.737,flush_end,0,6638554
-29.728,flush_begin,0,0
-29.712,flush_end,0,6638552
-29.703,flush_begin,0,0
-29.687,flush_end,0,6638553
-29.678,flush_begin,0,0
-29.662,flush_end,0,6638553
-29.654,flush_begin,0,0
-29.637,flush_end,0,6638554
-29.629,flush_begin,0,0
-29.612,flush_end,0,6638552
-29.604,flush_begin,0,0
-29.588,flush_end,0,6638554
-29.580,flush_begin,0,0
-29.563,flush_end,0,6638554
-29.546,trivial_move,3,6638552
-29.546,flush_begin,0,0
-29.529,flush_end,0,6638552
-29.513,trivial_move,3,6638554
-29.513,flush_begin,0,0
-29.496,flush_end,0,6638555
-29.480,trivial_move,3,6638553
-29.480,flush_begin,0,0
-29.463,flush_end,0,6638553
-29.447,trivial_move,3,6638553
-29.447,flush_begin,0,0
-29.429,flush_end,0,6638553
-29.413,trivial_move,3,6638553
-29.413,flush_begin,0,0
-29.396,flush_end,0,6638552
-29.380,trivial_move,3,6638554
-29.380,flush_begin,0,0
-29.362,flush_end,0,6638554
-29.346,trivial_move,3,6638552
-29.346,flush_begin,0,0
-29.328,flush_end,0,6638554
-29.311,trivial_move,3,6638554
-29.311,flush_begin,0,0
-29.293,flush_end,0,6638552
-29.277,trivial_move,3,6638554
-29.277,flush_begin,0,0
-29.258,flush_end,0,6638554
-29.242,trivial_move,3,6638552
-29.242,flush_begin,0,0
-29.224,flush_end,0,6638553
-29.208,trivial_move,3,6638553
-29.207,flush_begin,0,0
-29.190,flush_end,0,6638553
-29.172,trivial_move,3,6638553
-29.172,flush_begin,0,0
-29.154,flush_end,0,6638553
-29.136,trivial_move,3,6638554
-29.136,flush_begin,0,0
-29.118,flush_end,0,6638554
-29.102,trivial_move,3,6638552
-29.102,flush_begin,0,0
-29.084,flush_end,0,6638553
-29.068,trivial_move,3,6638554
-29.068,flush_begin,0,0
-29.050,flush_end,0,6638552
-29.034,trivial_move,3,6638554
-29.033,flush_begin,0,0
-29.015,flush_end,0,6638554
-28.999,trivial_move,3,6638552
-28.999,flush_begin,0,0
-28.981,flush_end,0,6638553
-28.965,trivial_move,3,6638555
-28.965,flush_begin,0,0
-28.946,flush_end,0,6638553
-28.930,trivial_move,3,6638553
-28.930,flush_begin,0,0
-28.912,flush_end,0,6638553
-28.896,trivial_move,3,6638553
-28.896,flush_begin,0,0
-28.879,flush_end,0,6638555
-28.863,trivial_move,3,6638552
-28.863,flush_begin,0,0
-28.846,flush_end,0,6638553
-28.830,trivial_move,3,6638554
-28.830,flush_begin,0,0
-28.813,flush_end,0,6638553
-28.797,trivial_move,3,6638554
-28.797,flush_begin,0,0
-28.780,flush_end,0,6638554
-28.765,trivial_move,3,6638552
-28.765,flush_begin,0,0
-28.749,flush_end,0,6638552
-28.733,trivial_move,3,6638554
-28.733,flush_begin,0,0
-28.715,flush_end,0,6638553
-28.697,trivial_move,3,6638553
-28.697,flush_begin,0,0
-28.680,flush_end,0,6638553
-28.662,trivial_move,3,6638553
-28.662,flush_begin,0,0
-28.644,flush_end,0,6638554
-28.626,trivial_move,3,6638553
-28.626,flush_begin,0,0
-28.608,flush_end,0,6638553
-28.592,trivial_move,3,6638554
-28.592,flush_begin,0,0
-28.575,flush_end,0,6638553
-28.559,trivial_move,3,6638553
-28.559,flush_begin,0,0
-28.541,flush_end,0,6638554
-28.524,trivial_move,3,6638552
-28.524,flush_begin,0,0
-28.506,flush_end,0,6638552
-28.490,trivial_move,3,6638554
-28.490,flush_begin,0,0
-28.473,flush_end,0,6638554
-28.457,trivial_move,3,6638553
-28.457,flush_begin,0,0
-28.439,flush_end,0,6638553
-28.423,trivial_move,3,6638553
-28.423,flush_begin,0,0
-28.404,flush_end,0,6638553
-28.388,trivial_move,3,6638553
-28.388,flush_begin,0,0
-28.371,flush_end,0,6638553
-28.355,trivial_move,3,6638555
-28.355,flush_begin,0,0
-28.337,flush_end,0,6638553
-28.321,trivial_move,3,6638553
-28.321,flush_begin,0,0
-28.303,flush_end,0,6638555
-28.287,trivial_move,3,6638553
-28.287,flush_begin,0,0
-28.270,flush_end,0,6638552
-28.251,trivial_move,3,6638554
-28.251,flush_begin,0,0
-28.234,flush_end,0,6638554
-28.218,trivial_move,3,6638552
-28.218,flush_begin,0,0
-28.201,flush_end,0,6638553
-28.185,trivial_move,3,6638553
-28.185,flush_begin,0,0
-28.168,flush_end,0,6638553
-28.152,trivial_move,3,6638553
-28.152,flush_begin,0,0
-28.134,flush_end,0,6638554
-28.118,trivial_move,3,6638554
-28.118,flush_begin,0,0
-28.099,flush_end,0,6638553
-28.084,trivial_move,3,6638553
-28.083,flush_begin,0,0
-28.066,flush_end,0,6638553
-28.049,trivial_move,3,6638553
-28.049,flush_begin,0,0
-28.031,flush_end,0,6638552
-28.014,trivial_move,3,6638554
-28.014,flush_begin,0,0
-27.995,flush_end,0,6638554
-27.976,trivial_move,3,6638552
-27.976,flush_begin,0,0
-27.958,flush_end,0,6638553
-27.940,trivial_move,3,6638554
-27.940,flush_begin,0,0
-27.920,flush_end,0,6638553
-27.900,trivial_move,3,6638553
-27.900,flush_begin,0,0
-27.879,flush_end,0,6638554
-27.860,trivial_move,3,6638553
-27.860,flush_begin,0,0
-27.842,flush_end,0,6638553
-27.825,trivial_move,3,6638553
-27.823,flush_begin,0,0
-27.805,flush_end,0,6638553
-27.788,trivial_move,3,6638553
-27.785,flush_begin,0,0
-27.766,flush_end,0,6638553
-27.750,trivial_move,3,6638555
-27.748,flush_begin,0,0
-27.731,flush_end,0,6638554
-27.714,trivial_move,3,6638552
-27.714,flush_begin,0,0
-27.696,flush_end,0,6638552
-27.681,trivial_move,3,6638554
-27.681,flush_begin,0,0
-27.675,flush_end,0,1164547
-27.666,compaction_begin,2,0
-27.636,compaction_end,2,6638145
-27.628,compaction_begin,2,0
-27.605,compaction_end,2,6638145
-27.596,compaction_begin,2,0
-27.573,compaction_end,2,6638146
-27.565,compaction_begin,2,0
-27.542,compaction_end,2,6638145
-27.534,compaction_begin,2,0
-27.511,compaction_end,2,6638145
-27.503,compaction_begin,2,0
-27.480,compaction_end,2,6638144
-27.472,compaction_begin,2,0
-27.449,compaction_end,2,6638146
-27.441,compaction_begin,2,0
-27.418,compaction_end,2,6638145
-27.410,compaction_begin,2,0
-27.386,compaction_end,2,6638145
-27.378,compaction_begin,2,0
-27.356,compaction_end,2,6638146
-27.348,compaction_begin,2,0
-27.325,compaction_end,2,6638145
-27.317,compaction_begin,2,0
-27.293,compaction_end,2,6638145
-27.285,compaction_begin,2,0
-27.262,compaction_end,2,6638145
-27.254,compaction_begin,2,0
-27.231,compaction_end,2,6638146
-27.223,compaction_begin,2,0
-27.200,compaction_end,2,6638144
-27.192,compaction_begin,2,0
-27.185,compaction_end,2,1164547
10.467,flush_begin,0,0
10.634,flush_end,0,6627028
10.705,compaction_begin,1,0
11.204,compaction_end,1,6557999
11.259,compaction_begin,2,0
14.924,compaction_end,2,46468050
14.939,compaction_begin,2,0
18.159,compaction_end,2,46468049
18.173,compaction_begin,2,0
21.461,compaction_end,2,46468049
21.475,compaction_begin,2,0
24.723,compaction_end,2,46468049
24.731,compaction_begin,2,0
27.663,compaction_end,2,44118863
27.674,compaction_begin,2,0
31.317,compaction_end,2,44118861
31.333,compaction_begin,2,0
34.553,compaction_end,2,46468047
34.566,compaction_begin,2,0
37.951,compaction_end,2,46468050
37.963,compaction_begin,2,0
38.409,compaction_end,2,4827149
38.418,compaction_begin,2,0
41.164,compaction_end,2,44118862
41.279,compaction_begin,2,0
44.704,compaction_end,2,46468049
48.110,flush_begin,0,0
48.230,flush_end,0,6628095
48.299,compaction_begin,1,0
48.788,compaction_end,1,6557457
48.855,compaction_begin,2,0
52.428,compaction_end,2,44118749
52.442,compaction_begin,2,0
55.518,compaction_end,2,42179009
55.531,compaction_begin,2,0
58.793,compaction_end,2,42179010
58.802,compaction_begin,2,0
61.683,compaction_end,2,42179010
61.699,compaction_begin,2,0
64.262,compaction_end,2,42890503
64.275,compaction_begin,2,0
67.100,compaction_end,2,42179012
67.112,compaction_begin,2,0
70.253,compaction_end,2,42179011
70.264,compaction_begin,2,0
73.364,compaction_end,2,42179010
73.376,compaction_begin,2,0
76.857,compaction_end,2,42179009
76.870,compaction_begin,2,0
80.304,compaction_end,2,42179011
80.318,compaction_begin,2,0
83.006,compaction_end,2,42179010
85.755,flush_begin,0,0
85.950,flush_end,0,6629620
86.020,compaction_begin,1,0
86.564,compaction_end,1,7881461
86.665,compaction_begin,2,0
90.058,compaction_end,2,42179011
90.071,compaction_begin,2,0
93.128,compaction_end,2,42179009
93.136,compaction_begin,2,0
96.300,compaction_end,2,42179011
96.313,compaction_begin,2,0
99.100,compaction_end,2,42179009
99.113,compaction_begin,2,0
102.051,compaction_end,2,42179009
102.064,compaction_begin,2,0
105.016,compaction_end,2,42890391
105.029,compaction_begin,2,0
108.002,compaction_end,2,42983920
108.015,compaction_begin,2,0
111.276,compaction_end,2,42179011
111.289,compaction_begin,2,0
114.021,compaction_end,2,42179010
114.034,compaction_begin,2,0
116.537,compaction_end,2,42179010
116.545,compaction_begin,2,0
119.810,compaction_end,2,42179011
123.396,flush_begin,0,0
123.621,flush_end,0,6627019
123.694,compaction_begin,1,0
124.191,compaction_end,1,6558730
124.283,compaction_begin,2,0
127.681,compaction_end,2,42179011
127.695,compaction_begin,2,0
130.972,compaction_end,2,42179010
130.980,compaction_begin,2,0
135.412,compaction_end,2,42179009
135.431,compaction_begin,2,0
139.110,compaction_end,2,42179010
139.124,compaction_begin,2,0
143.574,compaction_end,2,42179010
143.591,compaction_begin,2,0
147.333,compaction_end,2,42890390
147.347,compaction_begin,2,0
151.118,compaction_end,2,42179010
151.127,compaction_begin,2,0
155.308,compaction_end,2,42179011
155.326,compaction_begin,2,0
159.171,compaction_end,2,42179011
159.189,compaction_begin,2,0
161.039,flush_begin,0,0
161.214,flush_end,0,6629164
162.412,compaction_end,2,42890503
162.426,compaction_begin,1,0
163.121,compaction_end,1,8300952
163.193,compaction_begin,2,0
167.492,compaction_end,2,42179010
167.508,compaction_begin,2,0
171.410,compaction_end,2,42179010
171.424,compaction_begin,2,0
174.601,compaction_end,2,42179011
174.619,compaction_begin,2,0
178.419,compaction_end,2,42179010
178.432,compaction_begin,2,0
182.258,compaction_end,2,42890390
182.265,compaction_begin,2,0
