t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
1,8021,6516,1505,6397,2927,0.45756,320,344,352,53,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
2,8021,6516,1505,6382,3377,0.52914,16,344,352,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
3,8012,6509,1503,6293,3758,0.59717,14,344,352,140,0,0,0,0,63.96,0.03,1,86,63.96,0,0,0,0
4,8074,6561,1513,6366,3671,0.57666,15,344,352,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
5,8012,6510,1502,6329,3792,0.59915,14,344,352,62,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0
6,8061,6549,1512,6379,3490,0.54711,15,344,352,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0
7,8013,6513,1500,6360,3554,0.55881,14,344,352,54,0,0,0,0,63.95,0.14,1,86,63.95,0,0,0,0
8,8022,6515,1507,6390,3517,0.55039,15,344,352,74,0,0,1,0,63.97,0.03,1,87,63.97,0,0,0,0
9,8088,6572,1516,9292,4932,0.53078,18,344,352,2688,1,1,0,0,63.85,0.16,9,97,63.85,5598,1134,1134,0
10,8087,6571,1516,8695,4002,0.46026,37,336,352,48,1,0,0,0,63.96,0.20,6,97,63.96,0,1134,1134,0
11,8058,6547,1511,8711,4336,0.49776,312,336,352,64,1,0,0,0,63.97,0.00,1,97,63.97,0,1134,1134,0
12,8013,6510,1503,8665,4141,0.47790,312,336,344,46,1,0,0,0,63.98,0.10,1,97,63.98,0,1134,1134,0
13,8069,6557,1512,8751,3901,0.44578,312,344,360,55,1,0,0,0,63.98,0.15,4,97,63.98,0,1134,1134,0
14,8010,6508,1502,8256,3332,0.40359,312,344,352,53,1,0,0,0,63.98,0.05,2,97,63.98,0,1134,1134,0
15,8010,6507,1503,7827,2653,0.33895,312,336,344,51,1,1,0,0,61.78,0.00,0,100,61.79,1043,1134,1134,0
16,8088,6574,1514,9063,2851,0.31458,320,344,352,61,1,0,0,0,63.97,0.00,0,100,63.97,0,1134,1134,0
17,8013,6510,1503,8938,4038,0.45178,312,336,352,49,1,0,0,0,63.97,0.00,0,100,63.97,0,1134,1134,0
18,8011,6509,1502,8610,2993,0.34762,312,344,352,55,1,0,0,0,63.97,0.01,1,100,63.97,0,1134,1134,0
19,8010,6507,1503,7978,3571,0.44761,312,344,352,51,1,0,0,0,63.97,0.00,0,100,63.97,0,1134,1134,0
20,8029,6523,1506,8455,2760,0.32643,320,344,352,55,1,0,0,0,63.97,0.02,1,100,63.97,0,1134,1134,0
21,8012,6510,1502,8594,2547,0.29637,312,344,352,132,1,1,0,0,63.94,0.00,0,103,63.94,1272,1134,1134,0
22,8009,6508,1501,8289,2870,0.34624,312,344,352,52,1,0,0,0,63.97,0.10,2,103,63.97,0,1134,1134,0
23,8049,6539,1510,7972,2920,0.36628,312,344,352,56,1,0,0,0,63.96,0.00,0,103,63.96,0,1134,1134,0
24,8019,6521,1498,8534,3048,0.35716,320,344,352,60,1,0,0,0,63.97,0.08,2,103,63.97,0,1134,1134,0
25,8015,6508,1507,8412,2780,0.33048,320,328,352,43,1,0,0,0,63.97,0.01,1,103,63.97,0,1134,1134,0
26,8017,6513,1504,8405,2466,0.29340,320,336,344,1728,1,1,0,0,57.27,0.18,6,100,57.27,2040,1134,1134,0
27,8084,6567,1517,8358,3240,0.38765,312,328,344,33,1,0,0,0,63.97,0.28,3,100,63.97,0,1134,1134,0
28,8055,6548,1507,9456,3847,0.40683,312,344,352,51,1,0,0,0,63.97,0.10,3,100,63.97,0,1134,1134,0
29,8015,6510,1505,7718,3502,0.45374,29,336,352,52,1,0,0,0,63.96,0.06,2,100,63.96,0,1134,1134,0
30,8010,6508,1502,8794,3162,0.35956,232,336,352,46,1,0,0,0,63.97,0.00,0,100,63.97,0,1134,1134,0
31,8020,6517,1503,8291,3214,0.38765,24,344,352,57,1,0,0,0,63.97,0.00,0,100,63.97,0,1134,1134,0
32,8057,6545,1512,8887,3680,0.41409,23,344,352,2176,1,2,0,0,63.93,0.20,4,102,63.93,2448,1134,1134,0
33,8090,6575,1515,8062,4155,0.51538,16,344,352,232,1,0,0,0,63.96,0.21,3,102,63.96,0,1134,1134,0
34,8083,6566,1517,8311,3669,0.44146,17,344,352,47,1,0,0,0,63.96,0.10,2,102,63.96,0,1134,1134,0
35,8007,6508,1499,8440,3855,0.45675,280,344,352,58,1,0,0,0,63.96,0.01,2,102,63.96,0,1134,1134,0
36,8007,6504,1503,7479,3345,0.44725,30,344,352,52,1,0,0,0,63.96,0.00,1,102,63.96,0,1134,1134,0
37,8009,6507,1502,8409,3736,0.44429,15,344,352,59,1,0,0,0,63.96,0.00,1,102,63.96,0,1134,1134,0
38,8055,6544,1511,8129,4173,0.51335,11,328,344,39,1,0,0,0,63.96,0.13,3,102,63.96,0,1134,1134,0
39,8020,6517,1503,7643,3179,0.41594,272,344,344,68,1,1,0,0,63.60,0.00,1,105,63.60,2647,1134,1134,0
40,8005,6505,1500,9517,4249,0.44646,320,344,352,106,1,0,0,0,63.96,0.54,6,105,63.96,0,1134,1134,0
41,8082,6566,1516,8523,2860,0.33556,312,344,352,53,1,0,0,0,63.96,0.00,0,105,63.96,0,1134,1134,0
42,8006,6504,1502,8493,3479,0.40963,312,328,344,47,1,0,0,0,63.96,0.00,1,105,63.96,0,1134,1134,0
43,8087,6571,1516,8563,2737,0.31963,320,344,352,51,1,0,0,0,63.96,0.00,0,105,63.96,0,1134,1134,0
44,8007,6506,1501,8287,2871,0.34645,312,344,352,2304,1,1,0,0,63.48,0.17,4,108,63.49,1681,1134,1134,0
45,8024,6520,1504,8898,3043,0.34199,312,336,344,45,1,0,0,0,63.96,0.30,4,108,63.96,0,1134,1134,0
46,8038,6530,1508,9150,3733,0.40798,312,328,344,2880,1,0,1,0,63.97,0.21,3,109,63.97,0,1134,1134,0
47,8022,6519,1503,9991,3233,0.32359,312,344,352,60,1,0,0,0,63.97,0.02,2,109,63.97,0,1134,1134,0
48,8038,6530,1508,9292,3776,0.40637,320,344,352,2944,1,1,0,0,63.96,0.09,2,112,63.96,1187,1134,1134,0
49,8089,6572,1517,8722,2815,0.32275,312,336,360,1408,1,1,0,0,63.74,0.21,8,119,63.74,2363,2197,2197,0
50,8084,6569,1515,8326,3331,0.40007,312,336,352,49,1,0,0,0,63.97,0.04,2,119,63.97,0,2197,2197,0
51,8089,6572,1517,8749,3603,0.41182,320,344,352,50,1,0,0,0,63.97,0.05,1,119,63.97,0,2197,2197,0
52,8009,6507,1502,8633,3667,0.42477,312,336,352,48,1,0,0,0,63.97,0.16,1,119,63.97,0,2197,2197,0
53,8086,6570,1516,8733,3502,0.40101,244,336,344,53,1,0,0,0,63.97,0.00,0,119,63.97,0,2197,2197,0
54,8009,6509,1500,8364,3427,0.40973,19,336,352,63,1,0,0,0,63.97,0.00,0,119,63.97,0,2197,2197,0
55,8033,6525,1508,8662,3858,0.44539,240,336,352,74,1,1,0,0,63.97,0.00,0,116,63.97,2024,2197,2197,0
56,8012,6510,1502,8128,4250,0.52288,14,336,352,56,1,0,0,0,63.97,0.00,0,116,63.97,0,2197,2197,0
57,8012,6510,1502,8115,4056,0.49982,14,336,344,46,1,0,0,0,63.97,0.00,0,116,63.97,0,2197,2197,0
58,8060,6548,1512,8681,4603,0.53024,15,336,344,51,1,0,0,0,63.97,0.02,1,116,63.97,0,2197,2197,0
59,8038,6532,1506,9618,3751,0.39000,272,344,352,60,1,0,0,0,63.97,0.22,4,116,63.97,0,2197,2197,0
60,8023,6517,1506,8580,2491,0.29033,312,344,352,528,1,1,0,0,60.55,0.02,1,115,60.56,1814,2197,2197,0
61,8084,6570,1514,7720,2655,0.34391,312,344,352,53,1,0,0,0,63.97,0.18,1,115,63.97,0,2197,2197,0
62,8064,6552,1512,8360,2462,0.29450,320,344,352,56,1,0,0,0,63.97,0.08,1,115,63.97,0,2197,2197,0
63,8087,6569,1518,8869,2784,0.31390,320,344,352,72,1,0,0,0,63.97,0.25,5,115,63.97,0,2197,2197,0
64,8024,6520,1504,7987,2460,0.30800,312,344,352,57,1,0,0,0,63.97,0.00,1,115,63.97,0,2197,2197,0
65,8087,6571,1516,9244,3286,0.35547,320,344,352,64,1,0,0,0,63.97,0.05,2,115,63.97,0,2197,2197,0
66,8083,6567,1516,8647,2642,0.30554,312,344,352,68,1,1,0,0,63.97,0.00,0,118,63.97,1006,2197,2197,0
67,8016,6514,1502,8575,3662,0.42706,312,344,352,55,1,0,0,0,63.97,0.20,3,118,63.97,0,2197,2197,0
68,8074,6560,1514,8614,3066,0.35593,312,336,344,47,1,0,0,0,63.97,0.10,3,118,63.97,0,2197,2197,0
69,8086,6569,1517,8319,3926,0.47193,304,344,352,53,1,0,0,0,63.97,0.01,1,118,63.97,0,2197,2197,0
70,8067,6555,1512,8750,4397,0.50251,312,336,344,41,1,0,0,0,63.97,0.00,0,118,63.97,0,2197,2197,0
71,8054,6545,1509,8429,3219,0.38190,312,336,352,252,1,1,0,0,62.33,0.38,5,117,62.34,2037,2197,2197,0
72,8029,6522,1507,8617,2320,0.26924,312,336,352,56,1,0,0,0,63.97,0.08,1,117,63.97,0,2197,2197,0
73,8028,6525,1503,8680,3350,0.38594,312,320,336,37,1,0,0,0,63.97,0.01,1,117,63.97,0,2197,2197,0
74,8019,6513,1506,8978,3260,0.36311,312,320,344,47,1,0,0,0,63.97,0.09,1,117,63.97,0,2197,2197,0
75,8068,6557,1511,8139,2905,0.35692,312,344,352,49,1,0,0,0,63.97,0.19,2,117,63.97,0,2197,2197,0
76,8037,6534,1503,8094,2970,0.36694,312,336,352,88,1,1,0,0,63.97,0.13,2,117,63.97,1837,2197,2197,0
77,8018,6513,1505,7574,3132,0.41352,256,336,352,56,1,0,0,0,63.97,0.01,1,117,63.97,0,2197,2197,0
78,8010,6506,1504,8409,3970,0.47211,312,344,352,56,1,0,0,0,63.96,0.01,1,117,63.96,0,2197,2197,0
79,8012,6509,1503,9550,4685,0.49058,24,336,344,60,1,0,0,0,63.96,0.12,3,117,63.96,0,2197,2197,0
80,8085,6569,1516,8349,3653,0.43754,312,336,352,94,1,1,0,0,59.18,0.03,1,115,59.18,2067,2197,2197,0
81,8085,6569,1516,8545,3702,0.43324,312,344,344,58,1,0,0,0,63.96,0.06,2,115,63.96,0,2197,2197,0
82,8067,6555,1512,7753,2956,0.38127,312,344,344,58,1,0,0,0,63.96,0.00,0,115,63.96,0,2197,2197,0
83,8012,6511,1501,7170,3147,0.43891,26,344,352,56,1,0,0,0,63.97,4.28,2,115,63.97,0,2197,2197,0
84,8007,6504,1503,9693,3403,0.35108,312,344,352,63,1,0,1,0,63.96,0.00,0,116,63.96,0,2197,2197,0
85,8055,6544,1511,9530,4396,0.46128,17,344,352,2112,1,1,0,0,63.96,0.00,0,115,63.96,1218,2197,2197,0
86,8085,6569,1516,9093,5579,0.61355,10,328,344,2368,1,1,0,0,61.84,0.26,4,121,61.84,1482,2197,2197,0
87,8008,6507,1501,8509,3879,0.45587,14,344,352,57,1,0,0,0,63.96,0.02,4,121,63.96,0,2197,2197,0
88,8069,6555,1514,7672,3465,0.45164,17,344,352,51,1,0,0,0,63.96,0.00,0,121,63.96,0,2197,2197,0
89,8021,6518,1503,8719,3736,0.42849,18,344,352,52,1,0,0,0,63.97,0.00,0,121,63.97,0,2669,2669,0
90,8019,6516,1503,8482,4488,0.52912,13,336,344,56,1,0,0,0,63.98,0.02,2,121,63.98,0,3249,3249,0
91,8083,6566,1517,7806,3229,0.41366,296,344,352,49,1,0,0,0,63.98,0.00,0,121,63.98,0,3249,3249,0
92,8086,6570,1516,8750,4180,0.47771,18,344,352,2112,1,1,0,0,62.03,0.07,1,120,62.05,1995,3249,3249,0
93,8027,6522,1505,8040,3664,0.45572,16,344,352,60,1,0,0,0,63.97,0.00,0,120,63.97,0,3249,3249,0
94,8014,6512,1502,9125,4120,0.45151,15,336,344,50,1,0,0,0,63.97,0.14,2,120,63.97,0,3249,3249,0
95,8006,6505,1501,8693,3652,0.42011,304,336,352,52,1,0,0,0,63.97,0.09,3,120,63.97,0,3249,3249,0
96,8011,6508,1503,8632,3953,0.45795,312,344,352,56,1,0,0,0,63.97,0.00,0,120,63.97,0,3249,3249,0
97,8012,6511,1501,8434,3242,0.38440,304,336,352,96,1,1,0,0,54.26,0.16,3,119,54.27,1395,3249,3249,0
98,8012,6509,1503,7791,3704,0.47542,15,336,344,54,1,0,0,0,63.92,0.08,2,119,63.92,0,3249,3249,0
99,8024,6519,1505,9294,4805,0.51700,12,336,352,51,1,0,0,0,63.97,0.23,3,119,63.97,0,3249,3249,0
100,8076,6563,1513,9269,4553,0.49121,13,336,344,61,1,0,0,0,63.97,0.08,2,119,63.97,0,3249,3249,0
101,8048,6540,1508,8792,3970,0.45155,14,336,352,124,1,1,0,0,60.70,0.08,2,118,60.70,1429,3249,3249,0
102,8007,6504,1503,7845,3120,0.39771,272,344,352,54,1,0,0,0,63.97,0.00,0,118,63.97,0,3249,3249,0
103,8011,6509,1502,8140,3790,0.46560,22,336,344,48,1,0,0,0,63.97,0.03,3,118,63.97,0,3249,3249,0
104,8047,6539,1508,8546,3200,0.37444,35,344,352,55,1,0,0,0,63.96,0.00,0,118,63.96,0,3249,3249,0
105,8020,6515,1505,8282,3550,0.42864,15,336,344,53,1,0,0,0,63.97,0.38,4,118,63.97,0,3249,3249,0
106,8090,6576,1514,7812,3300,0.42243,30,344,352,56,1,0,0,0,63.97,0.14,4,118,63.97,0,3249,3249,0
107,8082,6565,1517,8609,2841,0.33000,312,344,352,720,1,1,0,0,63.97,0.13,3,117,63.97,1031,3249,3249,0
