t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8027,6520,1507,6353,3583,0.56399,4,408,424,13,0,0,0,0,63.96,0.06,2,86,63.96
2,8015,6513,1502,6372,3303,0.51836,5,408,424,12,0,0,0,0,63.96,0.00,0,86,63.96
3,8022,6516,1506,6361,3137,0.49316,10,408,464,17,0,0,0,0,63.96,0.12,1,86,63.96
4,8022,6521,1501,6374,3025,0.47458,256,408,424,13,0,0,0,0,63.96,0.15,2,86,63.96
5,8036,6526,1510,6373,2910,0.45661,256,408,432,25,0,0,0,0,63.96,0.00,0,86,63.96
6,8031,6526,1505,6380,2781,0.43589,256,408,440,23,0,0,0,0,63.96,0.00,0,86,63.96
7,8020,6516,1504,6369,2793,0.43853,256,408,424,16,0,0,0,0,63.96,0.00,0,86,63.96
8,8015,6513,1502,7721,2934,0.38000,256,408,472,2432,1,0,1,0,63.96,0.00,0,87,63.96
9,8048,6538,1510,10987,5084,0.46273,7,392,440,2624,1,1,0,0,63.97,0.07,1,97,63.97
10,8033,6526,1507,9678,3435,0.35493,256,376,416,17,1,0,0,0,63.97,0.00,0,97,63.97
11,8018,6515,1503,10206,3739,0.36635,256,384,448,1344,1,0,0,0,63.97,0.19,1,97,63.97
12,8042,6534,1508,10494,3977,0.37898,256,376,424,1344,1,1,0,0,63.97,0.07,3,100,63.97
13,8030,6525,1505,10763,4646,0.43166,252,376,416,13,1,0,0,0,63.97,0.03,2,100,63.97
14,8023,6518,1505,9392,3030,0.32261,256,376,408,12,1,0,0,0,63.97,0.06,1,100,63.97
15,8018,6515,1503,9299,2819,0.30315,256,368,408,720,1,1,0,0,63.97,0.45,3,103,63.97
16,8000,6500,1500,9301,2559,0.27513,256,376,408,1088,1,0,0,0,63.97,0.16,1,103,63.97
17,8017,6513,1504,9410,2868,0.30478,256,368,408,37,1,0,0,0,63.97,0.24,2,103,63.97
18,8022,6519,1503,9260,3014,0.32549,256,368,408,37,1,0,0,0,63.97,0.00,0,103,63.97
19,8023,6518,1505,10771,3355,0.31148,256,416,448,2688,1,1,0,0,63.96,0.00,0,106,63.96
20,8017,6514,1503,11612,3872,0.33345,256,416,440,22,1,0,0,0,63.96,0.02,1,106,63.96
21,8022,6518,1504,9996,2763,0.27641,256,408,440,2176,1,1,0,0,63.97,0.15,3,103,63.97
22,8036,6529,1507,9582,2724,0.28428,256,368,408,14,1,0,0,0,63.97,0.20,3,103,63.97
23,8028,6523,1505,9453,2926,0.30953,256,368,408,15,1,0,0,0,63.97,0.02,2,103,63.97
24,8023,6519,1504,10299,3884,0.37712,256,368,400,20,1,0,0,0,63.96,0.13,3,103,63.96
25,8021,6517,1504,9980,3349,0.33557,256,376,408,1600,1,1,0,0,63.96,0.05,3,106,63.96
26,8035,6528,1507,9970,3172,0.31815,256,368,408,21,1,0,0,0,63.96,0.02,2,106,63.96
27,8019,6522,1497,10549,3637,0.34477,256,360,400,144,1,0,0,0,63.96,0.06,2,106,63.96
28,8043,6529,1514,9452,2520,0.26661,256,360,400,352,1,1,0,0,63.96,0.20,3,109,63.96
29,8020,6515,1505,9192,2672,0.29069,256,360,392,16,1,0,0,0,63.96,0.21,6,109,63.96
30,8030,6526,1504,10870,4291,0.39476,256,336,416,1856,1,1,0,0,63.96,0.00,0,112,63.96
31,8018,6516,1502,10976,3942,0.35915,240,264,288,70,1,0,0,0,63.96,0.28,1,112,63.96
32,8044,6535,1509,11377,4509,0.39633,10,264,280,1152,1,0,0,0,63.96,0.00,0,112,63.96
33,8040,6531,1509,9261,3112,0.33603,252,272,360,2624,1,1,0,0,63.96,0.25,2,108,63.96
34,8039,6538,1501,9277,3127,0.33707,240,368,408,19,1,0,0,0,63.96,0.27,4,108,63.96
35,8023,6512,1511,9284,3384,0.36450,5,360,400,18,1,0,0,0,63.96,0.25,2,108,63.96
36,8005,6505,1500,9866,3789,0.38405,256,360,392,2016,1,1,0,0,63.96,0.63,10,111,63.96
37,8014,6511,1503,10295,3266,0.31724,256,264,272,20,1,0,0,0,63.96,0.27,2,111,63.96
38,8022,6518,1504,9741,2703,0.27749,256,264,368,36,1,0,0,0,63.96,0.28,3,111,63.96
39,8023,6519,1504,9259,3096,0.33438,244,344,384,13,1,0,0,0,63.95,0.30,3,111,63.95
40,8020,6516,1504,7432,2858,0.38455,256,272,368,76,0,1,0,0,63.95,0.00,0,114,63.95
41,8023,6517,1506,6405,2827,0.44137,256,272,288,21,0,0,0,0,63.95,0.02,1,114,63.95
42,8013,6514,1499,6412,2764,0.43107,256,272,280,21,0,0,0,0,63.95,0.00,0,114,63.95
43,8015,6510,1505,6368,2943,0.46215,256,272,280,47,0,0,0,0,63.95,0.00,0,114,63.95
44,8024,6519,1505,6386,2803,0.43893,256,272,280,23,0,0,0,0,63.95,0.05,2,114,63.95
45,8018,6515,1503,6364,2727,0.42850,256,272,288,23,0,0,0,0,63.95,0.02,1,114,63.95
46,8023,6519,1504,10074,3773,0.37453,256,264,288,3200,1,1,1,0,63.96,0.07,5,124,63.96
47,8029,6523,1506,11145,4006,0.35944,256,272,288,148,1,0,0,0,63.97,0.05,1,124,63.97
48,8037,6532,1505,10771,3163,0.29366,256,272,288,2240,1,1,0,0,63.97,0.09,2,123,63.97
49,8024,6518,1506,11438,3845,0.33616,256,272,288,2240,1,0,0,0,63.97,0.20,5,123,63.97
50,8019,6516,1503,11100,3581,0.32261,256,272,288,1888,1,0,0,0,63.97,0.03,1,123,63.97
51,8022,6521,1501,10357,2433,0.23491,256,272,288,100,1,1,0,0,63.97,0.00,0,122,63.97
52,8020,6512,1508,11145,3477,0.31198,256,272,288,2560,1,0,0,0,63.97,0.06,2,122,63.97
53,8004,6505,1499,11885,4407,0.37080,256,272,280,2880,1,1,0,0,63.97,0.24,6,120,63.97
54,8025,6519,1506,10787,3421,0.31714,256,272,288,1504,1,0,0,0,63.97,0.05,3,120,63.97
55,8035,6529,1506,12061,4953,0.41066,256,272,288,2688,1,1,0,0,63.97,0.13,4,119,63.97
56,8022,6522,1500,10874,3692,0.33953,256,272,288,76,1,0,0,0,63.97,0.05,4,119,63.97
57,8021,6513,1508,11341,4241,0.37395,256,272,288,2496,1,1,0,0,63.97,0.10,1,118,63.97
58,8024,6519,1505,11371,4221,0.37121,256,264,280,2368,1,0,0,0,63.96,0.08,4,118,63.96
59,8011,6509,1502,10266,3009,0.29310,256,272,288,2016,1,1,0,0,63.96,0.11,4,117,63.96
60,8020,6516,1504,10823,3305,0.30537,256,272,280,180,1,0,0,0,63.96,0.00,0,117,63.96
61,8008,6508,1500,11233,3969,0.35333,256,272,280,2240,1,1,0,0,63.96,0.26,7,116,63.96
62,8026,6523,1503,11246,4019,0.35737,256,272,288,1568,1,0,0,0,63.96,0.02,2,116,63.96
63,8009,6506,1503,10742,3797,0.35347,220,272,280,2752,1,1,0,0,63.96,0.45,7,115,63.96
64,8038,6528,1510,10734,3471,0.32337,256,272,288,224,1,0,0,0,63.96,0.01,1,115,63.96
65,8026,6522,1504,10938,3976,0.36350,256,272,288,2880,1,1,0,0,63.96,0.21,6,114,63.96
66,8022,6518,1504,10244,3064,0.29910,256,272,288,35,1,0,0,0,63.96,0.08,3,114,63.96
67,8017,6513,1504,11167,3788,0.33921,256,272,280,2816,1,0,0,0,63.96,0.04,1,114,63.96
68,8011,6510,1501,10350,3123,0.30174,256,272,288,2816,1,1,0,0,63.96,0.15,4,113,63.96
69,8034,6529,1505,11397,4297,0.37703,256,264,280,2240,1,0,0,0,63.96,0.18,5,113,63.96
70,8010,6510,1500,9350,3189,0.34107,256,272,280,1568,0,1,0,0,63.96,0.13,4,112,63.96
71,8032,6524,1508,6433,2852,0.44334,256,272,288,20,0,0,0,0,63.96,0.18,6,112,63.96
72,8031,6525,1506,6423,2712,0.42223,256,272,288,20,0,0,0,0,63.95,0.01,2,112,63.95
73,8036,6529,1507,6409,2911,0.45421,256,272,280,19,0,0,0,0,63.95,0.00,0,112,63.95
74,8021,6516,1505,6405,2798,0.43685,256,264,288,18,0,0,0,0,63.95,0.08,1,112,63.95
75,8008,6506,1502,6413,2913,0.45423,256,272,280,31,0,0,0,0,63.95,0.00,0,112,63.95
76,8033,6528,1505,6437,2950,0.45829,256,272,288,23,0,0,0,0,63.95,0.09,2,112,63.95
77,8023,6518,1505,6408,2881,0.44959,256,272,288,21,0,0,0,0,63.95,0.31,5,112,63.95
78,8026,6523,1503,6430,2598,0.40404,256,272,288,38,0,0,0,0,63.95,0.00,0,112,63.95
79,8016,6512,1504,6389,3034,0.47488,256,272,288,27,0,0,0,0,63.95,0.04,2,112,63.95
80,8010,6508,1502,6405,2931,0.45761,256,272,288,32,0,0,0,0,63.95,0.00,0,112,63.95
81,8025,6520,1505,6397,2788,0.43583,256,272,288,21,0,0,0,0,63.95,0.02,1,112,63.95
82,8025,6520,1505,6392,2549,0.39878,264,272,288,22,0,0,0,0,63.95,0.14,2,112,63.95
83,8021,6517,1504,7386,2464,0.33360,256,272,288,2560,1,0,1,0,63.96,0.00,0,113,63.96
84,8016,6516,1500,10604,3219,0.30356,256,272,296,2432,1,1,0,0,63.96,0.06,2,124,63.96
