t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8085,6568,1517,6452,3000,0.46497,328,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
2,8046,6539,1507,6394,3425,0.53566,20,352,360,76,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
3,8071,6557,1514,6361,3804,0.59802,16,344,360,72,0,0,0,0,63.96,0.05,1,86,63.96,0,0,0,0,0,0
4,8062,6551,1511,6362,3744,0.58849,17,352,360,68,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0
5,8066,6554,1512,6377,3779,0.59260,16,344,352,82,0,0,0,0,63.96,0.04,1,86,63.96,0,0,0,0,0,0
6,8055,6544,1511,6374,3504,0.54973,18,344,360,368,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
7,8012,6509,1503,6360,3544,0.55723,17,344,352,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
8,8064,6552,1512,7547,3495,0.46310,20,344,360,2816,1,0,1,0,63.97,0.76,5,87,63.97,11,0,0,0,188,0
9,8042,6534,1508,8305,2789,0.33582,320,344,360,1472,1,1,0,0,61.94,4.19,6,97,61.96,4518,122,9,0,1211,24
10,8029,6528,1501,8609,3093,0.35928,312,344,360,72,1,0,0,0,63.96,8.34,10,97,63.96,0,122,9,0,2234,38
11,8004,6500,1504,7612,2758,0.36232,312,344,360,52,1,0,0,0,63.97,15.99,5,97,63.97,0,158,11,0,4278,41
12,8085,6569,1516,8703,2853,0.32782,320,352,360,57,1,0,0,0,63.97,14.96,4,97,63.97,0,1453,21,0,5303,41
13,8014,6510,1504,8107,3624,0.44702,336,352,360,59,1,0,0,0,63.97,16.13,7,97,63.97,0,3242,29,0,7349,41
14,8010,6509,1501,8231,3113,0.37820,328,352,360,60,1,0,0,0,63.97,15.97,6,97,63.97,0,4700,33,0,8794,41
15,8019,6516,1503,7965,2471,0.31023,320,344,360,57,1,0,0,0,63.97,15.92,5,97,63.97,0,6338,35,0,10418,41
16,8013,6510,1503,8135,2568,0.31567,328,344,360,76,1,1,0,0,63.68,9.20,4,100,63.69,1490,7355,41,0,11736,191
17,8090,6573,1517,8084,2799,0.34624,320,344,360,58,1,0,0,0,63.96,15.33,4,100,63.96,0,8979,41,0,13318,365
18,8002,6502,1500,8220,2813,0.34221,312,336,352,48,1,0,0,0,63.97,15.39,6,100,63.97,0,10462,41,0,14726,366
19,8084,6571,1513,7985,2784,0.34865,320,344,360,59,1,0,0,0,63.97,16.05,5,100,63.97,0,12120,207,0,16387,366
20,8063,6548,1515,8348,2885,0.34559,312,336,352,52,1,0,0,0,63.97,16.26,6,100,63.97,0,13954,330,0,18139,366
21,8021,6516,1505,8448,3136,0.37121,328,352,360,60,1,0,0,0,63.97,16.05,5,100,63.97,0,15348,366,0,19456,366
22,8023,6520,1503,7691,2628,0.34170,312,344,352,55,1,0,0,0,63.96,16.27,6,100,63.96,0,17244,366,0,21377,366
23,8083,6567,1516,8132,2161,0.26574,320,344,360,104,1,1,0,0,63.96,16.70,8,103,63.96,968,18444,366,0,22818,471
24,8037,6530,1507,8359,2457,0.29393,304,336,352,55,1,0,0,0,63.96,16.45,7,103,63.96,0,20310,366,0,24594,471
25,8027,6523,1504,9024,2550,0.28258,304,320,328,1376,1,0,0,0,63.96,14.93,7,103,63.96,0,21956,426,0,25800,471
26,8064,6551,1513,8179,2068,0.25284,312,368,448,176,1,0,0,0,63.96,12.96,7,103,63.96,0,23765,457,0,27091,471
27,7972,6473,1499,8523,2313,0.27138,312,472,1568,1440,1,0,0,0,63.96,10.12,6,103,63.96,0,24889,470,0,27463,471
28,8042,6538,1504,8247,2784,0.33758,320,1152,2304,2944,1,0,0,0,63.96,6.97,5,103,63.96,0,25710,471,0,27463,471
29,8005,6504,1501,7607,2997,0.39398,392,1248,2016,8704,1,1,0,0,63.96,5.55,2,106,63.96,1426,26103,471,0,28243,523
30,7973,6462,1511,7968,3316,0.41616,336,640,1568,280,1,0,0,0,63.97,7.83,3,106,63.97,0,27393,471,0,29454,529
31,8136,6628,1508,8007,3461,0.43225,344,1120,1952,4608,1,0,0,0,63.97,11.79,4,106,63.97,0,27405,471,0,30477,529
