t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8028,6524,1504,6391,2929,0.45830,328,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
2,8045,6537,1508,6375,3407,0.53443,20,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
3,8086,6569,1517,6350,3742,0.58929,17,352,360,62,0,0,0,0,63.96,0.05,1,86,63.96,0,0,0,0,0,0
4,8020,6517,1503,6327,3713,0.58685,17,352,360,66,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
5,8051,6543,1508,6373,3815,0.59862,17,344,360,62,0,0,0,0,63.96,0.03,1,86,63.96,0,0,0,0,0,0
6,8047,6536,1511,6371,3534,0.55470,19,352,360,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0
7,8026,6521,1505,6381,3597,0.56370,19,352,360,64,0,0,0,0,63.96,0.18,1,86,63.96,0,0,0,0,0,0
8,8011,6510,1501,7631,3485,0.45669,20,344,360,3008,1,0,1,0,63.96,0.03,1,87,63.96,0,0,0,0,0,0
9,8045,6536,1509,10209,4387,0.42972,47,344,368,2496,1,1,0,0,63.96,0.32,8,97,63.96,0,0,0,0,0,0
10,8066,6555,1511,12412,6361,0.51249,51,336,352,1984,1,0,0,0,63.97,0.34,8,97,63.97,0,0,0,0,0,0
11,8006,6504,1502,11216,4255,0.37937,312,328,344,2176,1,1,0,0,63.97,0.08,2,100,63.97,0,0,0,0,0,0
12,8006,6504,1502,10386,2977,0.28664,312,328,344,54,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0
13,8079,6567,1512,9830,3182,0.32370,312,344,360,60,1,0,0,0,63.97,0.21,4,100,63.97,0,0,0,0,0,0
14,8019,6512,1507,9571,3110,0.32494,320,352,360,1344,1,1,0,0,63.97,0.02,1,97,63.97,0,0,0,0,0,0
15,8015,6513,1502,9557,2997,0.31359,328,352,360,63,1,0,0,0,63.97,0.00,0,97,63.97,0,0,0,0,0,0
16,8035,6531,1504,9936,3271,0.32921,328,344,360,63,1,0,0,0,63.97,0.00,0,97,63.97,0,0,0,0,0,0
17,8012,6508,1504,9875,3558,0.36030,328,352,360,2368,1,1,0,0,63.97,0.09,4,100,63.97,0,0,0,0,0,0
18,8012,6510,1502,9288,2896,0.31180,328,352,360,62,1,0,0,0,63.97,0.02,2,100,63.97,0,0,0,0,0,0
19,8042,6533,1509,9900,3598,0.36343,328,352,360,256,1,0,0,0,63.97,0.02,1,100,63.97,0,0,0,0,0,0
20,8077,6563,1514,9783,3025,0.30921,328,352,368,72,1,0,0,0,63.97,0.06,2,100,63.97,0,0,0,0,0,0
21,8060,6552,1508,10382,3900,0.37565,320,352,360,1920,1,1,0,0,63.97,0.11,1,103,63.97,0,0,0,0,0,0
22,8029,6519,1510,9910,3362,0.33925,320,344,360,80,1,0,0,0,63.96,0.17,2,103,63.96,0,0,0,0,0,0
23,8008,6508,1500,9395,2765,0.29431,320,352,360,68,1,0,0,0,63.96,0.01,1,103,63.96,0,0,0,0,0,0
24,8010,6507,1503,9909,3104,0.31325,336,352,368,1888,1,1,0,0,63.96,0.40,5,100,63.96,0,0,0,0,0,0
25,8062,6551,1511,9524,2421,0.25420,336,352,368,64,1,0,0,0,63.97,0.29,5,100,63.97,0,0,0,0,0,0
26,8027,6522,1505,10060,3144,0.31252,328,352,360,144,1,0,0,0,63.97,0.00,1,100,63.97,0,0,0,0,0,0
27,8018,6517,1501,9700,3028,0.31216,336,352,368,168,1,0,0,0,63.96,0.22,2,100,63.96,0,0,0,0,0,0
28,8009,6505,1504,9604,3400,0.35402,328,352,360,1280,1,1,0,0,63.96,0.10,4,103,63.96,0,0,0,0,0,0
29,8011,6508,1503,9206,3271,0.35531,31,352,360,72,1,0,0,0,63.96,0.09,1,103,63.96,0,0,0,0,0,0
30,8021,6519,1502,10137,3819,0.37674,304,344,352,1472,1,0,0,0,63.96,0.16,1,103,63.96,0,0,0,0,0,0
31,8011,6508,1503,9620,3517,0.36559,288,344,360,1760,1,1,0,0,63.96,0.02,3,106,63.96,0,0,0,0,0,0
32,8010,6510,1500,9173,2792,0.30437,328,352,360,64,1,0,0,0,63.96,0.03,1,106,63.96,0,0,0,0,0,0
33,8075,6559,1516,10536,4547,0.43157,256,344,360,188,1,0,0,0,63.96,0.09,1,106,63.96,0,0,0,0,0,0
34,8009,6507,1502,9137,3325,0.36391,22,352,360,64,1,0,0,0,63.96,0.00,0,106,63.96,0,0,0,0,0,0
