t,type,level,bytes
-29.909,flush_begin,0,0
-29.890,flush_end,0,6638552
-29.880,flush_begin,0,0
-29.861,flush_end,0,6638554
-29.852,flush_begin,0,0
-29.835,flush_end,0,6638553
-29.826,flush_begin,0,0
-29.809,flush_end,0,6638553
-29.800,flush_begin,0,0
-29.784,flush_end,0,6638553
-29.775,flush_begin,0,0
-29.758,flush_end,0,6638554
-29.749,flush_begin,0,0
-29.734,flush_end,0,6638552
-29.725,flush_begin,0,0
-29.709,flush_end,0,6638554
-29.700,flush_begin,0,0
-29.684,flush_end,0,6638554
-29.676,flush_begin,0,0
-29.660,flush_end,0,6638552
-29.651,flush_begin,0,0
-29.636,flush_end,0,6638553
-29.628,flush_begin,0,0
-29.612,flush_end,0,6638553
-29.603,flush_begin,0,0
-29.587,flush_end,0,6638554
-29.579,flush_begin,0,0
-29.563,flush_end,0,6638552
-29.554,flush_begin,0,0
-29.539,flush_end,0,6638554
-29.530,flush_begin,0,0
-29.515,flush_end,0,6638554
-29.496,trivial_move,3,6638552
-29.496,flush_begin,0,0
-29.480,flush_end,0,6638552
-29.462,trivial_move,3,6638554
-29.462,flush_begin,0,0
-29.446,flush_end,0,6638555
-29.427,trivial_move,3,6638553
-29.427,flush_begin,0,0
-29.411,flush_end,0,6638553
-29.403,flush_begin,0,0
-29.387,flush_end,0,6638553
-29.371,trivial_move,3,6638553
-29.371,flush_begin,0,0
-29.356,flush_end,0,6638552
-29.338,trivial_move,3,6638553
-29.338,flush_begin,0,0
-29.321,flush_end,0,6638554
-29.303,trivial_move,3,6638554
-29.303,flush_begin,0,0
-29.287,flush_end,0,6638554
-29.270,trivial_move,3,6638552
-29.270,flush_begin,0,0
-29.253,flush_end,0,6638552
-29.235,trivial_move,3,6638554
-29.235,flush_begin,0,0
-29.219,flush_end,0,6638554
-29.203,trivial_move,3,6638554
-29.192,trivial_move,3,6638552
-29.192,flush_begin,0,0
-29.174,flush_end,0,6638553
-29.156,trivial_move,3,6638553
-29.156,flush_begin,0,0
-29.137,flush_end,0,6638553
-29.129,flush_begin,0,0
-29.111,flush_end,0,6638553
-29.095,trivial_move,3,6638553
-29.085,trivial_move,3,6638554
-29.085,flush_begin,0,0
-29.066,flush_end,0,6638554
-29.058,flush_begin,0,0
-29.041,flush_end,0,6638553
-29.023,trivial_move,3,6638552
-29.023,flush_begin,0,0
-29.005,flush_end,0,6638552
-28.989,trivial_move,3,6638554
-28.989,flush_begin,0,0
-28.972,flush_end,0,6638554
-28.956,trivial_move,3,6638554
-28.945,trivial_move,3,6638552
-28.945,flush_begin,0,0
-28.928,flush_end,0,6638553
-28.905,trivial_move,3,6638555
-28.905,flush_begin,0,0
-28.888,flush_end,0,6638553
-28.870,trivial_move,3,6638553
-28.870,flush_begin,0,0
-28.853,flush_end,0,6638553
-28.835,trivial_move,3,6638553
-28.835,flush_begin,0,0
-28.818,flush_end,0,6638555
-28.799,trivial_move,3,6638552
-28.799,flush_begin,0,0
-28.783,flush_end,0,6638553
-28.766,trivial_move,3,6638554
-28.766,flush_begin,0,0
-28.749,flush_end,0,6638553
-28.730,trivial_move,3,6638554
-28.730,flush_begin,0,0
-28.713,flush_end,0,6638554
-28.695,trivial_move,3,6638552
-28.695,flush_begin,0,0
-28.678,flush_end,0,6638552
-28.670,flush_begin,0,0
-28.653,flush_end,0,6638553
-28.635,trivial_move,3,6638554
-28.635,flush_begin,0,0
-28.618,flush_end,0,6638553
-28.610,flush_begin,0,0
-28.594,flush_end,0,6638554
-28.574,trivial_move,3,6638553
-28.574,flush_begin,0,0
-28.557,flush_end,0,6638553
-28.539,trivial_move,3,6638553
-28.539,flush_begin,0,0
-28.523,flush_end,0,6638553
-28.504,trivial_move,3,6638553
-28.504,flush_begin,0,0
-28.488,flush_end,0,6638554
-28.480,flush_begin,0,0
-28.463,flush_end,0,6638552
-28.447,trivial_move,3,6638554
-28.447,flush_begin,0,0
-28.431,flush_end,0,6638554
-28.412,trivial_move,3,6638553
-28.412,flush_begin,0,0
-28.396,flush_end,0,6638553
