t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8096,6577,1519,6462,3008,0.46549,320,344,360,60,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
2,8086,6570,1516,6432,3441,0.53498,13,328,344,49,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
3,8065,6555,1510,6350,3697,0.58220,17,344,360,63,0,0,0,0,63.96,0.04,1,87,63.96,0,0,0,0,0,0
4,8091,6572,1519,6379,3742,0.58661,16,344,352,62,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
5,8016,6517,1499,6350,3797,0.59795,15,344,352,60,0,0,0,0,63.96,0.04,1,87,63.96,0,0,0,0,0,0
6,8082,6563,1519,6403,3528,0.55099,16,344,352,59,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0
7,8010,6507,1503,6337,3536,0.55799,17,344,360,58,0,0,0,0,63.95,0.00,0,87,63.95,0,0,0,0,0,0
8,8047,6538,1509,7340,3865,0.52657,16,344,352,2560,1,0,1,0,63.98,1.32,6,88,63.98,483,0,0,0,812,355
9,8015,6516,1499,8980,4041,0.45000,13,320,336,2496,1,1,0,0,63.98,4.15,5,98,63.98,4524,0,0,0,1983,644
10,8007,6502,1505,10027,5072,0.50583,256,344,376,70,1,0,0,0,63.98,9.36,7,98,63.98,0,66,49,0,3322,770
11,8617,7002,1615,8791,3781,0.43010,304,528,3136,114,1,0,0,0,63.97,12.47,6,98,63.97,0,1421,520,0,4877,785
12,8002,6501,1501,8829,3589,0.40650,304,344,376,63,1,0,0,0,63.97,14.13,5,98,63.97,0,2859,604,0,6656,785
13,8058,6550,1508,8348,3412,0.40872,304,560,2368,2496,1,0,0,0,63.97,15.04,6,98,63.97,0,3807,665,0,7768,785
14,8008,6505,1503,9347,3447,0.36878,312,576,2112,1280,1,1,0,0,63.97,4.43,4,101,63.97,1877,5042,700,0,7768,1104
15,8056,6544,1512,8862,2587,0.29192,400,488,864,58,1,0,0,0,63.97,4.25,2,101,63.97,0,6197,728,0,7768,1205
16,8080,6569,1511,9117,3888,0.42646,344,464,1312,1792,1,0,0,0,63.97,6.40,2,101,63.97,0,7367,804,0,9407,1205
17,8004,6502,1502,8328,2758,0.33117,344,504,1344,72,1,0,0,0,63.97,8.69,3,101,63.97,0,7703,1140,0,9992,1205
18,8040,6531,1509,8568,3108,0.36275,344,640,1984,560,1,0,0,0,63.97,8.61,5,101,63.97,0,7794,1200,0,9992,1205
19,8006,6504,1502,8026,2693,0.33553,368,1344,2432,11776,1,1,0,0,63.97,0.00,0,104,63.97,1396,8892,1200,0,9992,1444
20,8057,6549,1508,7768,2550,0.32827,360,832,2112,122,1,0,0,0,63.97,4.42,4,104,63.97,0,9707,1200,0,11104,1485
21,8016,6510,1506,8489,3275,0.38579,320,1088,2016,912,1,0,0,0,63.96,5.67,3,104,63.96,0,9710,1203,0,11444,1485
22,8003,6503,1500,8197,3213,0.39197,312,1280,1984,66,1,0,0,0,63.96,8.66,5,104,63.96,0,9964,1419,0,12217,1485
23,8010,6510,1500,8617,2610,0.30289,312,488,1344,160,1,0,0,0,63.96,5.12,6,104,63.96,0,10920,1470,0,12217,1485
24,8027,6521,1506,8694,2264,0.26041,328,488,992,42,1,0,0,0,63.96,3.85,2,104,63.96,0,11216,1470,0,12217,1485
25,7718,6266,1452,7685,2136,0.27794,408,1472,3648,2624,1,1,0,0,63.96,0.16,2,107,63.96,1710,11939,1474,0,12217,1506
26,8197,6661,1536,8246,2267,0.27492,408,1344,3136,320,1,0,0,0,63.97,0.02,1,107,63.97,0,12182,1481,0,12217,1516
27,8211,6676,1535,7835,2793,0.35648,416,1536,5376,3200,1,0,0,0,63.97,2.19,1,107,63.96,0,12184,1483,0,12778,1516
28,8016,6511,1505,8533,3779,0.44287,400,976,2304,816,1,0,0,0,63.97,5.08,4,107,63.97,0,12198,1497,0,13483,1516
