t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8006,6502,1504,6380,2937,0.46034,320,344,360,72,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0
2,8011,6510,1501,6380,3384,0.53041,20,344,360,180,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0
3,8013,6511,1502,6318,3827,0.60573,14,344,352,64,0,0,0,0,63.95,0.02,1,88,63.96,0,0,0,0,0,0
4,8012,6509,1503,6324,3665,0.57954,16,344,352,66,0,0,0,0,63.95,0.00,0,88,63.95,0,0,0,0,0,0
5,8032,6526,1506,6338,3778,0.59609,16,344,352,68,0,0,0,0,63.96,0.02,1,88,63.96,0,0,0,0,0,0
6,8013,6515,1498,6349,3523,0.55489,17,344,352,63,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0
7,8009,6503,1506,6351,3596,0.56621,16,344,360,61,0,0,0,0,63.95,0.12,1,88,63.95,0,0,0,0,0,0
8,8014,6511,1503,6371,3413,0.53571,18,344,360,68,0,0,1,0,63.98,0.02,1,89,63.98,0,0,0,0,1136,2
9,8010,6509,1501,9119,4794,0.52572,240,344,352,2752,1,1,0,0,63.22,0.99,6,99,63.22,5674,1136,1136,0,2261,1230
10,8010,6507,1503,8736,4048,0.46337,244,344,360,63,1,0,0,0,63.96,5.36,8,99,63.96,0,1136,1136,0,3562,1386
11,8012,6510,1502,8655,3992,0.46124,320,344,360,61,1,0,0,0,63.97,11.77,5,99,63.97,0,1939,1140,0,5274,1462
12,8013,6511,1502,7644,2905,0.38004,320,352,360,56,1,0,0,0,63.97,15.41,6,99,63.97,0,3137,1234,0,7288,1462
13,8061,6550,1511,8729,3845,0.44049,336,344,360,59,1,0,0,0,63.97,16.34,8,99,63.97,0,4675,1313,0,8973,1462
14,8011,6508,1503,8212,2875,0.35010,320,352,360,55,1,0,0,0,63.97,16.18,8,99,63.97,0,6143,1358,0,10357,1462
15,8088,6576,1512,7977,2577,0.32305,328,344,360,55,1,0,0,0,63.97,15.25,5,99,63.97,0,7976,1389,0,11951,1462
16,8090,6571,1519,8220,2602,0.31655,320,344,360,57,1,1,0,0,63.97,11.33,3,102,63.97,1622,9359,1453,0,13257,1586
17,8008,6506,1502,9122,2994,0.32822,336,344,360,74,1,0,0,0,63.97,11.19,5,102,63.97,0,10672,1457,0,13708,1628
18,8007,6504,1503,8632,3610,0.41821,336,344,360,56,1,0,0,0,63.97,11.52,5,102,63.97,0,12067,1461,0,15183,1628
19,8012,6510,1502,8588,3084,0.35911,328,344,360,54,1,0,0,0,63.98,10.77,7,102,63.97,0,13268,1544,0,16064,1628
20,8038,6535,1503,7849,2904,0.36998,320,344,360,55,1,0,0,0,63.97,14.24,6,102,63.97,0,14290,1602,0,17959,1628
21,8012,6508,1504,8409,2718,0.32323,320,344,360,216,1,1,0,0,63.97,12.79,10,105,63.97,753,15644,1628,0,18877,1628
22,8086,6572,1514,8650,2559,0.29584,320,344,360,57,1,0,0,0,63.97,11.48,8,105,63.97,0,16840,1628,0,19729,1628
23,8064,6546,1518,8443,2529,0.29954,336,352,360,61,1,0,0,0,63.96,10.58,6,105,63.96,0,17983,1628,0,20665,1628
24,8010,6509,1501,8361,2271,0.27162,328,344,360,53,1,0,0,0,63.96,11.09,7,105,63.96,0,18877,1628,0,21688,1628
25,8009,6510,1499,7710,2096,0.27185,336,352,360,59,1,0,0,0,63.96,13.41,6,105,63.96,0,19974,1628,0,23397,1628
26,8011,6506,1505,8208,2299,0.28009,328,344,360,55,1,0,0,0,63.96,14.08,4,105,63.96,0,21154,1628,0,24757,1628
27,8005,6506,1499,7856,2319,0.29519,336,352,360,60,1,0,0,0,63.96,14.33,5,105,63.96,0,22680,1628,0,26348,1628
28,8027,6522,1505,8243,2984,0.36200,328,344,360,66,1,1,0,0,63.97,7.22,5,108,63.97,976,23776,1628,0,27657,1784
29,8017,6512,1505,7761,3653,0.47069,36,344,360,58,1,0,0,0,63.96,11.11,3,108,63.96,0,25261,1628,0,29648,2168
30,8011,6511,1500,8359,3113,0.37241,320,344,360,60,1,0,0,0,63.97,15.35,7,108,63.97,0,26220,1628,0,30698,2194
31,8044,6536,1508,8552,3329,0.38927,304,344,352,84,1,0,0,0,63.96,15.11,6,108,63.96,0,27693,1789,0,31965,2194
32,8009,6506,1503,7959,3132,0.39352,312,344,360,66,1,0,0,0,63.96,15.56,7,108,63.96,0,29699,2182,0,33653,2194
33,8082,6565,1517,8039,3350,0.41672,304,336,352,136,1,0,0,0,63.96,17.23,6,108,63.96,0,31052,2194,0,35437,2194
34,8009,6507,1502,9380,3514,0.37463,272,344,360,2176,1,1,0,0,58.23,0.65,5,111,58.25,1991,31677,2194,0,35535,2350
35,8011,6514,1497,7470,3126,0.41847,304,344,360,61,1,0,0,0,63.96,7.87,3,111,63.96,0,33323,2194,0,37449,2437
36,8010,6505,1505,8461,3329,0.39345,320,344,352,66,1,0,0,0,63.96,12.99,5,111,63.96,0,35188,2194,0,38760,2437
37,8053,6543,1510,8496,3250,0.38253,23,344,352,64,1,0,0,0,63.96,14.44,6,111,63.96,0,35719,2303,0,39548,2437
38,8056,6545,1511,7471,3310,0.44305,23,344,360,58,1,0,0,0,63.96,15.79,8,111,63.96,0,37366,2335,0,41488,2437
39,8014,6512,1502,8446,3067,0.36313,312,344,360,64,1,0,0,0,63.96,14.50,6,111,63.96,0,38628,2353,0,42424,2437
40,8013,6509,1504,8827,2883,0.32661,320,344,360,80,1,1,0,0,62.37,6.95,6,114,62.39,1236,39476,2401,0,43245,2442
41,8018,6515,1503,8046,2466,0.30649,320,344,360,60,1,0,0,0,63.96,12.10,6,114,63.96,0,41236,2437,0,44579,2528
42,8049,6543,1506,8369,2637,0.31509,336,344,360,63,1,0,0,0,63.96,11.54,5,114,63.96,0,42704,2437,0,45749,2528
43,8075,6558,1517,8568,3354,0.39146,336,344,360,64,1,0,0,0,63.96,13.18,7,114,63.96,0,44057,2471,0,47447,2528
44,8041,6534,1507,7642,2193,0.28697,328,352,360,59,1,0,0,0,63.96,15.99,5,114,63.96,0,45181,2506,0,49296,2528
45,8012,6509,1503,8282,2701,0.32613,336,344,360,57,1,0,0,0,63.96,15.15,5,114,63.96,0,46472,2522,0,50319,2528
46,8065,6553,1512,7246,2807,0.38739,320,352,360,848,1,0,1,0,63.97,12.21,5,115,63.97,0,48235,2528,0,52409,2566
47,8010,6510,1500,8994,4132,0.45942,328,344,360,3072,1,1,0,0,63.98,4.98,9,112,63.98,1261,49271,2528,0,53674,3800
48,8062,6548,1514,9146,4181,0.45714,320,344,360,864,1,1,0,0,63.96,4.78,3,117,63.96,3186,51283,3595,0,54958,4859
49,8012,6511,1501,7992,2977,0.37250,320,344,360,58,1,0,0,0,63.98,10.95,3,117,63.98,0,52009,3631,0,56737,5010
50,8038,6534,1504,8722,2832,0.32470,336,352,368,57,1,0,0,0,63.96,14.52,6,117,63.96,0,53377,4315,0,57799,5023
51,8011,6507,1504,8658,2835,0.32744,320,344,360,58,1,0,0,0,63.97,11.93,7,117,63.97,0,55243,4667,0,58647,5023
52,8009,6507,1502,8657,3072,0.35486,328,352,360,56,1,0,0,0,63.97,10.55,9,117,63.97,0,56821,4874,0,59605,5023
53,8024,6519,1505,8734,3979,0.45558,328,352,360,1008,1,1,0,0,63.97,7.01,5,114,63.97,351,57820,4948,0,61008,5095
54,8031,6524,1507,8654,3039,0.35117,320,344,360,56,1,0,0,0,63.97,7.44,5,114,63.97,0,58734,4966,0,61797,5167
