t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8052,6544,1508,6424,2935,0.45688,328,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,63,0,135196,63
2,8084,6569,1515,6439,3420,0.53114,20,344,360,61,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,63,0,135196,63
3,8034,6528,1506,6312,3794,0.60108,17,352,360,61,0,0,0,0,63.96,0.02,1,86,63.96,0,135196,63,0,135196,63
4,8055,6542,1513,6332,3691,0.58291,17,352,360,60,0,0,0,0,63.95,0.00,0,86,63.95,0,135196,63,0,135196,63
5,8011,6513,1498,6339,3758,0.59284,18,352,360,66,0,0,0,0,63.96,0.00,1,86,63.96,0,135196,63,0,135196,63
6,8023,6519,1504,6351,3545,0.55818,18,344,360,61,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,63,0,135196,63
7,8015,6508,1507,6350,3569,0.56205,18,344,360,61,0,0,0,0,63.96,0.14,1,86,63.96,0,135196,63,0,135196,63
8,8067,6554,1513,6413,3371,0.52565,21,344,360,62,0,0,0,0,63.96,5.01,2,86,63.96,0,135196,63,0,136459,63
9,8014,6515,1499,8498,4973,0.58520,280,344,360,2944,1,1,1,0,63.97,2.55,8,97,63.97,5943,135196,63,0,138324,1677
10,8010,6504,1506,8309,3426,0.41232,312,352,376,55,1,0,0,0,63.97,6.03,8,97,63.97,0,135212,79,0,139732,1845
11,8078,6565,1513,8726,4156,0.47628,320,344,360,59,1,0,0,0,63.97,12.94,4,97,63.97,0,137994,1634,0,141635,1938
12,8067,6553,1514,7780,2789,0.35848,336,352,368,55,1,0,0,0,63.97,16.13,6,97,63.97,0,139100,1698,0,143439,1938
13,8012,6511,1501,8591,3265,0.38005,328,352,360,64,1,0,0,0,63.97,15.49,9,97,63.97,0,140555,1786,0,144640,1938
14,8010,6508,1502,8279,3491,0.42167,320,352,360,55,1,0,0,0,63.97,16.03,6,97,63.97,0,142313,1841,0,146508,1938
15,8060,6548,1512,8085,2521,0.31181,320,344,360,58,1,0,0,0,63.97,15.68,6,97,63.97,0,143993,1871,0,148019,1938
16,8061,6555,1506,8410,2880,0.34245,328,352,360,66,1,1,0,0,63.68,7.44,3,100,63.69,2086,145478,1933,0,149408,1999
17,8011,6504,1507,7748,2878,0.37145,336,352,360,64,1,0,0,0,63.97,14.45,4,100,63.97,0,147242,1936,0,151231,2168
18,8034,6527,1507,8654,3529,0.40779,328,352,360,56,1,0,0,0,63.98,14.90,5,100,63.97,0,148600,1936,0,152647,2168
19,8010,6509,1501,7987,3266,0.40891,336,352,360,58,1,0,0,0,63.97,16.38,6,100,63.97,0,150237,2041,0,154523,2168
20,8011,6508,1503,8248,2818,0.34166,328,352,360,59,1,0,0,0,63.97,15.48,6,100,63.97,0,152061,2133,0,156050,2168
21,8038,6532,1506,7898,2638,0.33401,336,352,360,60,1,0,0,0,63.96,15.73,4,100,63.96,0,153565,2168,0,157592,2168
22,8029,6523,1506,8279,2708,0.32709,320,344,480,58,1,0,0,0,63.96,14.68,7,100,63.96,0,155093,2168,0,158819,2168
23,8037,6529,1508,8092,2956,0.36530,328,352,360,63,1,1,0,0,61.48,11.33,4,103,61.51,1250,156534,2168,0,160492,2200
24,8067,6555,1512,7945,2533,0.31882,328,352,360,63,1,0,0,0,63.96,16.68,8,103,63.96,0,157977,2168,0,162254,2215
25,8010,6509,1501,8573,2975,0.34702,336,352,360,61,1,0,0,0,63.97,13.93,9,103,63.97,0,160300,2168,0,163897,2215
26,8090,6575,1515,8310,2365,0.28460,312,344,352,50,1,0,0,0,63.96,15.47,6,103,63.96,0,161676,2215,0,165607,2215
27,8085,6569,1516,7918,2276,0.28745,328,352,360,66,1,0,0,0,63.96,14.76,6,103,63.96,0,163382,2215,0,167146,2215
28,8043,6537,1506,7864,2598,0.33037,320,352,360,72,1,0,0,0,63.96,15.91,6,103,63.96,0,164628,2215,0,168676,2215
29,8007,6503,1504,8150,3015,0.36994,328,352,360,62,1,0,0,0,63.97,15.38,5,103,63.97,0,165859,2215,0,169796,2215
30,8015,6513,1502,7596,2959,0.38955,312,344,360,110,1,1,0,0,63.52,16.40,5,106,63.53,852,167377,2215,0,171576,2215
31,8009,6505,1504,8290,2925,0.35283,320,352,360,62,1,0,0,0,63.97,15.47,6,106,63.97,0,168662,2215,0,172622,2215
