t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once
1,8002,6502,1500,6387,2891,0.45264,256,264,272,20,0,0,0,0,63.96,0.00,0,86,63.96,16378,111158,16378,0,111158,16378
2,8000,6499,1501,6362,3294,0.51776,9,264,272,17,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0,111158,16378
3,8031,6528,1503,6307,3810,0.60409,7,264,272,17,0,0,0,0,63.96,0.00,1,86,63.96,0,111158,16378,0,111158,16378
4,8005,6502,1503,6311,3658,0.57962,6,264,272,18,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0,111158,16378
5,8030,6525,1505,6337,3738,0.58987,7,264,272,18,0,0,0,0,63.96,0.02,1,86,63.96,0,111158,16378,0,111158,16378
6,8004,6505,1499,6344,3554,0.56021,7,264,272,16,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0,111158,16378
7,8004,6500,1504,6353,3563,0.56084,7,264,272,18,0,0,0,0,63.96,0.00,0,86,63.96,0,111158,16378,0,111158,16378
8,8006,6505,1501,6366,3397,0.53362,8,264,272,23,0,0,0,0,63.96,5.70,2,86,63.96,0,111158,16378,0,112604,16378
9,8008,6507,1501,12937,6825,0.52756,248,264,280,3200,1,1,1,0,63.96,0.12,6,97,63.96,5763,112727,17947,0,112727,17947
10,8003,6503,1500,12859,6077,0.47259,11,264,280,3008,1,0,0,0,63.96,0.20,7,97,63.96,0,112727,17947,0,112727,17947
11,8010,6510,1500,11858,3903,0.32914,256,272,280,2624,1,1,0,0,59.09,0.30,2,100,59.09,1539,112727,17947,0,112727,17947
12,8028,6524,1504,10771,3056,0.28372,256,264,280,48,1,0,0,0,63.97,0.06,1,100,63.97,0,112727,17947,0,112727,17947
13,8012,6506,1506,11382,4169,0.36628,256,272,280,2560,1,1,0,0,62.77,0.11,4,97,62.77,2249,112727,17947,0,112727,17947
14,8004,6503,1501,11718,4609,0.39333,256,272,280,2560,1,0,0,0,63.97,0.00,0,97,63.97,0,112727,17947,0,112727,17947
15,8006,6506,1500,10245,2814,0.27467,256,272,288,2432,1,1,0,0,57.22,0.00,0,100,57.22,1129,112727,17947,0,112727,17947
16,8008,6506,1502,10962,3573,0.32594,256,264,280,528,1,0,0,0,63.97,0.00,0,100,63.97,0,112727,17947,0,112727,17947
17,8041,6537,1504,11497,4029,0.35044,256,272,280,2112,1,0,0,0,63.97,0.02,1,100,63.97,0,112727,17947,0,112727,17947
18,8003,6499,1504,11233,3987,0.35494,256,264,280,2048,1,1,0,0,63.96,0.03,1,103,63.96,1296,112727,17947,0,112727,17947
19,8034,6527,1507,10915,3703,0.33926,256,272,280,188,1,0,0,0,63.97,0.07,2,103,63.97,0,112727,17947,0,112727,17947
20,8006,6505,1501,10317,2681,0.25986,256,272,288,2432,1,1,0,0,59.53,0.07,5,106,59.53,1360,112727,17947,0,112727,17947
