t,type,level,bytes
-29.897,flush_begin,0,0
-29.873,flush_end,0,6638552
-29.861,flush_begin,0,0
-29.837,flush_end,0,6638554
-29.825,flush_begin,0,0
-29.801,flush_end,0,6638553
-29.789,flush_begin,0,0
-29.765,flush_end,0,6638553
-29.753,flush_begin,0,0
-29.728,flush_end,0,6638553
-29.716,flush_begin,0,0
-29.684,flush_end,0,6638554
-29.673,flush_begin,0,0
-29.649,flush_end,0,6638552
-29.637,flush_begin,0,0
-29.613,flush_end,0,6638554
-29.601,flush_begin,0,0
-29.576,flush_end,0,6638554
-29.564,flush_begin,0,0
-29.541,flush_end,0,6638552
-29.529,flush_begin,0,0
-29.505,flush_end,0,6638553
-29.493,flush_begin,0,0
-29.469,flush_end,0,6638553
-29.457,flush_begin,0,0
-29.433,flush_end,0,6638554
-29.421,flush_begin,0,0
-29.398,flush_end,0,6638552
-29.387,flush_begin,0,0
-29.362,flush_end,0,6638554
-29.350,flush_begin,0,0
-29.326,flush_end,0,6638554
-29.310,trivial_move,3,6638552
-29.307,flush_begin,0,0
-29.283,flush_end,0,6638552
-29.267,trivial_move,3,6638554
-29.264,flush_begin,0,0
-29.241,flush_end,0,6638555
-29.225,trivial_move,3,6638553
-29.222,flush_begin,0,0
-29.198,flush_end,0,6638553
-29.182,trivial_move,3,6638553
-29.179,flush_begin,0,0
-29.155,flush_end,0,6638553
-29.139,trivial_move,3,6638553
-29.136,flush_begin,0,0
-29.112,flush_end,0,6638552
-29.096,trivial_move,3,6638554
-29.093,flush_begin,0,0
-29.070,flush_end,0,6638554
-29.054,trivial_move,3,6638552
-29.052,flush_begin,0,0
-29.027,flush_end,0,6638554
-29.011,trivial_move,3,6638554
-29.010,flush_begin,0,0
-28.985,flush_end,0,6638552
-28.969,trivial_move,3,6638554
-28.966,flush_begin,0,0
-28.942,flush_end,0,6638554
-28.926,trivial_move,3,6638552
-28.923,flush_begin,0,0
-28.899,flush_end,0,6638553
-28.883,trivial_move,3,6638553
-28.880,flush_begin,0,0
-28.857,flush_end,0,6638553
-28.841,trivial_move,3,6638553
-28.838,flush_begin,0,0
-28.815,flush_end,0,6638553
-28.799,trivial_move,3,6638554
-28.796,flush_begin,0,0
-28.773,flush_end,0,6638554
-28.757,trivial_move,3,6638552
-28.754,flush_begin,0,0
-28.730,flush_end,0,6638553
-28.714,trivial_move,3,6638554
-28.711,flush_begin,0,0
-28.687,flush_end,0,6638552
-28.670,trivial_move,3,6638554
-28.667,flush_begin,0,0
-28.644,flush_end,0,6638554
-28.628,trivial_move,3,6638552
-28.626,flush_begin,0,0
-28.601,flush_end,0,6638553
-28.585,trivial_move,3,6638555
-28.582,flush_begin,0,0
-28.558,flush_end,0,6638553
-28.542,trivial_move,3,6638553
-28.539,flush_begin,0,0
-28.515,flush_end,0,6638553
-28.499,trivial_move,3,6638553
-28.496,flush_begin,0,0
-28.472,flush_end,0,6638555
-28.456,trivial_move,3,6638552
-28.454,flush_begin,0,0
-28.430,flush_end,0,6638553
-28.414,trivial_move,3,6638554
-28.411,flush_begin,0,0
-28.388,flush_end,0,6638553
-28.372,trivial_move,3,6638554
-28.369,flush_begin,0,0
-28.345,flush_end,0,6638554
-28.329,trivial_move,3,6638552
-28.326,flush_begin,0,0
-28.302,flush_end,0,6638552
-28.285,trivial_move,3,6638554
-28.282,flush_begin,0,0
-28.258,flush_end,0,6638553
-28.242,trivial_move,3,6638553
-28.239,flush_begin,0,0
-28.215,flush_end,0,6638553
-28.199,trivial_move,3,6638553
-28.196,flush_begin,0,0
-28.173,flush_end,0,6638554
-28.158,trivial_move,3,6638553
-28.155,flush_begin,0,0
-28.130,flush_end,0,6638553
-28.115,trivial_move,3,6638554
-28.113,flush_begin,0,0
-28.089,flush_end,0,6638553
-28.073,trivial_move,3,6638553
-28.069,flush_begin,0,0
-28.045,flush_end,0,6638554
-28.030,trivial_move,3,6638552
-28.028,flush_begin,0,0
-28.004,flush_end,0,6638552
-27.988,trivial_move,3,6638554
-27.987,flush_begin,0,0
-27.963,flush_end,0,6638554
-27.948,trivial_move,3,6638553
-27.945,flush_begin,0,0
-27.922,flush_end,0,6638553
-27.905,trivial_move,3,6638553
-27.903,flush_begin,0,0
-27.880,flush_end,0,6638553
-27.864,trivial_move,3,6638553
-27.862,flush_begin,0,0
-27.837,flush_end,0,6638553
-27.821,trivial_move,3,6638555
-27.819,flush_begin,0,0
-27.795,flush_end,0,6638553
-27.779,trivial_move,3,6638553
-27.776,flush_begin,0,0
-27.752,flush_end,0,6638555
-27.736,trivial_move,3,6638553
-27.733,flush_begin,0,0
