t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8022,6517,1505,6403,2911,0.45463,264,280,296,41,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8006,6507,1499,6350,3364,0.52976,16,288,296,48,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8005,6509,1496,6299,3739,0.59359,14,288,296,55,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
4,8007,6503,1504,6296,3658,0.58100,15,288,304,56,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
5,8012,6510,1502,6317,3746,0.59300,15,296,304,55,0,0,0,0,63.96,0.03,1,86,63.96,0,0,0,0,0,0,24038,0
6,8005,6500,1505,6351,3521,0.55440,12,288,296,36,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8007,6506,1501,6342,3514,0.55408,15,288,296,52,0,0,0,0,63.96,0.14,1,86,63.96,0,0,0,0,0,0,24038,0
8,8009,6507,1502,6446,3451,0.53537,9,272,280,2112,1,0,1,0,63.97,1.14,6,87,63.97,15,0,0,0,286,0,24849,44
9,8009,6507,1502,6606,3365,0.50939,16,272,288,2816,1,1,0,0,63.97,0.27,6,97,63.97,4543,0,0,0,429,90,29684,1800
10,8006,6505,1501,6591,3287,0.49871,224,272,288,2624,1,0,0,0,63.98,4.56,8,97,63.98,0,0,0,0,1541,144,34486,4265
11,8008,6507,1501,6578,2886,0.43874,264,272,296,848,1,1,0,0,45.84,2.09,4,100,45.84,1655,370,112,0,2653,238,37742,5077
12,8004,6503,1501,6560,2335,0.35595,264,272,296,2240,1,0,0,0,62.19,1.81,2,100,62.19,0,370,112,0,2653,422,42771,6617
13,8009,6512,1497,6567,2879,0.43840,264,272,296,1856,1,0,0,0,63.97,0.50,5,100,63.97,0,944,133,0,2722,422,46628,6921
14,8005,6500,1505,6551,2849,0.43490,264,272,296,2112,1,1,0,0,61.28,4.53,4,97,61.29,493,1902,159,0,3765,422,49482,7249
15,8007,6505,1502,6566,2776,0.42278,264,272,296,116,1,0,0,0,63.97,6.29,2,97,63.97,0,2611,380,0,4353,422,52768,7499
16,8023,6519,1504,6576,2596,0.39477,264,272,296,50,1,0,0,0,63.97,8.31,3,97,63.97,0,2714,414,0,4877,422,56514,8138
17,8008,6508,1500,6547,2637,0.40278,264,272,288,2688,1,1,0,0,63.89,8.56,4,100,63.89,2710,3670,416,0,5873,422,60320,9461
18,8004,6504,1500,6549,2837,0.43320,264,272,296,2240,1,0,0,0,63.97,8.38,4,100,63.97,0,3841,420,0,5989,422,65608,11404
19,8041,6532,1509,6570,2896,0.44079,264,272,296,560,1,0,0,0,63.97,4.41,4,100,63.97,0,4873,421,0,5989,422,69822,12018
20,8008,6506,1502,6522,2502,0.38362,264,272,296,2816,1,1,0,0,63.57,3.92,3,103,63.57,1430,4877,422,0,5989,422,73572,12199
21,8006,6504,1502,6505,2771,0.42598,264,272,288,736,1,0,0,0,63.97,0.25,2,103,63.97,0,5908,422,0,5989,422,78116,13219
22,8005,6504,1501,6485,2934,0.45243,264,272,288,2688,1,1,0,0,63.96,0.12,4,106,63.96,1907,5989,422,0,5989,422,82233,13805
23,8037,6535,1502,6535,2685,0.41086,264,272,288,592,1,0,0,0,63.96,0.05,2,106,63.96,0,5989,422,0,5989,422,86469,14428
24,8015,6508,1507,6490,2394,0.36888,264,272,288,1152,1,0,0,0,63.97,0.15,5,106,63.97,0,5989,422,0,5989,422,91529,15968
25,8008,6506,1502,6493,2070,0.31880,264,272,280,2496,1,1,0,0,63.96,0.04,2,109,63.96,2028,5989,422,0,5989,422,96872,17917
26,8015,6513,1502,6474,2295,0.35449,264,272,296,72,1,0,0,0,63.96,0.00,0,109,63.96,0,5989,422,0,5989,422,100835,18257
27,8006,6503,1503,6435,2366,0.36768,264,272,288,2368,1,1,0,0,58.57,0.08,2,112,58.58,1915,5989,422,0,5989,422,104410,18257
28,8004,6504,1500,6421,2807,0.43716,264,272,288,2432,1,0,0,0,63.96,0.02,3,112,63.96,0,5989,422,0,5989,422,108531,18833
29,8005,6505,1500,6421,3189,0.49665,15,272,288,1568,1,0,0,0,63.96,0.00,0,112,63.96,0,5989,422,0,5989,422,113463,20261
30,7996,6494,1502,6420,2951,0.45966,264,272,288,2112,1,1,0,0,63.96,0.09,2,115,63.96,1853,5989,422,0,5989,422,118329,21676
31,8020,6519,1501,6411,3040,0.47418,256,272,288,64,1,0,0,0,63.96,4.34,2,115,63.96,0,5989,422,0,7101,422,121736,22559
32,8005,6504,1501,6415,3132,0.48823,252,272,288,544,0,1,0,0,63.96,4.60,5,115,63.96,0,5989,422,0,7101,422,125392,22563
33,8033,6526,1507,6376,3113,0.48824,35,272,280,35,1,0,0,0,62.90,0.05,1,118,62.91,286,5989,422,0,7101,853,126428,22563
34,8006,6507,1499,6343,3512,0.55368,9,272,288,440,1,0,0,0,63.96,0.00,1,118,63.96,0,5989,422,0,7101,1120,130073,22564
35,8007,6504,1503,6376,3305,0.51835,10,272,280,688,1,0,0,0,63.95,0.01,1,118,63.95,0,6258,422,0,7101,1158,134166,23053
36,8005,6504,1501,6378,3167,0.49655,16,272,296,1504,1,1,0,0,63.96,4.57,6,115,63.96,480,6427,489,0,8241,1163,137195,23648
37,8012,6511,1501,6345,3538,0.55760,16,296,304,66,0,1,0,0,63.95,1.28,4,114,63.95,0,6472,534,0,8241,1401,137199,23648
38,8007,6504,1503,6307,3602,0.57111,15,296,304,55,0,0,0,0,63.95,1.41,5,114,63.95,0,6586,648,0,8241,1441,137199,23648
39,8005,6505,1500,6344,3141,0.49511,17,272,288,30,0,0,0,0,63.95,1.23,3,114,63.95,0,6632,694,0,8241,1441,137199,23648
40,8032,6528,1504,6375,2712,0.42541,264,296,304,53,0,0,0,0,63.95,0.40,4,114,63.95,0,7530,800,0,8241,1441,137199,23648
41,8006,6504,1502,6354,2492,0.39219,264,272,280,29,0,0,0,0,63.95,0.02,1,114,63.95,0,8068,1268,0,8241,1441,137199,23648
42,8005,6504,1501,6362,2429,0.38180,264,296,304,52,0,0,0,0,63.95,0.00,0,114,63.95,0,8241,1441,0,8241,1441,137199,23648
43,8027,6521,1506,6412,2411,0.37601,264,296,304,53,0,0,0,0,63.95,0.25,1,114,63.95,0,8241,1441,0,8241,1441,137199,23648
44,8021,6517,1504,6438,2212,0.34358,264,288,296,50,0,0,0,0,63.95,0.00,1,114,63.95,0,8241,1441,0,8241,1441,137199,23648
45,8009,6506,1503,6423,2687,0.41834,264,280,296,31,0,0,0,0,63.95,0.09,2,114,63.95,0,8241,1441,0,8241,1441,137199,23648
46,8007,6508,1499,6570,2883,0.43881,264,272,296,2688,1,1,1,0,63.97,0.61,6,126,63.97,1898,8241,1441,0,8524,1452,139213,23752
47,8007,6507,1500,6588,2796,0.42441,264,272,288,1952,1,0,0,0,63.97,0.09,3,126,63.97,0,8241,1441,0,8524,1497,144281,25328
48,8005,6501,1504,6575,2782,0.42312,264,272,296,320,1,0,0,0,63.97,1.84,4,126,63.97,0,8241,1441,0,8957,1510,148063,25932
49,8034,6529,1505,6581,2379,0.36150,264,272,296,2432,1,1,0,0,59.94,4.38,4,125,59.95,727,8294,1466,0,9636,1533,151771,26771
50,8003,6505,1498,6588,2388,0.36248,264,272,296,42,1,0,0,0,63.97,8.69,5,125,63.97,0,8464,1486,0,10748,1546,154401,26808
51,8045,6534,1511,6606,2738,0.41447,264,272,288,1696,1,0,0,0,63.96,6.97,5,125,63.96,0,8914,1494,0,10748,1546,159014,27888
52,8044,6537,1507,6600,2660,0.40303,264,272,296,2176,1,1,0,0,63.97,0.66,3,124,63.97,2000,9591,1501,0,11221,1547,163496,29326
53,8009,6511,1498,6560,3050,0.46494,264,272,288,192,1,0,0,0,63.97,0.01,1,124,63.97,0,10043,1506,0,11221,1547,167516,29724
54,8005,6498,1507,6520,2756,0.42270,264,272,288,2240,1,1,0,0,61.72,0.00,0,123,61.73,1133,10606,1543,0,11221,1547,172673,31437
55,8006,6505,1501,6528,3011,0.46124,264,272,288,400,1,0,0,0,63.96,0.00,0,123,63.96,0,10794,1545,0,11221,1547,176899,32082
56,8011,6509,1502,6534,3454,0.52862,9,272,288,2112,1,1,0,0,60.45,0.14,2,122,60.45,1709,11220,1546,0,11221,1547,180862,32487
57,8005,6504,1501,6517,3694,0.56683,8,272,288,440,1,0,0,0,63.96,0.07,1,122,63.96,0,11221,1547,0,11221,1547,184528,32488
58,8006,6507,1499,6508,3614,0.55532,9,272,288,2048,1,0,0,0,63.96,0.00,0,122,63.96,0,11221,1547,0,11221,1547,190312,34787
59,8025,6518,1507,6514,2999,0.46039,264,280,368,2240,1,1,0,0,63.96,0.31,7,121,63.96,1650,11221,1547,0,11221,1547,194721,35772
60,8032,6526,1506,6553,2711,0.41370,264,280,312,43,1,0,0,0,63.96,4.50,5,121,63.96,0,11221,1547,0,12333,1547,197492,35959
61,8008,6506,1502,6506,2601,0.39978,264,272,296,2688,1,1,0,0,58.63,1.23,6,119,58.64,659,11221,1547,0,12333,1547,201954,36952
62,8023,6522,1501,6524,2658,0.40742,264,272,296,55,1,0,0,0,63.96,1.03,5,119,63.96,0,11221,1547,0,12333,1547,205654,36972
63,8015,6510,1505,6505,2465,0.37894,264,272,288,1536,1,0,0,0,63.96,0.03,2,119,63.96,0,11656,1547,0,12333,1547,209865,37577
64,8030,6524,1506,6528,2255,0.34544,264,272,288,1536,1,1,0,0,63.96,0.17,3,117,63.96,2920,12333,1547,0,12333,1547,214593,38803
