t,type,level,bytes
-29.937,flush_begin,0,0
-29.919,flush_end,0,6638552
-29.910,flush_begin,0,0
-29.893,flush_end,0,6638554
-29.884,flush_begin,0,0
-29.867,flush_end,0,6638553
-29.858,flush_begin,0,0
-29.842,flush_end,0,6638553
-29.833,flush_begin,0,0
-29.816,flush_end,0,6638553
-29.807,flush_begin,0,0
-29.791,flush_end,0,6638554
-29.782,flush_begin,0,0
-29.765,flush_end,0,6638552
-29.756,flush_begin,0,0
-29.740,flush_end,0,6638554
-29.732,flush_begin,0,0
-29.714,flush_end,0,6638554
-29.705,flush_begin,0,0
-29.689,flush_end,0,6638552
-29.680,flush_begin,0,0
-29.658,flush_end,0,6638553
-29.649,flush_begin,0,0
-29.632,flush_end,0,6638553
-29.624,flush_begin,0,0
-29.607,flush_end,0,6638554
-29.599,flush_begin,0,0
-29.582,flush_end,0,6638552
-29.574,flush_begin,0,0
-29.557,flush_end,0,6638554
-29.549,flush_begin,0,0
-29.532,flush_end,0,6638554
-29.514,trivial_move,3,6638552
-29.514,flush_begin,0,0
-29.498,flush_end,0,6638552
-29.475,trivial_move,3,6638554
-29.475,flush_begin,0,0
-29.457,flush_end,0,6638555
-29.439,trivial_move,3,6638553
-29.439,flush_begin,0,0
-29.421,flush_end,0,6638553
-29.404,trivial_move,3,6638553
-29.404,flush_begin,0,0
-29.386,flush_end,0,6638553
-29.368,trivial_move,3,6638553
-29.368,flush_begin,0,0
-29.349,flush_end,0,6638552
-29.332,trivial_move,3,6638554
-29.332,flush_begin,0,0
-29.314,flush_end,0,6638554
-29.299,trivial_move,3,6638552
-29.299,flush_begin,0,0
-29.282,flush_end,0,6638554
-29.266,trivial_move,3,6638554
-29.265,flush_begin,0,0
-29.247,flush_end,0,6638552
-29.228,trivial_move,3,6638554
-29.228,flush_begin,0,0
-29.209,flush_end,0,6638554
-29.192,trivial_move,3,6638552
-29.192,flush_begin,0,0
-29.174,flush_end,0,6638553
-29.155,trivial_move,3,6638553
-29.155,flush_begin,0,0
-29.137,flush_end,0,6638553
-29.120,trivial_move,3,6638553
-29.119,flush_begin,0,0
-29.095,flush_end,0,6638553
-29.078,trivial_move,3,6638554
-29.078,flush_begin,0,0
-29.061,flush_end,0,6638554
-29.043,trivial_move,3,6638552
-29.043,flush_begin,0,0
-29.025,flush_end,0,6638553
-29.006,trivial_move,3,6638554
-29.006,flush_begin,0,0
-28.989,flush_end,0,6638552
-28.971,trivial_move,3,6638554
-28.971,flush_begin,0,0
-28.954,flush_end,0,6638554
-28.935,trivial_move,3,6638552
-28.935,flush_begin,0,0
-28.918,flush_end,0,6638553
-28.900,trivial_move,3,6638555
-28.900,flush_begin,0,0
-28.883,flush_end,0,6638553
-28.865,trivial_move,3,6638553
-28.865,flush_begin,0,0
-28.849,flush_end,0,6638553
-28.830,trivial_move,3,6638553
-28.830,flush_begin,0,0
-28.812,flush_end,0,6638555
-28.793,trivial_move,3,6638552
-28.793,flush_begin,0,0
-28.776,flush_end,0,6638553
-28.757,trivial_move,3,6638554
-28.757,flush_begin,0,0
-28.740,flush_end,0,6638553
-28.725,trivial_move,3,6638554
-28.725,flush_begin,0,0
-28.709,flush_end,0,6638554
-28.701,flush_begin,0,0
-28.685,flush_end,0,6638552
-28.668,trivial_move,3,6638552
-28.668,flush_begin,0,0
-28.652,flush_end,0,6638553
-28.634,trivial_move,3,6638554
-28.634,flush_begin,0,0
-28.618,flush_end,0,6638553
-28.599,trivial_move,3,6638553
-28.599,flush_begin,0,0
-28.582,flush_end,0,6638554
-28.564,trivial_move,3,6638553
-28.564,flush_begin,0,0
-28.547,flush_end,0,6638553
-28.528,trivial_move,3,6638553
-28.528,flush_begin,0,0
-28.511,flush_end,0,6638553
-28.492,trivial_move,3,6638554
-28.492,flush_begin,0,0
-28.475,flush_end,0,6638554
-28.456,trivial_move,3,6638553
-28.456,flush_begin,0,0
-28.438,flush_end,0,6638552
-28.421,trivial_move,3,6638552
-28.421,flush_begin,0,0
-28.404,flush_end,0,6638554
-28.388,trivial_move,3,6638554
-28.388,flush_begin,0,0
-28.367,flush_end,0,6638553
-28.344,trivial_move,3,6638553
-28.343,flush_begin,0,0
-28.323,flush_end,0,6638553
-28.306,trivial_move,3,6638553
-28.306,flush_begin,0,0
-28.290,flush_end,0,6638553
