t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8044,6533,1511,6409,2921,0.45577,264,280,464,896,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8029,6524,1505,6381,3354,0.52562,11,280,288,70,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8008,6506,1502,6288,3730,0.59319,9,272,288,27,0,0,0,0,63.96,0.03,1,86,63.96,0,0,0,0,0,0,24038,0
4,8028,6522,1506,6329,3619,0.57181,9,272,288,28,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
5,8011,6511,1500,6338,3738,0.58978,9,272,288,1280,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0,0,0,24038,0
6,8005,6503,1502,6341,3546,0.55922,10,272,288,51,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8005,6506,1499,6336,3534,0.55777,10,272,288,49,0,0,0,0,63.95,0.11,1,86,63.95,0,0,0,0,0,0,24038,0
8,8015,6513,1502,6381,3384,0.53032,12,272,288,188,1,0,1,0,63.97,0.01,1,87,63.97,1135,0,0,0,1135,16,24162,124
9,8005,6501,1504,6601,3414,0.51719,18,288,608,3136,1,1,0,0,63.97,3.98,8,97,63.97,4506,1135,117,0,3055,231,26656,1467
10,8004,6503,1501,6584,3213,0.48800,256,280,296,2624,1,0,0,0,63.98,10.42,8,97,63.98,0,1141,117,0,4881,357,29762,2854
11,8005,6505,1500,6578,2813,0.42764,264,280,304,2016,1,0,0,0,63.97,17.38,7,97,63.97,0,2564,157,0,7231,390,31835,3700
12,8009,6508,1501,6595,2524,0.38271,264,280,296,37,1,0,0,0,63.97,18.83,6,97,63.97,0,4357,233,0,9331,391,34530,4857
13,8009,6505,1504,6578,2862,0.43509,264,280,296,35,1,0,0,0,63.97,19.58,8,97,63.97,0,6258,273,0,11377,391,36587,5272
14,8004,6508,1496,6571,2848,0.43342,264,280,296,1408,1,1,0,0,63.97,15.38,7,100,63.97,1790,7755,366,0,13254,676,38839,5785
15,8005,6500,1505,6567,2444,0.37216,264,280,304,1472,1,0,0,0,63.97,17.45,7,100,63.97,0,10481,376,0,15300,738,40494,5786
16,8006,6505,1501,6571,2376,0.36159,264,280,296,53,1,0,0,0,63.97,16.35,6,100,63.97,0,12302,478,0,16746,738,43158,6244
17,8033,6527,1506,6593,2635,0.39967,264,280,296,43,1,0,0,0,63.97,15.25,6,100,63.97,0,14261,706,0,18195,738,45484,6276
18,8015,6512,1503,6553,2880,0.43949,264,280,296,1280,1,1,0,0,60.19,7.33,6,103,60.20,1105,15500,735,0,18956,786,48731,6676
19,8006,6505,1501,6552,2883,0.44002,264,280,296,37,1,0,0,0,63.97,12.53,6,103,63.97,0,16881,737,0,21002,1244,50874,7171
20,8023,6522,1501,6547,2417,0.36918,264,280,296,36,1,0,0,0,63.96,16.36,6,103,63.96,0,18331,738,0,23048,1272,52542,7172
21,8044,6532,1512,6564,2708,0.41255,264,280,296,49,1,0,0,0,63.96,17.84,6,103,63.96,0,19801,985,0,24623,1272,55199,7716
22,8030,6525,1505,6533,2741,0.41956,264,280,296,2240,1,0,0,0,63.96,12.87,8,103,63.96,0,21641,1217,0,24965,1272,58483,7716
23,8009,6507,1502,6495,2609,0.40169,264,280,296,2016,1,1,0,0,63.96,8.37,4,106,63.96,1384,23598,1268,0,26759,1453,60888,8288
24,8005,6505,1500,6500,2209,0.33985,264,280,296,38,1,0,0,0,63.96,15.75,6,106,63.96,0,24549,1268,0,28805,1504,63247,9037
25,8006,6506,1500,6502,2056,0.31621,264,280,296,1888,1,0,0,0,63.96,14.33,7,106,63.96,0,25826,1337,0,29653,1504,66464,9472
26,8041,6533,1508,6535,2264,0.34644,264,280,296,1728,1,0,0,0,63.96,15.06,8,106,63.96,0,28064,1504,0,31875,1504,68641,10237
27,8006,6503,1503,6467,2169,0.33540,264,280,304,1824,1,1,0,0,56.71,16.54,9,109,56.72,1097,29344,1504,0,33489,1504,70643,10237
