t,type,level,bytes
-29.910,flush_begin,0,0
-29.884,flush_end,0,6638552
-29.872,flush_begin,0,0
-29.848,flush_end,0,6638554
-29.837,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.801,flush_begin,0,0
-29.776,flush_end,0,6638553
-29.766,flush_begin,0,0
-29.740,flush_end,0,6638553
-29.729,flush_begin,0,0
-29.704,flush_end,0,6638554
-29.694,flush_begin,0,0
-29.669,flush_end,0,6638552
-29.659,flush_begin,0,0
-29.634,flush_end,0,6638554
-29.624,flush_begin,0,0
-29.599,flush_end,0,6638554
-29.589,flush_begin,0,0
-29.565,flush_end,0,6638552
-29.554,flush_begin,0,0
-29.529,flush_end,0,6638553
-29.519,flush_begin,0,0
-29.494,flush_end,0,6638553
-29.483,flush_begin,0,0
-29.458,flush_end,0,6638554
-29.447,flush_begin,0,0
-29.423,flush_end,0,6638552
-29.413,flush_begin,0,0
-29.381,flush_end,0,6638554
-29.370,flush_begin,0,0
-29.345,flush_end,0,6638554
-29.330,trivial_move,3,6638552
-29.327,flush_begin,0,0
-29.301,flush_end,0,6638552
-29.285,trivial_move,3,6638554
-29.283,flush_begin,0,0
-29.258,flush_end,0,6638555
-29.242,trivial_move,3,6638553
-29.238,flush_begin,0,0
-29.212,flush_end,0,6638553
-29.197,trivial_move,3,6638553
-29.193,flush_begin,0,0
-29.155,flush_end,0,6638553
-29.140,trivial_move,3,6638553
-29.139,flush_begin,0,0
-29.112,flush_end,0,6638552
-29.096,trivial_move,3,6638554
-29.094,flush_begin,0,0
-29.068,flush_end,0,6638554
-29.052,trivial_move,3,6638552
-29.050,flush_begin,0,0
-29.022,flush_end,0,6638554
-29.007,trivial_move,3,6638554
-29.005,flush_begin,0,0
-28.980,flush_end,0,6638552
-28.965,trivial_move,3,6638554
-28.963,flush_begin,0,0
-28.939,flush_end,0,6638554
-28.923,trivial_move,3,6638552
-28.920,flush_begin,0,0
-28.895,flush_end,0,6638553
-28.875,trivial_move,3,6638553
-28.872,flush_begin,0,0
-28.848,flush_end,0,6638553
-28.832,trivial_move,3,6638553
-28.829,flush_begin,0,0
-28.803,flush_end,0,6638553
-28.786,trivial_move,3,6638554
-28.785,flush_begin,0,0
-28.760,flush_end,0,6638554
-28.745,trivial_move,3,6638552
-28.743,flush_begin,0,0
-28.717,flush_end,0,6638553
-28.702,trivial_move,3,6638554
-28.698,flush_begin,0,0
-28.673,flush_end,0,6638552
-28.658,trivial_move,3,6638554
-28.655,flush_begin,0,0
-28.630,flush_end,0,6638554
-28.615,trivial_move,3,6638552
-28.612,flush_begin,0,0
-28.588,flush_end,0,6638553
-28.572,trivial_move,3,6638555
-28.571,flush_begin,0,0
-28.547,flush_end,0,6638553
-28.531,trivial_move,3,6638553
-28.529,flush_begin,0,0
-28.504,flush_end,0,6638553
-28.489,trivial_move,3,6638553
-28.487,flush_begin,0,0
-28.462,flush_end,0,6638555
-28.447,trivial_move,3,6638552
-28.444,flush_begin,0,0
-28.418,flush_end,0,6638553
-28.402,trivial_move,3,6638554
-28.400,flush_begin,0,0
-28.376,flush_end,0,6638553
-28.360,trivial_move,3,6638554
-28.356,flush_begin,0,0
-28.331,flush_end,0,6638554
-28.315,trivial_move,3,6638552
-28.313,flush_begin,0,0
-28.288,flush_end,0,6638552
-28.273,trivial_move,3,6638554
-28.271,flush_begin,0,0
-28.245,flush_end,0,6638553
-28.230,trivial_move,3,6638553
-28.227,flush_begin,0,0
-28.203,flush_end,0,6638553
-28.186,trivial_move,3,6638553
-28.184,flush_begin,0,0
-28.159,flush_end,0,6638554
-28.144,trivial_move,3,6638553
-28.140,flush_begin,0,0
-28.116,flush_end,0,6638553
-28.100,trivial_move,3,6638554
-28.097,flush_begin,0,0
-28.072,flush_end,0,6638553
-28.056,trivial_move,3,6638553
-28.054,flush_begin,0,0
-28.027,flush_end,0,6638554
-28.011,trivial_move,3,6638552
-28.007,flush_begin,0,0
-27.982,flush_end,0,6638552
-27.967,trivial_move,3,6638554
-27.964,flush_begin,0,0
-27.939,flush_end,0,6638554
-27.923,trivial_move,3,6638553
-27.921,flush_begin,0,0
-27.897,flush_end,0,6638553
-27.881,trivial_move,3,6638553
-27.879,flush_begin,0,0
-27.854,flush_end,0,6638553
-27.839,trivial_move,3,6638553
-27.837,flush_begin,0,0
-27.814,flush_end,0,6638553
-27.797,trivial_move,3,6638555
-27.796,flush_begin,0,0
-27.772,flush_end,0,6638553
-27.756,trivial_move,3,6638553
-27.753,flush_begin,0,0
-27.729,flush_end,0,6638555
-27.710,trivial_move,3,6638553
-27.707,flush_begin,0,0
-27.683,flush_end,0,6638552
-27.668,trivial_move,3,6638554
-27.666,flush_begin,0,0
-27.641,flush_end,0,6638554
-27.626,trivial_move,3,6638552
-27.623,flush_begin,0,0
-27.599,flush_end,0,6638553
-27.584,trivial_move,3,6638553
-27.582,flush_begin,0,0
-27.557,flush_end,0,6638553
-27.541,trivial_move,3,6638553
-27.539,flush_begin,0,0
-27.515,flush_end,0,6638554
-27.499,trivial_move,3,6638554
-27.497,flush_begin,0,0
-27.473,flush_end,0,6638553
-27.458,trivial_move,3,6638553
-27.456,flush_begin,0,0
-27.432,flush_end,0,6638553
-27.414,trivial_move,3,6638553
-27.412,flush_begin,0,0
-27.389,flush_end,0,6638552
-27.373,trivial_move,3,6638554
-27.371,flush_begin,0,0
-27.347,flush_end,0,6638554
-27.330,trivial_move,3,6638552
-27.328,flush_begin,0,0
-27.305,flush_end,0,6638553
-27.289,trivial_move,3,6638554
-27.287,flush_begin,0,0
-27.262,flush_end,0,6638553
-27.244,trivial_move,3,6638553
-27.242,flush_begin,0,0
-27.210,flush_end,0,6638554
-27.194,trivial_move,3,6638553
-27.192,flush_begin,0,0
-27.167,flush_end,0,6638553
-27.152,trivial_move,3,6638553
-27.150,flush_begin,0,0
-27.125,flush_end,0,6638553
-27.109,trivial_move,3,6638553
-27.107,flush_begin,0,0
-27.084,flush_end,0,6638553
-27.068,trivial_move,3,6638555
-27.065,flush_begin,0,0
-27.041,flush_end,0,6638554
-27.025,trivial_move,3,6638552
-27.023,flush_begin,0,0
-27.000,flush_end,0,6638552
-26.984,trivial_move,3,6638554
-26.983,flush_begin,0,0
-26.977,flush_end,0,1164547
-26.968,compaction_begin,2,0
-26.938,compaction_end,2,6638145
-26.929,compaction_begin,2,0
-26.899,compaction_end,2,6638145
-26.890,compaction_begin,2,0
-26.860,compaction_end,2,6638146
-26.851,compaction_begin,2,0
-26.820,compaction_end,2,6638145
-26.812,compaction_begin,2,0
-26.780,compaction_end,2,6638145
-26.771,compaction_begin,2,0
-26.740,compaction_end,2,6638144
-26.731,compaction_begin,2,0
-26.700,compaction_end,2,6638146
-26.691,compaction_begin,2,0
-26.660,compaction_end,2,6638145
-26.652,compaction_begin,2,0
-26.621,compaction_end,2,6638145
-26.612,compaction_begin,2,0
-26.580,compaction_end,2,6638146
-26.572,compaction_begin,2,0
-26.541,compaction_end,2,6638145
-26.532,compaction_begin,2,0
-26.502,compaction_end,2,6638145
-26.493,compaction_begin,2,0
-26.463,compaction_end,2,6638145
-26.454,compaction_begin,2,0
-26.424,compaction_end,2,6638146
-26.415,compaction_begin,2,0
-26.385,compaction_end,2,6638144
-26.376,compaction_begin,2,0
-26.369,compaction_end,2,1164547
11.283,flush_begin,0,0
11.551,flush_end,0,6627123
11.623,compaction_begin,1,0
12.113,compaction_end,1,6559783
12.169,compaction_begin,2,0
16.016,compaction_end,2,46468050
16.028,compaction_begin,2,0
20.797,compaction_end,2,44118862
20.809,compaction_begin,2,0
24.745,compaction_end,2,46468049
24.758,compaction_begin,2,0
28.392,compaction_end,2,46468049
28.401,compaction_begin,2,0
32.916,compaction_end,2,46468050
32.934,compaction_begin,2,0
36.592,compaction_end,2,46468049
36.604,compaction_begin,2,0
40.412,compaction_end,2,46468049
40.424,compaction_begin,2,0
44.791,compaction_end,2,44118863
44.901,compaction_begin,2,0
45.456,compaction_end,2,4835080
45.464,compaction_begin,2,0
48.949,flush_begin,0,0
49.213,flush_end,0,6628127
49.847,compaction_end,2,44118861
49.862,compaction_begin,1,0
50.390,compaction_end,1,7073101
50.470,compaction_begin,2,0
54.827,compaction_end,2,42179011
54.840,compaction_begin,2,0
57.841,compaction_end,2,42179011
57.854,compaction_begin,2,0
61.285,compaction_end,2,42179009
61.299,compaction_begin,2,0
65.457,compaction_end,2,42179011
65.470,compaction_begin,2,0
68.827,compaction_end,2,42179010
68.839,compaction_begin,2,0
71.215,compaction_end,2,28818273
71.227,compaction_begin,2,0
74.586,compaction_end,2,42890505
74.599,compaction_begin,2,0
78.101,compaction_end,2,42178895
78.113,compaction_begin,2,0
81.731,compaction_end,2,42890505
81.743,compaction_begin,2,0
85.428,compaction_end,2,42179011
85.441,compaction_begin,2,0
86.568,flush_begin,0,0
86.799,flush_end,0,6629784
88.356,compaction_end,2,46468047
88.369,compaction_begin,1,0
88.861,compaction_end,1,6577057
88.934,compaction_begin,2,0
92.652,compaction_end,2,42179009
92.666,compaction_begin,2,0
95.993,compaction_end,2,42179011
96.005,compaction_begin,2,0
99.245,compaction_end,2,42179009
99.259,compaction_begin,2,0
102.884,compaction_end,2,42179010
102.898,compaction_begin,2,0
106.479,compaction_end,2,42179011
106.488,compaction_begin,2,0
110.344,compaction_end,2,42890392
110.358,compaction_begin,2,0
114.741,compaction_end,2,42890505
114.758,compaction_begin,2,0
118.821,compaction_end,2,42280797
118.834,compaction_begin,2,0
122.742,compaction_end,2,42179010
122.754,compaction_begin,2,0
124.414,flush_begin,0,0
124.686,flush_end,0,6626944
125.988,compaction_end,2,42179010
126.001,compaction_begin,1,0
126.506,compaction_end,1,7072444
126.581,compaction_begin,2,0
129.831,compaction_end,2,42179011
129.845,compaction_begin,2,0
133.620,compaction_end,2,42890389
133.628,compaction_begin,2,0
137.068,compaction_end,2,42890390
137.080,compaction_begin,2,0
140.558,compaction_end,2,42179010
140.571,compaction_begin,2,0
144.274,compaction_end,2,42179011
144.289,compaction_begin,2,0
148.055,compaction_end,2,42179011
148.067,compaction_begin,2,0
151.605,compaction_end,2,42179010
151.618,compaction_begin,2,0
155.428,compaction_end,2,42179011
155.439,compaction_begin,2,0
158.919,compaction_end,2,42179009
158.927,compaction_begin,2,0
161.854,flush_begin,0,0
162.087,flush_end,0,6629152
162.353,compaction_end,2,42890503
162.367,compaction_begin,1,0
162.971,compaction_end,1,8113438
163.018,compaction_begin,2,0
166.190,compaction_end,2,42179009
166.203,compaction_begin,2,0
169.630,compaction_end,2,42890389
169.644,compaction_begin,2,0
173.746,compaction_end,2,42890390
173.761,compaction_begin,2,0
177.167,compaction_end,2,42179011
177.180,compaction_begin,2,0
180.665,compaction_end,2,42179010
180.678,compaction_begin,2,0
