t,type,level,bytes
-29.912,flush_begin,0,0
-29.885,flush_end,0,6638552
-29.876,flush_begin,0,0
-29.848,flush_end,0,6638554
-29.839,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.774,flush_end,0,6638553
-29.766,flush_begin,0,0
-29.738,flush_end,0,6638553
-29.731,flush_begin,0,0
-29.703,flush_end,0,6638554
-29.695,flush_begin,0,0
-29.668,flush_end,0,6638552
-29.659,flush_begin,0,0
-29.630,flush_end,0,6638554
-29.621,flush_begin,0,0
-29.595,flush_end,0,6638554
-29.587,flush_begin,0,0
-29.559,flush_end,0,6638552
-29.551,flush_begin,0,0
-29.524,flush_end,0,6638553
-29.515,flush_begin,0,0
-29.488,flush_end,0,6638553
-29.480,flush_begin,0,0
-29.453,flush_end,0,6638554
-29.445,flush_begin,0,0
-29.417,flush_end,0,6638552
-29.409,flush_begin,0,0
-29.381,flush_end,0,6638554
-29.373,flush_begin,0,0
-29.345,flush_end,0,6638554
-29.326,trivial_move,3,6638552
-29.326,flush_begin,0,0
-29.298,flush_end,0,6638552
-29.279,trivial_move,3,6638554
-29.279,flush_begin,0,0
-29.252,flush_end,0,6638555
-29.234,trivial_move,3,6638553
-29.234,flush_begin,0,0
-29.207,flush_end,0,6638553
-29.188,trivial_move,3,6638553
-29.188,flush_begin,0,0
-29.160,flush_end,0,6638553
-29.141,trivial_move,3,6638553
-29.141,flush_begin,0,0
-29.114,flush_end,0,6638552
-29.096,trivial_move,3,6638554
-29.096,flush_begin,0,0
-29.068,flush_end,0,6638554
-29.050,trivial_move,3,6638552
-29.050,flush_begin,0,0
-29.023,flush_end,0,6638554
-29.004,trivial_move,3,6638554
-29.004,flush_begin,0,0
-28.977,flush_end,0,6638552
-28.959,trivial_move,3,6638554
-28.959,flush_begin,0,0
-28.932,flush_end,0,6638554
-28.913,trivial_move,3,6638552
-28.913,flush_begin,0,0
-28.886,flush_end,0,6638553
-28.868,trivial_move,3,6638553
-28.868,flush_begin,0,0
-28.840,flush_end,0,6638553
-28.822,trivial_move,3,6638553
-28.822,flush_begin,0,0
-28.795,flush_end,0,6638553
-28.777,trivial_move,3,6638554
-28.777,flush_begin,0,0
-28.749,flush_end,0,6638554
-28.730,trivial_move,3,6638552
-28.730,flush_begin,0,0
-28.703,flush_end,0,6638553
-28.684,trivial_move,3,6638554
-28.684,flush_begin,0,0
-28.657,flush_end,0,6638552
-28.638,trivial_move,3,6638554
-28.638,flush_begin,0,0
-28.611,flush_end,0,6638554
-28.591,trivial_move,3,6638552
-28.591,flush_begin,0,0
-28.564,flush_end,0,6638553
-28.547,trivial_move,3,6638555
-28.547,flush_begin,0,0
-28.520,flush_end,0,6638553
-28.502,trivial_move,3,6638553
-28.502,flush_begin,0,0
-28.475,flush_end,0,6638553
-28.456,trivial_move,3,6638553
-28.456,flush_begin,0,0
-28.428,flush_end,0,6638555
-28.409,trivial_move,3,6638552
-28.409,flush_begin,0,0
-28.382,flush_end,0,6638553
-28.364,trivial_move,3,6638554
-28.364,flush_begin,0,0
-28.337,flush_end,0,6638553
-28.318,trivial_move,3,6638554
-28.318,flush_begin,0,0
-28.291,flush_end,0,6638554
-28.271,trivial_move,3,6638552
-28.271,flush_begin,0,0
-28.244,flush_end,0,6638552
-28.226,trivial_move,3,6638554
-28.226,flush_begin,0,0
-28.200,flush_end,0,6638553
-28.180,trivial_move,3,6638553
-28.180,flush_begin,0,0
-28.153,flush_end,0,6638553
-28.135,trivial_move,3,6638553
-28.135,flush_begin,0,0
-28.109,flush_end,0,6638554
-28.091,trivial_move,3,6638553
-28.091,flush_begin,0,0
-28.065,flush_end,0,6638553
-28.045,trivial_move,3,6638554
-28.045,flush_begin,0,0
-28.016,flush_end,0,6638553
-27.998,trivial_move,3,6638553
-27.998,flush_begin,0,0
-27.972,flush_end,0,6638554
-27.953,trivial_move,3,6638552
-27.953,flush_begin,0,0
-27.926,flush_end,0,6638552
-27.909,trivial_move,3,6638554
-27.909,flush_begin,0,0
-27.883,flush_end,0,6638554
-27.863,trivial_move,3,6638553
-27.863,flush_begin,0,0
-27.836,flush_end,0,6638553
-27.818,trivial_move,3,6638553
-27.818,flush_begin,0,0
-27.790,flush_end,0,6638553
-27.771,trivial_move,3,6638553
-27.771,flush_begin,0,0
-27.744,flush_end,0,6638553
-27.726,trivial_move,3,6638555
-27.726,flush_begin,0,0
-27.700,flush_end,0,6638553
-27.682,trivial_move,3,6638553
-27.682,flush_begin,0,0
-27.656,flush_end,0,6638555
-27.637,trivial_move,3,6638553
-27.637,flush_begin,0,0
-27.609,flush_end,0,6638552
-27.591,trivial_move,3,6638554
-27.591,flush_begin,0,0
-27.564,flush_end,0,6638554
-27.546,trivial_move,3,6638552
-27.546,flush_begin,0,0
-27.519,flush_end,0,6638553
-27.501,trivial_move,3,6638553
-27.501,flush_begin,0,0
-27.474,flush_end,0,6638553
-27.455,trivial_move,3,6638553
-27.455,flush_begin,0,0
-27.429,flush_end,0,6638554
-27.410,trivial_move,3,6638554
-27.410,flush_begin,0,0
-27.383,flush_end,0,6638553
-27.364,trivial_move,3,6638553
-27.364,flush_begin,0,0
-27.337,flush_end,0,6638553
-27.319,trivial_move,3,6638553
-27.319,flush_begin,0,0
-27.291,flush_end,0,6638552
-27.273,trivial_move,3,6638554
-27.273,flush_begin,0,0
-27.246,flush_end,0,6638554
-27.228,trivial_move,3,6638552
-27.228,flush_begin,0,0
-27.200,flush_end,0,6638553
-27.183,trivial_move,3,6638554
-27.183,flush_begin,0,0
-27.157,flush_end,0,6638553
-27.138,trivial_move,3,6638553
-27.138,flush_begin,0,0
-27.112,flush_end,0,6638554
-27.094,trivial_move,3,6638553
-27.094,flush_begin,0,0
-27.068,flush_end,0,6638553
-27.048,trivial_move,3,6638553
-27.048,flush_begin,0,0
-27.022,flush_end,0,6638553
-27.003,trivial_move,3,6638553
-27.003,flush_begin,0,0
-26.971,flush_end,0,6638553
-26.955,trivial_move,3,6638555
-26.955,flush_begin,0,0
-26.924,flush_end,0,6638554
-26.907,trivial_move,3,6638552
-26.907,flush_begin,0,0
-26.868,flush_end,0,6638552
-26.851,trivial_move,3,6638554
-26.851,flush_begin,0,0
-26.844,flush_end,0,1164547
-26.834,compaction_begin,2,0
-26.799,compaction_end,2,6638145
-26.791,compaction_begin,2,0
-26.757,compaction_end,2,6638145
-26.749,compaction_begin,2,0
-26.714,compaction_end,2,6638146
-26.706,compaction_begin,2,0
-26.670,compaction_end,2,6638145
-26.662,compaction_begin,2,0
-26.627,compaction_end,2,6638145
-26.619,compaction_begin,2,0
-26.583,compaction_end,2,6638144
-26.575,compaction_begin,2,0
-26.539,compaction_end,2,6638146
-26.531,compaction_begin,2,0
-26.495,compaction_end,2,6638145
-26.487,compaction_begin,2,0
-26.451,compaction_end,2,6638145
-26.441,compaction_begin,2,0
-26.404,compaction_end,2,6638146
-26.394,compaction_begin,2,0
-26.358,compaction_end,2,6638145
-26.349,compaction_begin,2,0
-26.311,compaction_end,2,6638145
-26.302,compaction_begin,2,0
-26.266,compaction_end,2,6638145
-26.257,compaction_begin,2,0
-26.222,compaction_end,2,6638146
-26.208,compaction_begin,2,0
-26.172,compaction_end,2,6638144
-26.164,compaction_begin,2,0
-26.155,compaction_end,2,1164547
11.498,flush_begin,0,0
11.953,flush_end,0,6627084
12.027,compaction_begin,1,0
12.539,compaction_end,1,6555711
12.596,compaction_begin,2,0
17.790,compaction_end,2,46468050
17.803,compaction_begin,2,0
23.477,compaction_end,2,46468049
23.491,compaction_begin,2,0
29.271,compaction_end,2,46468050
29.284,compaction_begin,2,0
34.767,compaction_end,2,46468049
34.780,compaction_begin,2,0
40.455,compaction_end,2,46468049
40.468,compaction_begin,2,0
45.957,compaction_end,2,44118861
45.971,compaction_begin,2,0
49.141,flush_begin,0,0
49.587,flush_end,0,6628021
51.813,compaction_end,2,46468049
51.828,compaction_begin,1,0
52.883,compaction_end,1,9429253
52.970,compaction_begin,2,0
58.432,compaction_end,2,45648979
58.446,compaction_begin,2,0
63.688,compaction_end,2,42890505
63.702,compaction_begin,2,0
69.435,compaction_end,2,45346970
69.449,compaction_begin,2,0
74.147,compaction_end,2,42179011
74.162,compaction_begin,2,0
80.080,compaction_end,2,46468047
80.092,compaction_begin,2,0
85.300,compaction_end,2,42890505
85.314,compaction_begin,2,0
86.903,flush_begin,0,0
87.351,flush_end,0,6629606
91.065,compaction_end,2,42178895
91.080,compaction_begin,1,0
92.469,compaction_end,1,11310917
92.553,compaction_begin,2,0
97.885,compaction_end,2,42179011
97.898,compaction_begin,2,0
103.254,compaction_end,2,42178895
103.267,compaction_begin,2,0
108.535,compaction_end,2,45756617
108.550,compaction_begin,2,0
113.744,compaction_end,2,42890392
113.757,compaction_begin,2,0
119.239,compaction_end,2,44226248
119.256,compaction_begin,2,0
123.121,compaction_end,2,32426208
123.134,compaction_begin,2,0
124.650,flush_begin,0,0
125.101,flush_end,0,6626982
128.652,compaction_end,2,42179009
128.666,compaction_begin,1,0
129.786,compaction_end,1,9011684
129.865,compaction_begin,2,0
135.277,compaction_end,2,42890389
135.287,compaction_begin,2,0
140.361,compaction_end,2,42890389
140.379,compaction_begin,2,0
146.144,compaction_end,2,45756618
146.158,compaction_begin,2,0
151.512,compaction_end,2,42286598
151.521,compaction_begin,2,0
156.791,compaction_end,2,42179009
156.803,compaction_begin,2,0
162.040,compaction_end,2,42179011
162.058,compaction_begin,2,0
162.069,flush_begin,0,0
162.513,flush_end,0,6628954
167.419,compaction_end,2,42890391
167.431,compaction_begin,1,0
168.683,compaction_end,1,10161832
168.767,compaction_begin,2,0
173.632,compaction_end,2,42890389
173.647,compaction_begin,2,0
178.688,compaction_end,2,42179011
178.704,compaction_begin,2,0
183.429,compaction_end,2,38601350
183.438,compaction_begin,2,0
