t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8057,6545,1512,6425,2908,0.45261,264,288,296,54,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,60,0,135196,60,24038,0
2,8044,6539,1505,6391,3352,0.52449,15,288,296,52,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,60,0,135196,60,24038,0
3,8053,6540,1513,6325,3753,0.59336,11,288,296,47,0,0,0,0,63.96,0.04,1,86,63.96,0,135196,60,0,135196,60,24038,0
4,8044,6537,1507,6333,3639,0.57461,13,288,296,49,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,60,0,135196,60,24038,0
5,8010,6507,1503,6329,3779,0.59709,14,288,296,53,0,0,0,0,63.96,0.03,1,86,63.96,0,135196,60,0,135196,60,24038,0
6,8039,6534,1505,6358,3544,0.55741,15,288,296,52,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,60,0,135196,60,24038,0
7,8013,6510,1503,6326,3537,0.55912,15,296,296,52,0,0,0,0,63.95,0.14,1,86,63.95,0,135196,60,0,135196,60,24038,0
8,8010,6511,1499,6370,3445,0.54082,15,288,296,56,0,0,1,0,63.95,6.19,2,86,63.95,0,135196,60,0,136765,60,24038,0
9,8052,6538,1514,6630,3350,0.50528,228,288,296,3008,1,1,0,0,63.96,4.25,6,97,63.96,5963,136765,181,0,138914,271,26655,1890
10,8004,6504,1500,6587,3200,0.48581,256,272,296,86,1,0,0,0,63.97,11.36,6,97,63.97,0,136816,181,0,141191,421,28724,2571
11,8003,6502,1501,6589,2792,0.42374,264,280,296,35,1,0,0,0,63.97,18.86,5,97,63.97,0,138346,209,0,143436,448,31014,3456
12,8045,6537,1508,6603,2563,0.38816,264,280,296,27,1,0,0,0,63.97,18.62,6,97,63.97,0,140568,300,0,145482,450,33875,4719
13,8009,6506,1503,6571,2833,0.43114,264,280,296,1440,1,0,0,0,63.97,19.23,8,97,63.97,0,142532,350,0,147528,450,35743,4959
14,8012,6511,1501,6578,2820,0.42870,264,272,296,148,1,1,0,0,58.86,11.46,6,100,58.87,549,144461,439,0,149405,524,37585,5023
15,8007,6504,1503,6549,2485,0.37945,264,272,296,24,1,0,0,0,63.97,19.10,5,100,63.97,0,146301,443,0,151451,700,39265,5023
16,8044,6536,1508,6592,2392,0.36286,264,288,304,48,1,0,0,0,63.97,18.11,5,100,63.97,0,148605,446,0,153497,703,41275,5449
17,8020,6518,1502,6578,2539,0.38598,264,288,296,39,1,0,0,0,63.96,18.65,5,100,63.96,0,150755,687,0,155543,703,43439,6067
18,8047,6537,1510,6575,2780,0.42281,264,280,296,33,1,0,0,0,63.97,19.37,5,100,63.97,0,152628,700,0,157589,703,45214,6163
19,8032,6528,1504,6593,2770,0.42014,264,280,296,39,1,0,0,0,63.97,19.72,8,100,63.97,0,154579,702,0,159564,703,47245,6513
20,8005,6501,1504,6524,2275,0.34871,264,280,296,368,1,1,0,0,63.96,19.51,7,103,63.96,1543,156323,702,0,161318,703,49146,6518
21,8007,6506,1501,6524,2550,0.39086,264,280,296,43,1,0,0,0,63.97,19.10,6,103,63.97,0,158670,703,0,163558,703,51378,7351
22,8046,6538,1508,6546,2494,0.38100,264,280,296,31,1,0,0,0,63.96,18.72,7,103,63.96,0,160611,703,0,165372,703,53278,7351
23,8018,6519,1499,6520,2454,0.37638,264,272,296,30,1,0,0,0,63.96,17.98,5,103,63.96,0,162547,703,0,167150,703,55364,7546
24,8004,6499,1505,6525,2259,0.34621,264,280,304,45,1,0,0,0,63.97,16.65,8,103,63.96,0,164501,703,0,168746,703,57417,7546
25,8010,6508,1502,6507,1956,0.30060,264,280,296,26,1,0,0,0,63.96,16.45,7,103,63.96,0,166525,703,0,170719,703,59192,7546
26,8008,6506,1502,6487,2082,0.32095,264,272,296,1408,1,1,0,0,63.96,18.43,10,106,63.96,1566,168253,703,0,172918,703,61381,8381
27,8001,6503,1498,6454,2127,0.32956,264,280,296,31,1,0,0,0,63.96,17.45,9,106,63.96,0,170656,703,0,175051,703,63432,8896
28,8027,6520,1507,6460,2428,0.37585,264,280,296,34,1,0,0,0,63.96,18.78,7,106,63.96,0,172601,703,0,177399,703,65514,9653
29,8007,6507,1500,6434,2943,0.45741,264,272,296,27,1,0,0,0,63.96,18.61,7,106,63.96,0,174284,703,0,179041,703,67592,9653
30,8006,6503,1503,6460,2928,0.45325,264,272,296,248,1,0,0,0,63.96,18.95,6,106,63.96,0,175953,703,0,180780,703,69580,9653
31,8010,6511,1499,6458,2928,0.45339,264,272,296,1632,1,1,0,0,63.96,19.15,5,109,63.96,938,177738,703,0,182657,703,71558,9891
32,8004,6501,1503,6434,2756,0.42835,264,280,296,30,1,0,0,0,63.96,19.03,8,109,63.96,0,179851,703,0,184703,703,73293,9932
33,8004,6503,1501,6409,2818,0.43969,264,272,296,656,1,0,0,0,63.96,18.50,7,109,63.96,0,182039,703,0,186749,703,74974,9932
34,8016,6514,1502,6401,2943,0.45977,264,272,296,36,1,0,0,0,63.96,19.82,6,109,63.96,0,183723,703,0,188795,703,77536,10887
35,8005,6503,1502,6415,2788,0.43461,264,272,296,51,1,0,0,0,63.96,19.70,8,109,63.96,0,185837,703,0,190841,703,79276,10980
36,8007,6506,1501,6402,2730,0.42643,264,272,296,39,1,0,0,0,63.96,19.38,7,109,63.96,0,187930,703,0,192887,703,80936,10980
