t,type,level,bytes
-29.934,flush_begin,0,0
-29.918,flush_end,0,6638552
-29.908,flush_begin,0,0
-29.891,flush_end,0,6638554
-29.882,flush_begin,0,0
-29.865,flush_end,0,6638553
-29.856,flush_begin,0,0
-29.838,flush_end,0,6638553
-29.829,flush_begin,0,0
-29.812,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.787,flush_end,0,6638554
-29.778,flush_begin,0,0
-29.762,flush_end,0,6638552
-29.753,flush_begin,0,0
-29.737,flush_end,0,6638554
-29.728,flush_begin,0,0
-29.712,flush_end,0,6638554
-29.703,flush_begin,0,0
-29.687,flush_end,0,6638552
-29.678,flush_begin,0,0
-29.660,flush_end,0,6638553
-29.650,flush_begin,0,0
-29.628,flush_end,0,6638553
-29.619,flush_begin,0,0
-29.601,flush_end,0,6638554
-29.590,flush_begin,0,0
-29.574,flush_end,0,6638552
-29.564,flush_begin,0,0
-29.547,flush_end,0,6638554
-29.537,flush_begin,0,0
-29.520,flush_end,0,6638554
-29.503,trivial_move,3,6638552
-29.503,flush_begin,0,0
-29.486,flush_end,0,6638552
-29.470,trivial_move,3,6638554
-29.470,flush_begin,0,0
-29.453,flush_end,0,6638555
-29.437,trivial_move,3,6638553
-29.437,flush_begin,0,0
-29.421,flush_end,0,6638553
-29.405,trivial_move,3,6638553
-29.405,flush_begin,0,0
-29.386,flush_end,0,6638553
-29.369,trivial_move,3,6638553
-29.369,flush_begin,0,0
-29.351,flush_end,0,6638552
-29.335,trivial_move,3,6638554
-29.334,flush_begin,0,0
-29.316,flush_end,0,6638554
-29.299,trivial_move,3,6638552
-29.299,flush_begin,0,0
-29.282,flush_end,0,6638554
-29.266,trivial_move,3,6638554
-29.266,flush_begin,0,0
-29.249,flush_end,0,6638552
-29.233,trivial_move,3,6638554
-29.233,flush_begin,0,0
-29.216,flush_end,0,6638554
-29.200,trivial_move,3,6638552
-29.200,flush_begin,0,0
-29.183,flush_end,0,6638553
-29.166,trivial_move,3,6638553
-29.165,flush_begin,0,0
-29.147,flush_end,0,6638553
-29.129,trivial_move,3,6638553
-29.129,flush_begin,0,0
-29.111,flush_end,0,6638553
-29.093,trivial_move,3,6638554
-29.093,flush_begin,0,0
-29.075,flush_end,0,6638554
-29.056,trivial_move,3,6638552
-29.056,flush_begin,0,0
-29.039,flush_end,0,6638553
-29.020,trivial_move,3,6638554
-29.020,flush_begin,0,0
-29.002,flush_end,0,6638552
-28.986,trivial_move,3,6638554
-28.986,flush_begin,0,0
-28.969,flush_end,0,6638554
-28.953,trivial_move,3,6638552
-28.953,flush_begin,0,0
-28.936,flush_end,0,6638553
-28.920,trivial_move,3,6638555
-28.920,flush_begin,0,0
-28.903,flush_end,0,6638553
-28.887,trivial_move,3,6638553
-28.887,flush_begin,0,0
-28.870,flush_end,0,6638553
-28.854,trivial_move,3,6638553
-28.854,flush_begin,0,0
-28.836,flush_end,0,6638555
-28.820,trivial_move,3,6638552
-28.820,flush_begin,0,0
-28.804,flush_end,0,6638553
-28.788,trivial_move,3,6638554
