t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8013,6508,1505,6383,2962,0.46405,264,288,304,57,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8045,6537,1508,6395,3332,0.52103,13,288,296,55,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8020,6522,1498,6335,3796,0.59921,11,288,304,53,0,0,0,0,63.96,0.04,1,86,63.96,0,0,0,0,0,0,24038,0
4,8010,6502,1508,6300,3625,0.57540,8,272,288,33,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
5,8007,6506,1501,6314,3764,0.59614,12,288,296,58,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0,0,0,24038,0
6,8008,6508,1500,6364,3548,0.55751,13,288,304,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8003,6500,1503,6347,3545,0.55853,13,288,296,57,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
8,8007,6512,1495,6445,3454,0.53592,14,288,296,3520,1,0,1,0,63.97,0.91,6,87,63.97,12,0,0,0,226,0,24933,48
9,8006,6500,1506,6586,3382,0.51351,13,272,280,2944,1,1,0,0,63.97,1.88,8,97,63.97,4528,0,0,0,803,86,29673,1770
10,8043,6534,1509,6615,3308,0.50008,224,272,288,1376,1,0,0,0,63.98,4.54,7,97,63.98,0,0,0,0,1522,128,35789,4403
11,8043,6537,1506,6594,2427,0.36806,256,264,280,2752,1,1,0,0,59.71,3.33,1,100,59.72,1509,186,97,0,2468,436,41511,6525
12,8044,6534,1510,6566,2727,0.41532,256,272,288,52,1,0,0,0,63.97,3.44,2,100,63.97,0,349,103,0,2468,609,45796,7136
13,8003,6506,1497,6542,2861,0.43733,252,272,296,2368,1,1,0,0,63.97,9.63,9,97,63.97,2081,1790,154,0,4692,619,50122,7949
14,8003,6499,1504,6548,2808,0.42883,256,272,296,2048,1,0,0,0,63.97,8.48,5,97,63.97,0,2232,383,0,4692,619,55054,9345
15,8043,6535,1508,6601,2609,0.39524,256,280,344,2688,1,1,0,0,52.79,4.26,6,100,52.79,1393,2498,600,0,4692,665,59403,10184
16,8003,6502,1501,6522,2741,0.42027,256,272,328,216,1,0,0,0,63.97,3.44,4,100,63.97,0,2729,605,0,4692,1122,63794,10932
17,8003,6502,1501,6503,2942,0.45241,256,280,320,832,1,0,0,0,63.97,0.23,2,100,63.97,0,3946,605,0,4692,1341,67956,11463
18,8033,6528,1505,6553,2908,0.44377,256,272,328,2432,1,1,0,0,63.54,0.33,4,103,63.54,1157,3956,605,0,4692,1341,73498,13478
19,8031,6524,1507,6561,2895,0.44124,256,280,304,66,1,0,0,0,63.96,0.23,4,103,63.96,0,3980,629,0,4692,1341,77147,13618
20,8008,6507,1501,6505,2462,0.37848,256,264,288,2880,1,1,0,0,55.72,4.80,7,100,55.73,968,4181,830,0,5804,1341,81293,14151
21,7990,6497,1493,6470,2554,0.39474,264,272,280,2368,1,0,0,0,63.96,1.25,4,100,63.96,0,4388,1037,0,5804,1341,85461,15362
22,8163,6628,1535,6618,2770,0.41856,264,280,288,2816,1,0,0,0,63.96,1.13,3,100,63.96,0,4688,1337,0,5804,1341,88712,15369
23,8014,6510,1504,6488,2672,0.41184,264,272,280,5248,0,1,0,0,63.96,0.00,0,100,63.96,0,5782,1341,0,5804,1341,91781,15369
24,8155,6631,1524,6613,2386,0.36080,264,272,280,1696,1,0,0,0,63.96,0.05,5,103,63.96,1908,5804,1341,0,5804,1341,95174,15790
25,8040,6528,1512,6502,2195,0.33759,264,272,280,2112,1,0,0,0,63.96,0.07,4,103,63.96,0,5804,1341,0,5804,1341,100329,17697
26,8035,6528,1507,6478,2230,0.34424,264,272,280,3136,1,1,0,0,58.41,0.21,4,106,58.41,824,5804,1341,0,5804,1341,103708,17697
