t,type,level,bytes
-29.940,flush_begin,0,0
-29.925,flush_end,0,6638552
-29.916,flush_begin,0,0
-29.900,flush_end,0,6638554
-29.892,flush_begin,0,0
-29.876,flush_end,0,6638553
-29.865,flush_begin,0,0
-29.850,flush_end,0,6638553
-29.841,flush_begin,0,0
-29.825,flush_end,0,6638553
-29.814,flush_begin,0,0
-29.798,flush_end,0,6638554
-29.788,flush_begin,0,0
-29.771,flush_end,0,6638552
-29.762,flush_begin,0,0
-29.746,flush_end,0,6638554
-29.737,flush_begin,0,0
-29.721,flush_end,0,6638554
-29.712,flush_begin,0,0
-29.696,flush_end,0,6638552
-29.687,flush_begin,0,0
-29.669,flush_end,0,6638553
-29.661,flush_begin,0,0
-29.645,flush_end,0,6638553
-29.637,flush_begin,0,0
-29.620,flush_end,0,6638554
-29.611,flush_begin,0,0
-29.595,flush_end,0,6638552
-29.586,flush_begin,0,0
-29.569,flush_end,0,6638554
-29.561,flush_begin,0,0
-29.545,flush_end,0,6638554
-29.527,trivial_move,3,6638552
-29.527,flush_begin,0,0
-29.510,flush_end,0,6638552
-29.492,trivial_move,3,6638554
-29.492,flush_begin,0,0
-29.476,flush_end,0,6638555
-29.460,trivial_move,3,6638553
-29.460,flush_begin,0,0
-29.444,flush_end,0,6638553
-29.428,trivial_move,3,6638553
-29.428,flush_begin,0,0
-29.410,flush_end,0,6638553
-29.391,trivial_move,3,6638553
-29.391,flush_begin,0,0
-29.374,flush_end,0,6638552
-29.358,trivial_move,3,6638554
-29.358,flush_begin,0,0
-29.341,flush_end,0,6638554
-29.324,trivial_move,3,6638552
-29.324,flush_begin,0,0
-29.307,flush_end,0,6638554
-29.293,trivial_move,3,6638554
-29.289,flush_begin,0,0
-29.267,flush_end,0,6638552
-29.251,trivial_move,3,6638554
-29.245,flush_begin,0,0
-29.223,flush_end,0,6638554
-29.207,trivial_move,3,6638552
-29.207,flush_begin,0,0
-29.189,flush_end,0,6638553
-29.173,trivial_move,3,6638553
-29.173,flush_begin,0,0
-29.156,flush_end,0,6638553
-29.140,trivial_move,3,6638553
-29.140,flush_begin,0,0
-29.123,flush_end,0,6638553
-29.108,trivial_move,3,6638554
-29.107,flush_begin,0,0
-29.091,flush_end,0,6638554
-29.075,trivial_move,3,6638552
-29.075,flush_begin,0,0
-29.059,flush_end,0,6638553
-29.043,trivial_move,3,6638554
-29.043,flush_begin,0,0
-29.027,flush_end,0,6638552
-29.011,trivial_move,3,6638554
-29.011,flush_begin,0,0
-28.995,flush_end,0,6638554
-28.978,trivial_move,3,6638552
-28.978,flush_begin,0,0
-28.961,flush_end,0,6638553
-28.945,trivial_move,3,6638555
-28.945,flush_begin,0,0
-28.929,flush_end,0,6638553
-28.914,trivial_move,3,6638553
-28.914,flush_begin,0,0
-28.895,flush_end,0,6638553
-28.880,trivial_move,3,6638553
-28.880,flush_begin,0,0
-28.862,flush_end,0,6638555
-28.844,trivial_move,3,6638552
-28.844,flush_begin,0,0
-28.826,flush_end,0,6638553
-28.810,trivial_move,3,6638554
-28.810,flush_begin,0,0
-28.792,flush_end,0,6638553
-28.773,trivial_move,3,6638554
-28.773,flush_begin,0,0
-28.756,flush_end,0,6638554
-28.740,trivial_move,3,6638552
-28.740,flush_begin,0,0
-28.723,flush_end,0,6638552
-28.707,trivial_move,3,6638554
-28.707,flush_begin,0,0
-28.690,flush_end,0,6638553
-28.674,trivial_move,3,6638553
-28.674,flush_begin,0,0
-28.657,flush_end,0,6638553
-28.641,trivial_move,3,6638553
-28.641,flush_begin,0,0
-28.624,flush_end,0,6638554
-28.606,trivial_move,3,6638553
-28.606,flush_begin,0,0
-28.588,flush_end,0,6638553
-28.570,trivial_move,3,6638554
-28.570,flush_begin,0,0
-28.553,flush_end,0,6638553
-28.535,trivial_move,3,6638553
-28.535,flush_begin,0,0
-28.517,flush_end,0,6638554
-28.500,trivial_move,3,6638552
-28.500,flush_begin,0,0
-28.482,flush_end,0,6638552
-28.467,trivial_move,3,6638554
