t,type,level,bytes
-29.935,flush_begin,0,0
-29.919,flush_end,0,6638552
-29.910,flush_begin,0,0
-29.893,flush_end,0,6638554
-29.885,flush_begin,0,0
-29.868,flush_end,0,6638553
-29.859,flush_begin,0,0
-29.843,flush_end,0,6638553
-29.834,flush_begin,0,0
-29.818,flush_end,0,6638553
-29.809,flush_begin,0,0
-29.793,flush_end,0,6638554
-29.784,flush_begin,0,0
-29.768,flush_end,0,6638552
-29.759,flush_begin,0,0
-29.743,flush_end,0,6638554
-29.734,flush_begin,0,0
-29.717,flush_end,0,6638554
-29.708,flush_begin,0,0
-29.692,flush_end,0,6638552
-29.684,flush_begin,0,0
-29.667,flush_end,0,6638553
-29.658,flush_begin,0,0
-29.642,flush_end,0,6638553
-29.633,flush_begin,0,0
-29.616,flush_end,0,6638554
-29.607,flush_begin,0,0
-29.591,flush_end,0,6638552
-29.583,flush_begin,0,0
-29.565,flush_end,0,6638554
-29.555,flush_begin,0,0
-29.539,flush_end,0,6638554
-29.524,trivial_move,3,6638552
-29.524,flush_begin,0,0
-29.506,flush_end,0,6638552
-29.490,trivial_move,3,6638554
-29.490,flush_begin,0,0
-29.474,flush_end,0,6638555
-29.458,trivial_move,3,6638553
-29.458,flush_begin,0,0
-29.442,flush_end,0,6638553
-29.424,trivial_move,3,6638553
-29.424,flush_begin,0,0
-29.408,flush_end,0,6638553
-29.389,trivial_move,3,6638553
-29.389,flush_begin,0,0
-29.372,flush_end,0,6638552
-29.354,trivial_move,3,6638554
-29.353,flush_begin,0,0
-29.336,flush_end,0,6638554
-29.328,flush_begin,0,0
-29.310,flush_end,0,6638554
-29.302,flush_begin,0,0
-29.285,flush_end,0,6638552
-29.265,trivial_move,3,6638552
-29.265,flush_begin,0,0
-29.248,flush_end,0,6638554
-29.230,trivial_move,3,6638554
-29.230,flush_begin,0,0
-29.213,flush_end,0,6638553
-29.195,trivial_move,3,6638554
-29.195,flush_begin,0,0
-29.177,flush_end,0,6638553
-29.159,trivial_move,3,6638552
-29.159,flush_begin,0,0
-29.141,flush_end,0,6638553
-29.133,flush_begin,0,0
-29.115,flush_end,0,6638554
-29.094,trivial_move,3,6638553
-29.094,flush_begin,0,0
-29.078,flush_end,0,6638553
-29.060,trivial_move,3,6638553
-29.060,flush_begin,0,0
-29.043,flush_end,0,6638552
-29.035,flush_begin,0,0
-29.017,flush_end,0,6638554
-28.999,trivial_move,3,6638554
-28.999,flush_begin,0,0
-28.983,flush_end,0,6638553
-28.965,trivial_move,3,6638552
-28.965,flush_begin,0,0
-28.947,flush_end,0,6638553
-28.939,flush_begin,0,0
-28.922,flush_end,0,6638553
-28.904,trivial_move,3,6638554
-28.904,flush_begin,0,0
-28.887,flush_end,0,6638555
-28.879,flush_begin,0,0
-28.862,flush_end,0,6638553
-28.843,trivial_move,3,6638554
-28.843,flush_begin,0,0
-28.826,flush_end,0,6638553
-28.808,trivial_move,3,6638552
-28.808,flush_begin,0,0
-28.791,flush_end,0,6638554
-28.782,flush_begin,0,0
-28.766,flush_end,0,6638552
-28.748,trivial_move,3,6638555
-28.748,flush_begin,0,0
-28.731,flush_end,0,6638553
-28.723,flush_begin,0,0
-28.706,flush_end,0,6638553
-28.688,trivial_move,3,6638553
-28.688,flush_begin,0,0
-28.671,flush_end,0,6638554
-28.652,trivial_move,3,6638553
-28.652,flush_begin,0,0
-28.635,flush_end,0,6638553
-28.617,trivial_move,3,6638552
-28.617,flush_begin,0,0
-28.600,flush_end,0,6638553
-28.581,trivial_move,3,6638554
-28.581,flush_begin,0,0
-28.564,flush_end,0,6638554
-28.556,flush_begin,0,0
-28.538,flush_end,0,6638552
-28.519,trivial_move,3,6638554
-28.519,flush_begin,0,0
-28.501,flush_end,0,6638554
-28.483,trivial_move,3,6638552
-28.483,flush_begin,0,0
-28.466,flush_end,0,6638553
-28.458,flush_begin,0,0
-28.441,flush_end,0,6638553
-28.423,trivial_move,3,6638554
-28.423,flush_begin,0,0
-28.406,flush_end,0,6638553
-28.387,trivial_move,3,6638553
-28.387,flush_begin,0,0
-28.370,flush_end,0,6638553
-28.351,trivial_move,3,6638553
-28.351,flush_begin,0,0
-28.333,flush_end,0,6638555
-28.314,trivial_move,3,6638553
-28.314,flush_begin,0,0
-28.297,flush_end,0,6638552
-28.279,trivial_move,3,6638554
-28.279,flush_begin,0,0
-28.261,flush_end,0,6638554
-28.242,trivial_move,3,6638553
-28.242,flush_begin,0,0
-28.225,flush_end,0,6638553
-28.206,trivial_move,3,6638552
-28.206,flush_begin,0,0
-28.189,flush_end,0,6638553
-28.171,trivial_move,3,6638554
-28.171,flush_begin,0,0
-28.153,flush_end,0,6638554
-28.134,trivial_move,3,6638553
-28.134,flush_begin,0,0
-28.115,flush_end,0,6638553
-28.097,trivial_move,3,6638553
-28.097,flush_begin,0,0
-28.079,flush_end,0,6638553
-28.070,flush_begin,0,0
-28.053,flush_end,0,6638552
-28.045,flush_begin,0,0
-28.028,flush_end,0,6638554
-28.021,flush_begin,0,0
-28.004,flush_end,0,6638553
-27.987,trivial_move,3,6638553
-27.987,flush_begin,0,0
-27.970,flush_end,0,6638553
-27.951,trivial_move,3,6638555
-27.951,flush_begin,0,0
-27.934,flush_end,0,6638554
-27.926,flush_begin,0,0
-27.909,flush_end,0,6638553
-27.892,trivial_move,3,6638553
-27.892,flush_begin,0,0
-27.876,flush_end,0,6638553
-27.858,trivial_move,3,6638553
-27.858,flush_begin,0,0
-27.841,flush_end,0,6638553
-27.833,flush_begin,0,0
-27.817,flush_end,0,6638554
-27.800,trivial_move,3,6638554
-27.800,flush_begin,0,0
-27.785,flush_end,0,6638552
-27.769,trivial_move,3,6638552
-27.769,flush_begin,0,0
-27.763,flush_end,0,1164547
-27.746,trivial_move,3,6638553
-27.738,trivial_move,3,6638553
-27.730,trivial_move,3,6638554
-27.730,compaction_begin,2,0
-27.705,compaction_end,2,6638145
-27.689,trivial_move,3,6638553
-27.689,compaction_begin,2,0
-27.664,compaction_end,2,6638146
-27.648,trivial_move,3,6638552
-27.648,compaction_begin,2,0
-27.624,compaction_end,2,6638146
-27.608,trivial_move,3,6638553
-27.608,compaction_begin,2,0
-27.584,compaction_end,2,6638145
-27.568,trivial_move,3,6638553
-27.568,compaction_begin,2,0
-27.545,compaction_end,2,6638145
-27.530,trivial_move,3,6638555
-27.530,compaction_begin,2,0
-27.507,compaction_end,2,6638144
-27.491,trivial_move,3,6638554
-27.491,compaction_begin,2,0
-27.467,compaction_end,2,6638145
-27.459,compaction_begin,2,0
-27.436,compaction_end,2,6638145
-27.428,compaction_begin,2,0
-27.406,compaction_end,2,6638146
-27.398,compaction_begin,2,0
-27.375,compaction_end,2,6638145
-27.367,compaction_begin,2,0
-27.344,compaction_end,2,6638145
-27.336,compaction_begin,2,0
-27.314,compaction_end,2,6638144
-27.306,compaction_begin,2,0
-27.284,compaction_end,2,6638146
-27.276,compaction_begin,2,0
-27.254,compaction_end,2,6638145
-27.246,compaction_begin,2,0
-27.224,compaction_end,2,6638145
-27.216,compaction_begin,2,0
-27.194,compaction_end,2,6638146
-27.186,compaction_begin,2,0
-27.164,compaction_end,2,6638145
-27.156,compaction_begin,2,0
-27.134,compaction_end,2,6638145
-27.126,compaction_begin,2,0
-27.104,compaction_end,2,6638145
-27.096,compaction_begin,2,0
-27.073,compaction_end,2,6638146
-27.065,compaction_begin,2,0
-27.043,compaction_end,2,6638144
-27.035,compaction_begin,2,0
-27.028,compaction_end,2,1164547
10.624,flush_begin,0,0
10.645,flush_end,0,6627014
10.716,compaction_begin,1,0
11.044,compaction_end,1,6560503
11.100,compaction_begin,2,0
13.072,compaction_end,2,46468050
13.080,compaction_begin,2,0
16.591,compaction_end,2,46468049
16.602,compaction_begin,2,0
20.332,compaction_end,2,46468050
20.341,compaction_begin,2,0
22.817,compaction_end,2,44118862
22.827,compaction_begin,2,0
25.240,compaction_end,2,44118863
25.248,compaction_begin,2,0
28.676,compaction_end,2,46468047
28.686,compaction_begin,2,0
31.327,compaction_end,2,46468049
31.340,compaction_begin,2,0
33.780,compaction_end,2,44118861
33.788,compaction_begin,2,0
36.632,compaction_end,2,46468049
36.644,compaction_begin,2,0
40.133,compaction_end,2,46468049
40.142,compaction_begin,2,0
40.339,compaction_end,2,4825720
48.266,flush_begin,0,0
48.288,flush_end,0,6628272
48.359,compaction_begin,1,0
48.687,compaction_end,1,6559608
48.754,compaction_begin,2,0
50.994,compaction_end,2,44118749
51.002,compaction_begin,2,0
54.202,compaction_end,2,42179010
54.212,compaction_begin,2,0
57.204,compaction_end,2,42179011
57.213,compaction_begin,2,0
60.370,compaction_end,2,42890503
60.381,compaction_begin,2,0
63.645,compaction_end,2,42179009
63.653,compaction_begin,2,0
66.856,compaction_end,2,42179010
66.865,compaction_begin,2,0
69.754,compaction_end,2,42179010
69.764,compaction_begin,2,0
73.152,compaction_end,2,42179009
73.162,compaction_begin,2,0
76.155,compaction_end,2,42179012
76.165,compaction_begin,2,0
79.320,compaction_end,2,42179011
79.331,compaction_begin,2,0
