t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8002,6502,1500,6380,2923,0.45815,256,416,432,13,0,0,0,0,63.96,0.00,0,92,63.96,0,144700,58,0,144700,58,33542,0
2,8005,6505,1500,6356,3341,0.52565,4,416,432,11,0,0,0,0,63.96,0.00,0,92,63.96,0,144700,58,0,144700,58,33542,0
3,8002,6502,1500,6323,3788,0.59908,3,408,432,11,0,0,0,0,63.96,0.01,1,92,63.96,0,144700,58,0,144700,58,33542,0
4,8005,6504,1501,6295,3723,0.59142,3,416,432,12,0,0,0,0,63.96,0.00,0,92,63.96,0,144700,58,0,144700,58,33542,0
5,8004,6504,1500,6320,3767,0.59604,4,408,432,11,0,0,0,0,63.96,0.02,1,92,63.96,0,144700,58,0,144700,58,33542,0
6,8004,6501,1503,6337,3517,0.55499,4,408,432,11,0,0,0,0,63.96,0.00,0,92,63.96,0,144700,58,0,144700,58,33542,0
7,8015,6514,1501,6360,3566,0.56069,4,392,424,12,0,0,0,0,63.96,0.11,1,92,63.96,0,144700,58,0,144700,58,33542,0
8,8025,6523,1502,6473,3419,0.52819,5,408,440,2816,0,1,1,0,63.96,0.17,2,93,63.96,291,144700,58,0,146276,115,35111,560
9,8044,6531,1513,6625,3340,0.50415,212,416,440,1312,1,0,0,0,63.96,11.47,10,103,63.96,4090,146234,115,0,150206,254,41190,3195
10,8024,6520,1504,6594,2832,0.42948,256,416,440,180,1,0,0,0,63.97,23.75,13,103,63.97,0,147818,130,0,154131,343,46414,4746
11,8025,6521,1504,6574,2654,0.40371,256,376,416,256,1,1,0,0,63.96,5.98,2,106,63.96,179,150625,207,0,158084,1207,49282,4850
12,8003,6501,1502,6543,2661,0.40669,256,368,416,14,1,0,0,0,63.96,17.40,5,106,63.96,0,154124,380,0,162030,1637,52806,5638
13,8014,6512,1502,6568,2633,0.40088,256,368,408,12,1,0,0,0,63.97,27.54,12,106,63.97,0,158286,988,0,165982,1659,55894,5949
14,8026,6521,1505,6564,2650,0.40372,256,368,408,228,1,1,0,0,63.97,17.07,7,109,63.97,1593,161553,1249,0,169941,2032,59321,6661
15,8006,6505,1501,6568,2389,0.36373,256,368,400,12,1,0,0,0,63.97,17.60,6,109,63.97,0,166203,1477,0,172963,2289,62064,6661
16,8011,6511,1500,6541,2304,0.35224,256,352,392,14,1,0,0,0,63.97,23.72,8,109,63.97,0,169879,1912,0,176335,2312,65387,7279
17,8009,6505,1504,6538,2404,0.36770,256,352,392,16,1,0,0,0,63.96,23.01,7,109,63.96,0,172954,2248,0,178908,2312,68130,7279
18,8006,6505,1501,6514,2888,0.44335,256,320,432,1792,1,1,0,0,63.96,22.49,6,112,63.96,1083,175739,2303,0,182422,2624,72453,8193
19,8002,6501,1501,6510,2623,0.40292,256,272,432,46,1,0,0,0,63.96,26.81,8,112,63.96,0,179135,2312,0,186320,2634,76490,8506
20,8005,6505,1500,6532,2294,0.35119,256,384,440,1312,1,1,0,0,62.96,18.04,7,109,62.97,971,182237,2482,0,190247,2741,80412,8714
21,8043,6534,1509,6526,2673,0.40959,256,400,432,32,1,0,0,0,63.96,21.37,9,109,63.96,0,186635,2614,0,194175,3024,84605,9166
22,8002,6501,1501,6500,2518,0.38738,256,400,432,1408,1,0,0,0,63.96,26.19,11,109,63.96,0,191085,2800,0,198067,3117,89557,10464
23,8004,6504,1500,6475,2514,0.38826,256,344,408,1504,1,1,0,0,63.96,14.57,6,109,63.96,1037,195101,3035,0,201995,3658,93236,11365
24,8003,6505,1498,6478,2133,0.32927,256,344,384,16,1,0,0,0,63.96,26.45,12,109,63.96,0,198591,3165,0,205935,3798,96099,11512
25,8006,6504,1502,6483,1794,0.27672,256,360,400,1408,1,0,0,0,63.96,26.90,11,109,63.96,0,202775,3571,0,209876,3798,99528,12322
26,8023,6517,1506,6473,1958,0.30249,256,336,376,1952,1,1,0,0,63.96,10.15,5,112,63.96,1163,206992,3777,0,213420,3954,103451,12988
27,8015,6513,1502,6453,2009,0.31133,264,280,288,296,1,0,0,0,63.96,24.68,9,112,63.96,0,210680,3798,0,217257,3999,107954,13828
28,8007,6505,1502,6427,2299,0.35771,264,280,288,41,1,0,0,0,63.96,26.88,12,112,63.96,0,214191,3988,0,221073,3999,111664,13828
29,8015,6512,1503,6405,2871,0.44824,256,288,432,1952,1,1,0,0,63.96,23.90,7,115,63.96,876,217457,3999,0,224968,4060,115324,13828
30,8041,6533,1508,6474,2732,0.42200,256,400,432,1008,1,0,0,0,63.96,28.22,9,115,63.96,0,221624,3999,0,228901,4077,119856,14639
31,8005,6504,1501,6435,2924,0.45439,256,376,424,1888,1,1,0,0,63.96,7.41,3,112,63.96,1063,225575,4042,0,232830,4288,124261,15695
32,8012,6517,1495,6419,2671,0.41611,256,384,424,256,1,0,0,0,63.96,19.57,10,112,63.96,0,229129,4059,0,236734,4508,128596,16736
33,8004,6496,1508,6373,2581,0.40499,256,408,432,15,1,0,0,0,63.96,27.21,11,112,63.96,0,233260,4278,0,240644,4545,132345,16736
34,8041,6535,1506,6371,2734,0.42913,256,344,424,1952,1,1,0,0,63.95,21.84,8,112,63.95,840,236892,4473,0,244587,4587,135579,16736
35,8035,6529,1506,6380,2644,0.41442,256,256,352,16,1,0,0,0,63.96,27.91,10,112,63.96,0,241151,4523,0,248416,4674,138309,16736
36,8007,6505,1502,6354,2480,0.39031,256,264,280,74,1,0,0,0,63.96,27.23,8,112,63.96,0,245113,4582,0,252176,4674,142476,17397
37,8005,6503,1502,6333,2760,0.43581,256,280,368,15,1,0,0,0,63.96,26.82,9,112,63.96,0,248648,4637,0,255514,4674,145438,17583
38,8005,6507,1498,6334,3476,0.54878,7,264,288,2432,0,2,0,0,63.95,0.50,1,114,63.95,486,250454,4657,0,257553,5312,146705,18093
39,8015,6512,1503,6344,3501,0.55186,5,264,280,15,0,0,0,0,63.95,0.50,1,114,63.95,0,252001,4669,0,257553,5999,146705,18093
40,8004,6501,1503,6337,2738,0.43207,256,272,288,30,0,0,0,0,63.95,0.79,5,114,63.95,0,253700,4674,0,257553,6183,146705,18093
41,8045,6536,1509,6412,2450,0.38210,256,360,440,49,0,0,0,0,63.95,0.52,2,114,63.95,0,255474,4781,0,257553,6185,146705,18093
42,8006,6505,1501,6391,2497,0.39071,256,408,432,11,0,0,0,0,63.95,0.00,0,114,63.95,0,256810,5442,0,257553,6185,146705,18093
