t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8009,6506,1503,6384,2914,0.45645,256,272,272,21,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8002,6502,1500,6385,3349,0.52451,10,272,272,21,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8006,6506,1500,6305,3832,0.60777,6,264,272,19,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
4,8008,6508,1500,6308,3665,0.58101,8,272,272,22,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
5,8002,6500,1502,6335,3735,0.58958,8,272,272,23,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0,0,0,24038,0
6,8007,6510,1497,6366,3544,0.55671,9,272,272,23,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8004,6497,1507,6351,3543,0.55786,8,272,272,22,0,0,0,0,63.95,0.11,1,86,63.95,0,0,0,0,0,0,24038,0
8,8004,6503,1501,6443,3432,0.53267,10,272,280,2624,1,0,1,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0,25003,47
9,8018,6515,1503,6601,3272,0.49568,228,264,280,2752,1,1,0,0,63.96,0.09,5,97,63.96,0,0,0,0,0,0,30457,2156
10,8017,6513,1504,6582,3376,0.51291,15,272,280,3136,1,0,0,0,63.96,0.15,5,97,63.96,0,0,0,0,0,0,36262,4389
11,8003,6506,1497,6550,2173,0.33176,256,272,288,2112,1,1,0,0,63.97,0.09,1,100,63.97,0,0,0,0,0,0,41284,5814
12,8034,6525,1509,6570,2403,0.36575,264,272,296,26,1,0,0,0,63.97,0.25,2,100,63.97,0,0,0,0,0,0,45009,5814
13,8019,6515,1504,6559,2831,0.43162,256,272,280,3328,1,1,0,0,63.97,0.29,4,103,63.97,0,0,0,0,0,0,48655,5826
14,8011,6509,1502,6543,2779,0.42473,256,272,288,28,1,0,0,0,63.97,0.08,4,103,63.97,0,0,0,0,0,0,52398,5826
15,8009,6508,1501,6554,2783,0.42463,256,272,280,1504,1,0,0,0,63.96,0.15,1,103,63.96,0,0,0,0,0,0,57244,7045
16,8009,6508,1501,6548,2665,0.40699,256,272,280,2368,1,1,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,61276,7416
17,8008,6507,1501,6559,2710,0.41317,256,272,280,184,1,0,0,0,63.97,0.06,2,100,63.97,0,0,0,0,0,0,65161,7598
18,8026,6519,1507,6549,2870,0.43823,256,264,280,2944,0,1,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,69430,8209
19,8032,6528,1504,6540,2852,0.43609,256,264,280,2112,1,0,0,0,63.97,0.01,1,103,63.97,0,0,0,0,0,0,73674,8784
20,8005,6502,1503,6519,2523,0.38702,256,272,288,236,1,0,0,0,63.97,0.00,0,103,63.97,0,0,0,0,0,0,78004,9451
21,8001,6501,1500,6480,2674,0.41265,256,264,280,2496,1,1,0,0,63.97,0.11,2,106,63.97,0,0,0,0,0,0,82528,10327
