t,type,level,bytes
-29.941,flush_begin,0,0
-29.920,flush_end,0,6638552
-29.911,flush_begin,0,0
-29.892,flush_end,0,6638554
-29.883,flush_begin,0,0
-29.862,flush_end,0,6638553
-29.853,flush_begin,0,0
-29.835,flush_end,0,6638553
-29.826,flush_begin,0,0
-29.807,flush_end,0,6638553
-29.798,flush_begin,0,0
-29.780,flush_end,0,6638554
-29.772,flush_begin,0,0
-29.754,flush_end,0,6638552
-29.745,flush_begin,0,0
-29.727,flush_end,0,6638554
-29.719,flush_begin,0,0
-29.700,flush_end,0,6638554
-29.692,flush_begin,0,0
-29.673,flush_end,0,6638552
-29.665,flush_begin,0,0
-29.645,flush_end,0,6638553
-29.638,flush_begin,0,0
-29.619,flush_end,0,6638553
-29.610,flush_begin,0,0
-29.592,flush_end,0,6638554
-29.584,flush_begin,0,0
-29.566,flush_end,0,6638552
-29.557,flush_begin,0,0
-29.539,flush_end,0,6638554
-29.531,flush_begin,0,0
-29.513,flush_end,0,6638554
-29.494,trivial_move,3,6638552
-29.494,flush_begin,0,0
-29.476,flush_end,0,6638552
-29.458,trivial_move,3,6638554
-29.458,flush_begin,0,0
-29.440,flush_end,0,6638555
-29.422,trivial_move,3,6638553
-29.422,flush_begin,0,0
-29.404,flush_end,0,6638553
-29.386,trivial_move,3,6638553
-29.386,flush_begin,0,0
-29.367,flush_end,0,6638553
-29.350,trivial_move,3,6638553
-29.350,flush_begin,0,0
-29.333,flush_end,0,6638552
-29.315,trivial_move,3,6638554
-29.315,flush_begin,0,0
-29.296,flush_end,0,6638554
-29.278,trivial_move,3,6638552
-29.278,flush_begin,0,0
-29.260,flush_end,0,6638554
-29.241,trivial_move,3,6638554
-29.241,flush_begin,0,0
-29.224,flush_end,0,6638552
-29.206,trivial_move,3,6638554
-29.206,flush_begin,0,0
-29.189,flush_end,0,6638554
-29.170,trivial_move,3,6638552
-29.170,flush_begin,0,0
-29.152,flush_end,0,6638553
-29.134,trivial_move,3,6638553
-29.134,flush_begin,0,0
-29.115,flush_end,0,6638553
-29.098,trivial_move,3,6638553
-29.098,flush_begin,0,0
-29.080,flush_end,0,6638553
-29.062,trivial_move,3,6638554
-29.062,flush_begin,0,0
-29.044,flush_end,0,6638554
-29.027,trivial_move,3,6638552
-29.027,flush_begin,0,0
-29.010,flush_end,0,6638553
-28.993,trivial_move,3,6638554
-28.993,flush_begin,0,0
-28.974,flush_end,0,6638552
-28.956,trivial_move,3,6638554
-28.956,flush_begin,0,0
-28.938,flush_end,0,6638554
-28.920,trivial_move,3,6638552
-28.920,flush_begin,0,0
-28.902,flush_end,0,6638553
-28.885,trivial_move,3,6638555
-28.885,flush_begin,0,0
-28.867,flush_end,0,6638553
-28.848,trivial_move,3,6638553
-28.848,flush_begin,0,0
-28.830,flush_end,0,6638553
-28.810,trivial_move,3,6638553
-28.810,flush_begin,0,0
-28.792,flush_end,0,6638555
-28.773,trivial_move,3,6638552
-28.773,flush_begin,0,0
-28.756,flush_end,0,6638553
-28.737,trivial_move,3,6638554
-28.737,flush_begin,0,0
-28.718,flush_end,0,6638553
-28.699,trivial_move,3,6638554
-28.699,flush_begin,0,0
-28.681,flush_end,0,6638554
-28.662,trivial_move,3,6638552
-28.662,flush_begin,0,0
-28.643,flush_end,0,6638552
-28.624,trivial_move,3,6638554
-28.624,flush_begin,0,0
-28.605,flush_end,0,6638553
-28.584,trivial_move,3,6638553
-28.584,flush_begin,0,0
-28.565,flush_end,0,6638553
-28.546,trivial_move,3,6638553
-28.546,flush_begin,0,0
-28.527,flush_end,0,6638554
-28.508,trivial_move,3,6638553
-28.508,flush_begin,0,0
-28.490,flush_end,0,6638553
-28.464,trivial_move,3,6638554
-28.464,flush_begin,0,0
-28.446,flush_end,0,6638553
-28.428,trivial_move,3,6638553
-28.428,flush_begin,0,0
-28.410,flush_end,0,6638554
-28.392,trivial_move,3,6638552
-28.392,flush_begin,0,0
-28.373,flush_end,0,6638552
-28.355,trivial_move,3,6638554
-28.355,flush_begin,0,0
-28.337,flush_end,0,6638554
-28.319,trivial_move,3,6638553
-28.319,flush_begin,0,0
-28.301,flush_end,0,6638553
-28.282,trivial_move,3,6638553
-28.282,flush_begin,0,0
-28.264,flush_end,0,6638553
-28.246,trivial_move,3,6638553
-28.246,flush_begin,0,0
-28.228,flush_end,0,6638553
-28.212,trivial_move,3,6638555
-28.212,flush_begin,0,0
-28.193,flush_end,0,6638553
-28.174,trivial_move,3,6638553
-28.174,flush_begin,0,0
-28.156,flush_end,0,6638555
-28.137,trivial_move,3,6638553
-28.137,flush_begin,0,0
-28.119,flush_end,0,6638552
-28.100,trivial_move,3,6638554
