t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8008,6505,1503,6370,2952,0.46342,256,272,280,23,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,59,0,135196,59,24038,0
2,8003,6507,1496,6359,3293,0.51785,10,272,272,23,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,59,0,135196,59,24038,0
3,8007,6502,1505,6302,3757,0.59616,8,272,272,23,0,0,0,0,63.96,0.01,1,86,63.96,0,135196,59,0,135196,59,24038,0
4,8005,6503,1502,6320,3663,0.57959,9,272,280,24,0,0,0,0,63.95,0.00,0,86,63.95,0,135196,59,0,135196,59,24038,0
5,8036,6530,1506,6348,3778,0.59515,9,272,272,22,0,0,0,0,63.96,0.01,1,86,63.96,0,135196,59,0,135196,59,24038,0
6,8034,6529,1505,6352,3610,0.56832,9,272,272,22,0,0,0,0,63.96,0.00,0,86,63.96,0,135196,59,0,135196,59,24038,0
7,8002,6501,1501,6350,3528,0.55559,9,272,280,27,0,0,0,0,63.96,0.12,1,86,63.96,0,135196,59,0,135196,59,24038,0
8,8034,6529,1505,6379,3393,0.53190,9,264,280,22,0,0,0,0,63.96,5.56,1,86,63.96,0,135196,59,0,136607,59,24038,0
9,8006,6502,1504,6581,3288,0.49962,240,272,288,2880,1,1,1,0,63.91,4.33,9,97,63.91,5909,136765,180,0,138845,263,26655,1864
10,8010,6510,1500,6580,3152,0.47903,256,272,288,42,1,0,0,0,63.96,11.24,8,97,63.96,0,136770,180,0,141154,393,28724,2522
11,8002,6501,1501,6575,2797,0.42540,256,272,288,22,1,0,0,0,63.97,19.15,6,97,63.97,0,138326,204,0,143438,446,31134,3493
12,8001,6498,1503,6577,2608,0.39653,264,272,288,36,1,0,0,0,63.97,18.91,6,97,63.97,0,140485,282,0,145484,447,33983,4729
13,8025,6523,1502,6591,2734,0.41481,264,272,288,26,1,0,0,0,63.97,19.08,8,97,63.97,0,142554,333,0,147530,447,36017,5036
14,8000,6503,1497,6545,2804,0.42842,264,272,296,1600,1,1,0,0,59.40,11.48,6,100,59.40,902,144435,432,0,149407,545,37833,5038
15,8028,6519,1509,6589,2548,0.38671,256,272,288,41,1,0,0,0,63.97,19.47,7,100,63.97,0,146479,441,0,151725,732,40058,5887
16,8003,6504,1499,6552,2390,0.36477,264,272,288,22,1,0,0,0,63.97,17.24,6,100,63.97,0,148945,454,0,153636,732,42136,6135
17,8004,6502,1502,6550,2460,0.37557,264,272,296,22,1,0,0,0,63.97,17.18,5,100,63.97,0,151134,718,0,155545,732,43999,6136
18,8006,6507,1499,6540,2736,0.41835,256,272,296,34,1,0,0,0,63.97,18.38,5,100,63.97,0,152886,732,0,157591,732,45922,6371
19,8004,6502,1502,6548,2827,0.43173,256,272,288,41,1,0,0,0,63.97,19.28,7,100,63.97,0,154794,732,0,159710,732,47599,6423
20,8003,6501,1502,6528,2780,0.42586,256,272,288,2176,1,1,0,0,63.96,14.74,6,103,63.96,825,156316,732,0,161363,1182,49660,6423
21,8006,6505,1501,6506,2563,0.39394,256,272,288,41,1,0,0,0,63.96,17.57,8,103,63.96,0,158125,732,0,163085,1218,51717,6423
22,8007,6508,1499,6502,2623,0.40341,264,272,288,25,1,0,0,0,63.96,17.58,7,103,63.96,0,160224,886,0,165045,1218,53594,6483
23,8007,6505,1502,6510,2420,0.37174,256,264,288,21,1,0,0,0,63.96,17.45,5,103,63.96,0,162525,1119,0,167091,1218,55691,6869
24,8000,6498,1502,6491,2176,0.33523,264,272,296,26,1,0,0,0,63.96,17.50,6,103,63.96,0,164618,1172,0,169137,1218,57396,6873
25,8022,6518,1504,6518,2108,0.32341,264,272,288,1312,1,1,0,0,63.96,8.14,5,100,63.96,1735,166801,1195,0,171215,1450,59282,7149
26,8005,6504,1501,6485,2166,0.33400,256,272,288,19,1,0,0,0,63.96,17.21,6,100,63.96,0,168637,1213,0,173522,1671,61660,8090
