t,type,level,bytes
-29.934,flush_begin,0,0
-29.909,flush_end,0,6638552
-29.900,flush_begin,0,0
-29.875,flush_end,0,6638554
-29.866,flush_begin,0,0
-29.841,flush_end,0,6638553
-29.831,flush_begin,0,0
-29.807,flush_end,0,6638553
-29.797,flush_begin,0,0
-29.769,flush_end,0,6638553
-29.761,flush_begin,0,0
-29.736,flush_end,0,6638554
-29.726,flush_begin,0,0
-29.699,flush_end,0,6638552
-29.690,flush_begin,0,0
-29.663,flush_end,0,6638554
-29.655,flush_begin,0,0
-29.629,flush_end,0,6638554
-29.621,flush_begin,0,0
-29.596,flush_end,0,6638552
-29.587,flush_begin,0,0
-29.562,flush_end,0,6638553
-29.553,flush_begin,0,0
-29.529,flush_end,0,6638553
-29.521,flush_begin,0,0
-29.496,flush_end,0,6638554
-29.486,flush_begin,0,0
-29.462,flush_end,0,6638552
-29.454,flush_begin,0,0
-29.430,flush_end,0,6638554
-29.421,flush_begin,0,0
-29.396,flush_end,0,6638554
-29.378,trivial_move,3,6638552
-29.378,flush_begin,0,0
-29.353,flush_end,0,6638552
-29.334,trivial_move,3,6638554
-29.334,flush_begin,0,0
-29.309,flush_end,0,6638555
-29.291,trivial_move,3,6638553
-29.291,flush_begin,0,0
-29.266,flush_end,0,6638553
-29.258,flush_begin,0,0
-29.233,flush_end,0,6638553
-29.225,flush_begin,0,0
-29.200,flush_end,0,6638552
-29.183,trivial_move,3,6638553
-29.183,flush_begin,0,0
-29.158,flush_end,0,6638554
-29.140,trivial_move,3,6638553
-29.140,flush_begin,0,0
-29.115,flush_end,0,6638554
-29.096,trivial_move,3,6638554
-29.096,flush_begin,0,0
-29.072,flush_end,0,6638552
-29.057,trivial_move,3,6638552
-29.057,flush_begin,0,0
-29.033,flush_end,0,6638554
-29.016,trivial_move,3,6638554
-29.016,flush_begin,0,0
-28.992,flush_end,0,6638553
-28.975,trivial_move,3,6638554
-28.975,flush_begin,0,0
-28.951,flush_end,0,6638553
-28.932,trivial_move,3,6638552
-28.931,flush_begin,0,0
-28.908,flush_end,0,6638553
-28.891,trivial_move,3,6638553
-28.891,flush_begin,0,0
-28.868,flush_end,0,6638554
-28.850,trivial_move,3,6638553
-28.850,flush_begin,0,0
-28.826,flush_end,0,6638553
-28.807,trivial_move,3,6638554
-28.806,flush_begin,0,0
-28.783,flush_end,0,6638552
-28.765,trivial_move,3,6638552
-28.765,flush_begin,0,0
-28.739,flush_end,0,6638554
-28.722,trivial_move,3,6638554
-28.722,flush_begin,0,0
-28.697,flush_end,0,6638553
-28.679,trivial_move,3,6638554
-28.679,flush_begin,0,0
-28.652,flush_end,0,6638553
-28.634,trivial_move,3,6638552
-28.634,flush_begin,0,0
-28.609,flush_end,0,6638553
-28.601,flush_begin,0,0
-28.577,flush_end,0,6638555
-28.560,trivial_move,3,6638555
-28.560,flush_begin,0,0
-28.535,flush_end,0,6638553
-28.527,flush_begin,0,0
-28.503,flush_end,0,6638553
-28.486,trivial_move,3,6638553
-28.486,flush_begin,0,0
-28.462,flush_end,0,6638554
-28.444,trivial_move,3,6638553
-28.444,flush_begin,0,0
-28.420,flush_end,0,6638552
-28.403,trivial_move,3,6638552
-28.403,flush_begin,0,0
-28.378,flush_end,0,6638553
-28.359,trivial_move,3,6638554
-28.359,flush_begin,0,0
-28.335,flush_end,0,6638553
-28.317,trivial_move,3,6638554
-28.317,flush_begin,0,0
-28.292,flush_end,0,6638554
-28.274,trivial_move,3,6638552
-28.274,flush_begin,0,0
-28.249,flush_end,0,6638553
-28.231,trivial_move,3,6638554
-28.231,flush_begin,0,0
-28.206,flush_end,0,6638553
-28.187,trivial_move,3,6638553
-28.187,flush_begin,0,0
-28.163,flush_end,0,6638554
-28.155,flush_begin,0,0
-28.131,flush_end,0,6638552
-28.113,trivial_move,3,6638553
