t,type,level,bytes
-29.913,flush_begin,0,0
-29.886,flush_end,0,6638552
-29.877,flush_begin,0,0
-29.851,flush_end,0,6638554
-29.842,flush_begin,0,0
-29.815,flush_end,0,6638553
-29.806,flush_begin,0,0
-29.779,flush_end,0,6638553
-29.770,flush_begin,0,0
-29.743,flush_end,0,6638553
-29.734,flush_begin,0,0
-29.708,flush_end,0,6638554
-29.699,flush_begin,0,0
-29.671,flush_end,0,6638552
-29.663,flush_begin,0,0
-29.637,flush_end,0,6638554
-29.628,flush_begin,0,0
-29.602,flush_end,0,6638554
-29.593,flush_begin,0,0
-29.567,flush_end,0,6638552
-29.558,flush_begin,0,0
-29.532,flush_end,0,6638553
-29.523,flush_begin,0,0
-29.497,flush_end,0,6638553
-29.488,flush_begin,0,0
-29.462,flush_end,0,6638554
-29.453,flush_begin,0,0
-29.427,flush_end,0,6638552
-29.418,flush_begin,0,0
-29.391,flush_end,0,6638554
-29.382,flush_begin,0,0
-29.356,flush_end,0,6638554
-29.339,trivial_move,3,6638552
-29.339,flush_begin,0,0
-29.312,flush_end,0,6638552
-29.293,trivial_move,3,6638554
-29.293,flush_begin,0,0
-29.266,flush_end,0,6638555
-29.249,trivial_move,3,6638553
-29.249,flush_begin,0,0
-29.222,flush_end,0,6638553
-29.205,trivial_move,3,6638553
-29.205,flush_begin,0,0
-29.179,flush_end,0,6638553
-29.161,trivial_move,3,6638553
-29.161,flush_begin,0,0
-29.134,flush_end,0,6638552
-29.116,trivial_move,3,6638554
-29.116,flush_begin,0,0
-29.090,flush_end,0,6638554
-29.072,trivial_move,3,6638552
-29.072,flush_begin,0,0
-29.044,flush_end,0,6638554
-29.027,trivial_move,3,6638554
-29.027,flush_begin,0,0
-29.000,flush_end,0,6638552
-28.982,trivial_move,3,6638554
-28.982,flush_begin,0,0
-28.955,flush_end,0,6638554
-28.937,trivial_move,3,6638552
-28.937,flush_begin,0,0
-28.911,flush_end,0,6638553
-28.893,trivial_move,3,6638553
-28.893,flush_begin,0,0
