t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8043,6531,1512,6407,3010,0.46980,328,344,360,59,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0,0,0
2,8079,6569,1510,6420,3368,0.52461,18,344,360,63,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0,0,0
3,8008,6504,1504,6307,3806,0.60346,15,344,352,60,0,0,0,0,63.96,0.04,1,88,63.96,0,0,0,0,0,0,0,0
4,8015,6511,1504,6298,3619,0.57463,15,344,360,58,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0,0,0
5,8068,6555,1513,6381,3818,0.59834,16,344,360,60,0,0,0,0,63.96,0.03,1,88,63.96,0,0,0,0,0,0,0,0
6,8013,6511,1502,6362,3534,0.55549,17,344,360,63,0,0,0,0,63.96,0.00,0,88,63.96,0,0,0,0,0,0,0,0
7,8052,6547,1505,6390,3572,0.55900,17,344,360,62,0,0,0,0,63.96,0.44,2,88,63.96,0,0,0,0,0,0,0,0
8,8054,6540,1514,6489,3434,0.52920,18,344,360,2304,1,0,1,0,63.96,0.02,1,89,63.96,9,0,0,0,0,0,1039,44
9,8020,6516,1504,6597,3296,0.49962,244,344,360,2496,1,1,0,0,63.96,0.30,8,99,63.96,4444,0,0,0,0,0,4769,1196
10,8009,6507,1502,6591,3415,0.51813,20,344,360,1824,1,0,0,0,63.96,0.19,4,99,63.96,0,0,0,0,0,0,10207,4283
11,8030,6524,1506,6586,2653,0.40282,320,344,368,1120,1,1,0,0,47.61,0.00,0,102,47.63,899,0,0,0,0,0,13930,5420
12,8010,6508,1502,6552,2351,0.35882,320,344,352,61,1,0,0,0,63.58,0.13,1,102,63.59,0,0,0,0,0,0,17171,5839
13,8013,6511,1502,6569,2979,0.45349,320,344,360,76,1,0,0,0,63.97,0.14,3,102,63.97,0,0,0,0,0,0,20519,6364
14,8055,6548,1507,6592,3040,0.46117,320,344,368,1888,1,1,0,0,63.97,0.13,4,99,63.97,2886,0,0,0,0,0,24368,7575
15,8011,6506,1505,6562,2749,0.41893,320,344,360,416,1,0,0,0,63.97,0.29,3,99,63.97,0,0,0,0,0,0,27858,8319
16,8040,6534,1506,6604,2929,0.44352,328,352,376,72,1,0,0,0,63.97,0.02,1,99,63.97,0,0,0,0,0,0,31686,9584
17,8035,6529,1506,6591,2934,0.44515,320,344,368,2944,1,1,0,0,50.13,0.32,5,102,50.14,2126,0,0,0,0,0,35117,10477
18,8009,6504,1505,6511,2494,0.38304,320,344,360,66,1,0,0,0,63.85,0.01,1,102,63.86,0,0,0,0,0,0,38709,11322
19,8046,6538,1508,6587,2914,0.44239,312,344,360,376,1,0,0,0,63.96,0.04,2,102,63.96,0,0,0,0,0,0,42134,12018
