t,type,level,bytes
-29.928,flush_begin,0,0
-29.909,flush_end,0,6638552
-29.900,flush_begin,0,0
-29.883,flush_end,0,6638554
-29.874,flush_begin,0,0
-29.857,flush_end,0,6638553
-29.848,flush_begin,0,0
-29.833,flush_end,0,6638553
-29.825,flush_begin,0,0
-29.808,flush_end,0,6638553
-29.799,flush_begin,0,0
-29.783,flush_end,0,6638554
-29.774,flush_begin,0,0
-29.758,flush_end,0,6638552
-29.749,flush_begin,0,0
-29.733,flush_end,0,6638554
-29.725,flush_begin,0,0
-29.707,flush_end,0,6638554
-29.699,flush_begin,0,0
-29.683,flush_end,0,6638552
-29.674,flush_begin,0,0
-29.659,flush_end,0,6638553
-29.650,flush_begin,0,0
-29.635,flush_end,0,6638553
-29.626,flush_begin,0,0
-29.610,flush_end,0,6638554
-29.601,flush_begin,0,0
-29.586,flush_end,0,6638552
-29.577,flush_begin,0,0
-29.561,flush_end,0,6638554
-29.553,flush_begin,0,0
-29.538,flush_end,0,6638554
-29.522,trivial_move,3,6638552
-29.522,flush_begin,0,0
-29.506,flush_end,0,6638552
-29.488,trivial_move,3,6638554
-29.488,flush_begin,0,0
-29.472,flush_end,0,6638555
-29.454,trivial_move,3,6638553
-29.454,flush_begin,0,0
-29.438,flush_end,0,6638553
-29.420,trivial_move,3,6638553
-29.420,flush_begin,0,0
-29.404,flush_end,0,6638553
-29.386,trivial_move,3,6638553
-29.386,flush_begin,0,0
-29.369,flush_end,0,6638552
-29.351,trivial_move,3,6638554
-29.351,flush_begin,0,0
-29.335,flush_end,0,6638554
-29.319,trivial_move,3,6638552
-29.319,flush_begin,0,0
-29.301,flush_end,0,6638554
-29.285,trivial_move,3,6638554
-29.285,flush_begin,0,0
-29.268,flush_end,0,6638552
-29.252,trivial_move,3,6638554
-29.252,flush_begin,0,0
-29.235,flush_end,0,6638554
-29.218,trivial_move,3,6638552
-29.218,flush_begin,0,0
-29.201,flush_end,0,6638553
-29.185,trivial_move,3,6638553
-29.185,flush_begin,0,0
-29.169,flush_end,0,6638553
-29.151,trivial_move,3,6638553
-29.151,flush_begin,0,0
-29.135,flush_end,0,6638553
-29.127,flush_begin,0,0
-29.111,flush_end,0,6638554
-29.093,trivial_move,3,6638554
-29.093,flush_begin,0,0
-29.077,flush_end,0,6638553
-29.058,trivial_move,3,6638552
-29.058,flush_begin,0,0
-29.042,flush_end,0,6638552
-29.034,flush_begin,0,0
-29.018,flush_end,0,6638554
-29.000,trivial_move,3,6638554
-29.000,flush_begin,0,0
-28.985,flush_end,0,6638553
-28.967,trivial_move,3,6638554
-28.967,flush_begin,0,0
-28.950,flush_end,0,6638553
-28.933,trivial_move,3,6638552
-28.933,flush_begin,0,0
-28.917,flush_end,0,6638553
-28.909,flush_begin,0,0
-28.892,flush_end,0,6638555
-28.874,trivial_move,3,6638555
-28.874,flush_begin,0,0
-28.858,flush_end,0,6638553
-28.842,trivial_move,3,6638553
-28.842,flush_begin,0,0
-28.825,flush_end,0,6638553
-28.808,trivial_move,3,6638553
-28.808,flush_begin,0,0
-28.792,flush_end,0,6638554
-28.772,trivial_move,3,6638552
-28.772,flush_begin,0,0
-28.757,flush_end,0,6638552
-28.740,trivial_move,3,6638554
-28.732,trivial_move,3,6638554
-28.732,flush_begin,0,0
-28.715,flush_end,0,6638553
-28.697,trivial_move,3,6638552
-28.697,flush_begin,0,0
-28.681,flush_end,0,6638553
-28.663,trivial_move,3,6638554
-28.663,flush_begin,0,0
-28.642,flush_end,0,6638554
-28.624,trivial_move,3,6638553
-28.624,flush_begin,0,0
-28.608,flush_end,0,6638553
-28.590,trivial_move,3,6638553
-28.590,flush_begin,0,0
-28.573,flush_end,0,6638553
-28.565,flush_begin,0,0
-28.548,flush_end,0,6638554
-28.540,flush_begin,0,0
-28.524,flush_end,0,6638552
-28.507,trivial_move,3,6638553
-28.507,flush_begin,0,0
-28.491,flush_end,0,6638554
-28.483,flush_begin,0,0
-28.468,flush_end,0,6638553
-28.451,trivial_move,3,6638554
-28.450,flush_begin,0,0
-28.435,flush_end,0,6638553
-28.417,trivial_move,3,6638553
-28.417,flush_begin,0,0
-28.400,flush_end,0,6638553
-28.392,flush_begin,0,0
-28.376,flush_end,0,6638553
-28.360,trivial_move,3,6638552
-28.360,flush_begin,0,0
-28.343,flush_end,0,6638555
-28.327,trivial_move,3,6638554
-28.319,trivial_move,3,6638553
-28.319,flush_begin,0,0
-28.303,flush_end,0,6638552
-28.287,trivial_move,3,6638553
-28.287,flush_begin,0,0
-28.271,flush_end,0,6638554
-28.253,trivial_move,3,6638553
-28.253,flush_begin,0,0
-28.237,flush_end,0,6638553
-28.216,trivial_move,3,6638555
-28.216,flush_begin,0,0
-28.200,flush_end,0,6638553
-28.182,trivial_move,3,6638553
-28.182,flush_begin,0,0
-28.165,flush_end,0,6638554
-28.148,trivial_move,3,6638553
-28.148,flush_begin,0,0
-28.132,flush_end,0,6638553
-28.110,trivial_move,3,6638554
-28.110,flush_begin,0,0
-28.094,flush_end,0,6638553
-28.076,trivial_move,3,6638552
-28.076,flush_begin,0,0
-28.060,flush_end,0,6638552
