t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8025,6520,1505,6421,3000,0.46722,320,344,360,56,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0,0,0
2,8013,6510,1503,6372,3336,0.52354,18,344,360,59,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0,0,0
3,8015,6514,1501,6290,3766,0.59873,16,344,360,59,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0,0,0
4,8041,6532,1509,6340,3688,0.58170,16,344,360,63,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0,0,0
5,8023,6519,1504,6355,3759,0.59150,16,344,352,58,0,0,0,0,63.96,0.03,1,87,63.96,0,0,0,0,0,0,0,0
6,8084,6569,1515,6412,3582,0.55864,16,344,360,57,0,0,0,0,63.96,0.00,0,87,63.96,0,0,0,0,0,0,0,0
7,8072,6557,1515,6398,3571,0.55814,16,344,360,58,0,0,0,0,63.96,0.30,1,87,63.96,0,0,0,0,0,0,0,0
8,8072,6559,1513,6525,3475,0.53257,16,344,352,2432,1,0,1,0,63.96,0.79,4,88,63.96,11,0,0,0,192,0,969,48
9,8086,6570,1516,6636,2683,0.40431,312,344,360,2016,1,1,0,0,61.70,4.17,5,98,61.71,4536,180,8,0,1280,15,2732,109
10,8071,6558,1513,6647,2983,0.44877,320,344,368,51,1,0,0,0,63.97,8.51,6,98,63.97,0,180,8,0,2404,33,4687,216
11,8014,6510,1504,6586,2648,0.40206,320,352,376,57,1,0,0,0,63.97,15.97,4,98,63.97,0,232,9,0,4349,38,5810,327
12,8038,6533,1505,6598,2638,0.39982,320,344,368,59,1,0,0,0,63.97,14.80,6,98,63.97,0,1605,19,0,5380,38,7798,503
13,8062,6549,1513,6617,2887,0.43630,328,352,376,59,1,0,0,0,63.97,16.22,7,98,63.97,0,3291,28,0,7418,38,9675,1585
14,8047,6539,1508,6594,2833,0.42963,328,344,368,63,1,0,0,0,63.97,16.20,6,98,63.97,0,4874,32,0,9022,38,10989,1602
15,8043,6535,1508,6607,2461,0.37248,320,344,368,56,1,0,0,0,63.97,15.83,4,98,63.97,0,6434,36,0,10487,38,12492,1606
16,8040,6533,1507,6599,2501,0.37900,320,344,360,312,1,1,0,0,63.97,7.43,3,101,63.97,806,7522,36,0,11341,156,14572,1606
17,8049,6540,1509,6587,2866,0.43510,320,344,368,63,1,0,0,0,63.98,7.33,2,101,63.97,0,8615,37,0,11341,363,17376,1606
18,8067,6555,1512,6600,2943,0.44591,312,344,360,66,1,0,0,0,63.98,6.16,4,101,63.97,0,9671,38,0,11586,377,20202,1751
19,8069,6553,1516,6602,2831,0.42881,320,344,360,57,1,0,0,0,63.97,7.10,6,101,63.97,0,11030,75,0,13072,377,22209,2381
20,8068,6559,1509,6576,2522,0.38352,320,344,376,126,1,0,0,0,63.96,13.52,7,101,63.96,0,11280,316,0,14789,377,23543,2430
21,8067,6553,1514,6577,2501,0.38026,320,344,376,74,1,1,0,0,63.96,11.31,4,98,63.96,2104,11618,376,0,15749,449,25513,2535
22,8024,6518,1506,6527,2644,0.40509,320,344,368,68,1,0,0,0,63.96,14.87,6,98,63.96,0,13587,377,0,17673,487,26649,2659
23,8043,6535,1508,6540,2472,0.37798,320,344,368,70,1,0,0,0,63.96,15.28,8,98,63.96,0,15010,400,0,19005,489,28710,3147
24,8019,6516,1503,6520,2208,0.33865,336,352,376,60,1,0,0,0,63.96,12.33,5,98,63.96,0,16472,450,0,19666,489,30864,3160
25,8019,6514,1505,6524,2031,0.31131,328,344,368,56,1,0,0,0,63.96,10.81,6,98,63.96,0,17945,489,0,20689,489,32845,3241
26,8085,6570,1515,6574,2198,0.33435,312,344,360,59,1,0,0,0,63.96,13.05,4,98,63.96,0,19393,489,0,22733,489,33873,3241
27,8063,6552,1511,6500,2134,0.32831,320,344,368,1504,1,1,0,0,63.97,5.14,2,95,63.97,771,19639,489,0,23028,547,36344,3241
