t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8099,6580,1519,6447,3008,0.46657,312,344,360,61,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
2,8084,6568,1516,6413,3425,0.53407,20,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
3,8009,6509,1500,6285,3728,0.59316,17,352,360,66,0,0,0,0,63.95,0.05,1,86,63.95,0,0,0,0,0,0,0,0
4,8013,6509,1504,6321,3706,0.58630,18,352,360,63,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
5,8043,6535,1508,6381,3825,0.59944,17,344,360,64,0,0,0,0,63.96,0.03,1,86,63.96,0,0,0,0,0,0,0,0
6,8024,6520,1504,6360,3512,0.55220,18,344,360,70,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
7,8009,6511,1498,6373,3562,0.55892,19,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
8,8049,6536,1513,6470,3471,0.53648,19,344,368,2304,1,0,1,0,63.97,0.45,6,87,63.97,546,98,1,0,646,54,762,281
9,8021,6517,1504,6617,3389,0.51217,28,344,360,2496,1,1,0,0,63.97,0.44,7,97,63.97,4604,544,118,0,963,198,3570,928
10,8007,6508,1499,6590,3361,0.51002,19,328,344,2880,1,0,0,0,63.97,0.29,6,97,63.97,0,544,118,0,963,256,10192,4733
11,8040,6529,1511,6601,3060,0.46357,320,352,368,66,1,0,0,0,63.97,4.34,2,97,63.97,0,728,118,0,2075,285,12662,5518
12,8040,6533,1507,6587,2202,0.33429,320,344,360,1568,1,1,0,0,56.56,0.16,1,100,56.57,1270,912,240,0,2075,390,15820,5981
13,8054,6544,1510,6585,2850,0.43280,320,344,360,62,1,0,0,0,63.97,4.43,4,100,63.97,0,932,256,0,3187,390,17986,6390
14,8023,6520,1503,6564,2901,0.44196,320,352,368,80,1,0,0,0,63.97,8.70,5,100,63.97,0,1942,285,0,4299,390,20852,7612
15,8074,6559,1515,6625,2630,0.39698,320,352,360,104,1,0,0,0,63.97,7.98,4,100,63.97,0,2251,384,0,4299,390,23700,7612
16,8006,6506,1500,6556,2472,0.37706,320,344,360,592,1,1,0,0,63.97,0.00,0,103,63.97,1550,3184,387,0,4299,396,27173,8445
17,8085,6568,1517,6624,2896,0.43720,320,344,360,104,1,0,0,0,63.97,2.32,2,103,63.97,0,3977,387,0,4887,555,29501,8445
18,8058,6547,1511,6600,2960,0.44848,312,344,352,62,1,0,0,0,63.97,4.35,3,103,63.97,0,4119,389,0,5411,569,32734,9212
19,8009,6507,1502,6533,2694,0.41237,320,344,360,2624,1,1,0,0,58.89,4.35,3,106,58.91,1416,4120,390,0,5411,569,37179,11182
20,8038,6532,1506,6566,2417,0.36811,328,352,368,68,1,0,0,0,63.97,4.40,3,106,63.97,0,4139,409,0,5411,569,40042,11275
21,8061,6549,1512,6554,2761,0.42127,320,344,360,68,1,0,0,0,63.97,0.75,2,106,63.97,0,5146,449,0,5411,569,43373,11778
22,8010,6509,1501,6525,2923,0.44797,328,352,368,82,1,0,0,0,63.97,0.16,2,106,63.97,0,5362,520,0,5411,569,46103,11778
23,8057,6546,1511,6514,2533,0.38885,328,352,368,944,1,1,0,0,63.96,0.13,4,109,63.96,1450,5401,559,0,5411,569,48912,11867
24,8028,6523,1505,6511,2242,0.34434,320,352,368,74,1,0,0,0,63.97,0.00,0,109,63.97,0,5402,560,0,5411,569,52428,12652
25,8085,6568,1517,6569,2334,0.35531,320,344,360,58,1,0,0,0,63.96,0.11,2,109,63.96,0,5404,562,0,5411,569,55460,12805
26,8004,6503,1501,6469,2306,0.35647,320,352,360,1728,1,1,0,0,61.64,0.27,5,112,61.65,2004,5408,566,0,5411,569,58177,12805
27,8021,6518,1503,6447,2381,0.36932,320,344,360,66,1,0,0,0,63.96,0.02,1,112,63.96,0,5411,569,0,5411,569,61475,13355
28,8034,6527,1507,6435,2879,0.44740,320,344,360,256,1,0,0,0,63.96,0.24,3,112,63.96,0,5411,569,0,5411,569,65034,14179
