t,type,level,bytes
-29.913,flush_begin,0,0
-29.896,flush_end,0,6638552
-29.886,flush_begin,0,0
-29.869,flush_end,0,6638554
-29.859,flush_begin,0,0
-29.843,flush_end,0,6638553
-29.834,flush_begin,0,0
-29.818,flush_end,0,6638553
-29.809,flush_begin,0,0
-29.793,flush_end,0,6638553
-29.784,flush_begin,0,0
-29.769,flush_end,0,6638554
-29.759,flush_begin,0,0
-29.744,flush_end,0,6638552
-29.734,flush_begin,0,0
-29.718,flush_end,0,6638554
-29.709,flush_begin,0,0
-29.694,flush_end,0,6638554
-29.685,flush_begin,0,0
-29.670,flush_end,0,6638552
-29.662,flush_begin,0,0
-29.645,flush_end,0,6638553
-29.636,flush_begin,0,0
-29.621,flush_end,0,6638553
-29.612,flush_begin,0,0
-29.595,flush_end,0,6638554
-29.586,flush_begin,0,0
-29.571,flush_end,0,6638552
-29.561,flush_begin,0,0
-29.545,flush_end,0,6638554
-29.536,flush_begin,0,0
-29.520,flush_end,0,6638554
-29.505,trivial_move,3,6638552
-29.505,flush_begin,0,0
-29.488,flush_end,0,6638552
-29.473,trivial_move,3,6638554
-29.472,flush_begin,0,0
-29.457,flush_end,0,6638555
-29.441,trivial_move,3,6638553
-29.440,flush_begin,0,0
-29.425,flush_end,0,6638553
-29.410,trivial_move,3,6638553
-29.409,flush_begin,0,0
-29.394,flush_end,0,6638553
-29.377,trivial_move,3,6638553
-29.377,flush_begin,0,0
-29.361,flush_end,0,6638552
-29.343,trivial_move,3,6638554
-29.343,flush_begin,0,0
-29.327,flush_end,0,6638554
-29.311,trivial_move,3,6638552
-29.311,flush_begin,0,0
-29.295,flush_end,0,6638554
-29.277,trivial_move,3,6638554
-29.277,flush_begin,0,0
-29.260,flush_end,0,6638552
-29.241,trivial_move,3,6638554
-29.241,flush_begin,0,0
-29.224,flush_end,0,6638554
-29.208,trivial_move,3,6638552
-29.208,flush_begin,0,0
-29.192,flush_end,0,6638553
-29.176,trivial_move,3,6638553
-29.175,flush_begin,0,0
-29.159,flush_end,0,6638553
-29.143,trivial_move,3,6638553
-29.143,flush_begin,0,0
-29.126,flush_end,0,6638553
-29.111,trivial_move,3,6638554
-29.110,flush_begin,0,0
-29.094,flush_end,0,6638554
-29.078,trivial_move,3,6638552
-29.078,flush_begin,0,0
-29.062,flush_end,0,6638553
-29.047,trivial_move,3,6638554
-29.046,flush_begin,0,0
-29.030,flush_end,0,6638552
-29.013,trivial_move,3,6638554
-29.012,flush_begin,0,0
-28.996,flush_end,0,6638554
-28.981,trivial_move,3,6638552
-28.980,flush_begin,0,0
-28.962,flush_end,0,6638553
-28.947,trivial_move,3,6638555
-28.946,flush_begin,0,0
-28.930,flush_end,0,6638553
-28.913,trivial_move,3,6638553
-28.913,flush_begin,0,0
-28.896,flush_end,0,6638553
-28.881,trivial_move,3,6638553
-28.880,flush_begin,0,0
-28.856,flush_end,0,6638555
-28.840,trivial_move,3,6638552
-28.839,flush_begin,0,0
-28.823,flush_end,0,6638553
-28.807,trivial_move,3,6638554
-28.806,flush_begin,0,0
-28.790,flush_end,0,6638553
-28.774,trivial_move,3,6638554
-28.773,flush_begin,0,0
-28.757,flush_end,0,6638554
-28.741,trivial_move,3,6638552
-28.740,flush_begin,0,0
-28.724,flush_end,0,6638552
-28.708,trivial_move,3,6638554
-28.707,flush_begin,0,0
-28.691,flush_end,0,6638553
-28.675,trivial_move,3,6638553
-28.674,flush_begin,0,0
-28.657,flush_end,0,6638553
-28.642,trivial_move,3,6638553
-28.640,flush_begin,0,0
-28.624,flush_end,0,6638554
-28.609,trivial_move,3,6638553
-28.608,flush_begin,0,0
-28.591,flush_end,0,6638553
-28.575,trivial_move,3,6638554
-28.574,flush_begin,0,0
-28.558,flush_end,0,6638553
-28.542,trivial_move,3,6638553
-28.541,flush_begin,0,0
-28.525,flush_end,0,6638554
-28.509,trivial_move,3,6638552
-28.508,flush_begin,0,0
-28.492,flush_end,0,6638552
-28.476,trivial_move,3,6638554
-28.475,flush_begin,0,0
-28.459,flush_end,0,6638554
-28.444,trivial_move,3,6638553
-28.443,flush_begin,0,0
-28.427,flush_end,0,6638553
-28.412,trivial_move,3,6638553
-28.411,flush_begin,0,0
-28.395,flush_end,0,6638553
-28.380,trivial_move,3,6638553
-28.379,flush_begin,0,0
-28.362,flush_end,0,6638553
-28.346,trivial_move,3,6638555
