t,type,level,bytes
-29.910,flush_begin,0,0
-29.892,flush_end,0,6638552
-29.883,flush_begin,0,0
-29.866,flush_end,0,6638554
-29.858,flush_begin,0,0
-29.841,flush_end,0,6638553
-29.833,flush_begin,0,0
-29.816,flush_end,0,6638553
-29.808,flush_begin,0,0
-29.791,flush_end,0,6638553
-29.783,flush_begin,0,0
-29.766,flush_end,0,6638554
-29.759,flush_begin,0,0
-29.743,flush_end,0,6638552
-29.734,flush_begin,0,0
-29.719,flush_end,0,6638554
-29.711,flush_begin,0,0
-29.695,flush_end,0,6638554
-29.687,flush_begin,0,0
-29.671,flush_end,0,6638552
-29.662,flush_begin,0,0
-29.646,flush_end,0,6638553
-29.638,flush_begin,0,0
-29.622,flush_end,0,6638553
-29.614,flush_begin,0,0
-29.598,flush_end,0,6638554
-29.589,flush_begin,0,0
-29.574,flush_end,0,6638552
-29.566,flush_begin,0,0
-29.549,flush_end,0,6638554
-29.541,flush_begin,0,0
-29.526,flush_end,0,6638554
-29.508,trivial_move,3,6638552
-29.508,flush_begin,0,0
-29.491,flush_end,0,6638552
-29.473,trivial_move,3,6638554
-29.473,flush_begin,0,0
-29.458,flush_end,0,6638555
-29.439,trivial_move,3,6638553
-29.439,flush_begin,0,0
-29.423,flush_end,0,6638553
-29.405,trivial_move,3,6638553
-29.405,flush_begin,0,0
-29.390,flush_end,0,6638553
-29.371,trivial_move,3,6638553
-29.371,flush_begin,0,0
-29.355,flush_end,0,6638552
-29.337,trivial_move,3,6638554
-29.337,flush_begin,0,0
-29.322,flush_end,0,6638554
-29.304,trivial_move,3,6638552
-29.304,flush_begin,0,0
-29.288,flush_end,0,6638554
-29.270,trivial_move,3,6638554
-29.270,flush_begin,0,0
-29.253,flush_end,0,6638552
-29.235,trivial_move,3,6638554
-29.235,flush_begin,0,0
-29.219,flush_end,0,6638554
-29.201,trivial_move,3,6638552
-29.201,flush_begin,0,0
-29.184,flush_end,0,6638553
-29.166,trivial_move,3,6638553
-29.166,flush_begin,0,0
-29.149,flush_end,0,6638553
-29.133,trivial_move,3,6638553
-29.133,flush_begin,0,0
-29.116,flush_end,0,6638553
-29.098,trivial_move,3,6638554
-29.098,flush_begin,0,0
-29.082,flush_end,0,6638554
-29.063,trivial_move,3,6638552
-29.063,flush_begin,0,0
-29.047,flush_end,0,6638553
-29.029,trivial_move,3,6638554
