t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8043,6534,1509,6353,3575,0.56273,10,280,296,39,0,0,0,0,63.96,0.07,2,86,63.96,0,0,0,0,0,0,0,0
2,8044,6536,1508,6389,3311,0.51823,18,296,312,56,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
3,8020,6516,1504,6362,3180,0.49984,27,296,320,61,0,0,0,0,63.96,0.13,2,86,63.96,0,0,0,0,0,0,0,0
4,8012,6509,1503,6354,2975,0.46821,264,296,328,58,0,0,0,0,63.96,0.11,3,86,63.96,0,0,0,0,0,0,0,0
5,8013,6512,1501,6376,2932,0.45985,272,296,336,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
6,8041,6533,1508,6377,2777,0.43547,272,296,320,62,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
7,8025,6520,1505,6368,2810,0.44127,256,288,304,58,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
8,8045,6537,1508,6489,2856,0.44013,264,272,296,2688,1,0,1,0,63.97,0.00,0,87,63.97,0,0,0,0,0,0,1053,40
9,8037,6530,1507,6603,3325,0.50356,26,280,312,2688,1,1,0,0,63.97,0.05,1,97,63.97,0,0,0,0,0,0,5797,1906
10,8034,6529,1505,6605,3182,0.48176,256,272,296,80,1,0,0,0,63.97,0.00,0,97,63.97,0,0,0,0,0,0,9764,2251
11,8047,6536,1511,6628,2857,0.43105,264,280,304,2688,1,1,0,0,63.98,0.18,1,100,63.98,0,0,0,0,0,0,14113,3292
12,8030,6526,1504,6594,2836,0.43009,256,272,296,1568,1,0,0,0,63.97,0.04,2,100,63.97,0,0,0,0,0,0,18926,4482
13,8047,6537,1510,6599,3195,0.48416,256,272,296,112,1,0,0,0,63.97,0.08,3,100,63.97,0,0,0,0,0,0,22633,4587
14,8045,6536,1509,6587,2546,0.38652,264,280,296,2944,1,1,0,0,63.97,0.07,1,103,63.97,0,0,0,0,0,0,28300,7075
15,8045,6539,1506,6573,2842,0.43237,264,272,296,82,1,0,0,0,63.97,0.23,1,103,63.97,0,0,0,0,0,0,32567,7867
16,8049,6538,1511,6575,2519,0.38312,264,280,304,1728,1,1,0,0,63.97,0.02,1,106,63.97,0,0,0,0,0,0,36877,8812
17,8010,6508,1502,6535,2741,0.41943,264,280,288,94,1,0,0,0,63.97,0.05,1,106,63.97,0,0,0,0,0,0,41219,9738
