t,type,level,bytes
-29.916,flush_begin,0,0
-29.896,flush_end,0,6638552
-29.887,flush_begin,0,0
-29.869,flush_end,0,6638554
-29.860,flush_begin,0,0
-29.842,flush_end,0,6638553
-29.833,flush_begin,0,0
-29.815,flush_end,0,6638553
-29.807,flush_begin,0,0
-29.789,flush_end,0,6638553
-29.781,flush_begin,0,0
-29.763,flush_end,0,6638554
-29.755,flush_begin,0,0
-29.737,flush_end,0,6638552
-29.729,flush_begin,0,0
-29.710,flush_end,0,6638554
-29.702,flush_begin,0,0
-29.684,flush_end,0,6638554
-29.676,flush_begin,0,0
-29.656,flush_end,0,6638552
-29.648,flush_begin,0,0
-29.630,flush_end,0,6638553
-29.622,flush_begin,0,0
-29.603,flush_end,0,6638553
-29.595,flush_begin,0,0
-29.577,flush_end,0,6638554
-29.569,flush_begin,0,0
-29.550,flush_end,0,6638552
-29.542,flush_begin,0,0
-29.525,flush_end,0,6638554
-29.517,flush_begin,0,0
-29.498,flush_end,0,6638554
-29.479,trivial_move,3,6638552
-29.479,flush_begin,0,0
-29.462,flush_end,0,6638552
-29.443,trivial_move,3,6638554
-29.443,flush_begin,0,0
-29.424,flush_end,0,6638555
-29.406,trivial_move,3,6638553
-29.406,flush_begin,0,0
-29.387,flush_end,0,6638553
-29.368,trivial_move,3,6638553
-29.368,flush_begin,0,0
-29.350,flush_end,0,6638553
-29.331,trivial_move,3,6638553
-29.331,flush_begin,0,0
-29.313,flush_end,0,6638552
-29.294,trivial_move,3,6638554
-29.294,flush_begin,0,0
-29.276,flush_end,0,6638554
-29.258,trivial_move,3,6638552
-29.258,flush_begin,0,0
-29.240,flush_end,0,6638554
-29.222,trivial_move,3,6638554
-29.222,flush_begin,0,0
-29.204,flush_end,0,6638552
-29.187,trivial_move,3,6638554
-29.187,flush_begin,0,0
-29.168,flush_end,0,6638554
-29.150,trivial_move,3,6638552
-29.150,flush_begin,0,0
-29.133,flush_end,0,6638553
-29.114,trivial_move,3,6638553
-29.114,flush_begin,0,0
-29.096,flush_end,0,6638553
-29.078,trivial_move,3,6638553
-29.078,flush_begin,0,0
-29.061,flush_end,0,6638553
-29.041,trivial_move,3,6638554
-29.041,flush_begin,0,0
-29.023,flush_end,0,6638554
-29.005,trivial_move,3,6638552
-29.005,flush_begin,0,0
-28.987,flush_end,0,6638553
-28.968,trivial_move,3,6638554
-28.968,flush_begin,0,0
-28.950,flush_end,0,6638552
-28.932,trivial_move,3,6638554
-28.932,flush_begin,0,0
-28.912,flush_end,0,6638554
-28.894,trivial_move,3,6638552
-28.894,flush_begin,0,0
-28.875,flush_end,0,6638553
-28.860,trivial_move,3,6638555
-28.860,flush_begin,0,0
-28.840,flush_end,0,6638553
-28.822,trivial_move,3,6638553
-28.822,flush_begin,0,0
-28.803,flush_end,0,6638553
-28.784,trivial_move,3,6638553
-28.784,flush_begin,0,0
-28.766,flush_end,0,6638555
-28.747,trivial_move,3,6638552
-28.747,flush_begin,0,0
-28.729,flush_end,0,6638553
-28.710,trivial_move,3,6638554
-28.710,flush_begin,0,0
-28.692,flush_end,0,6638553
-28.674,trivial_move,3,6638554
-28.674,flush_begin,0,0
-28.656,flush_end,0,6638554
-28.637,trivial_move,3,6638552
-28.637,flush_begin,0,0
-28.620,flush_end,0,6638552
-28.601,trivial_move,3,6638554
-28.601,flush_begin,0,0
-28.582,flush_end,0,6638553
-28.564,trivial_move,3,6638553
-28.564,flush_begin,0,0
-28.546,flush_end,0,6638553
-28.528,trivial_move,3,6638553
-28.528,flush_begin,0,0
-28.510,flush_end,0,6638554
-28.492,trivial_move,3,6638553
-28.492,flush_begin,0,0
-28.475,flush_end,0,6638553
-28.455,trivial_move,3,6638554
-28.455,flush_begin,0,0
-28.437,flush_end,0,6638553
-28.419,trivial_move,3,6638553
-28.419,flush_begin,0,0
-28.401,flush_end,0,6638554
-28.379,trivial_move,3,6638552
-28.379,flush_begin,0,0
-28.361,flush_end,0,6638552
-28.343,trivial_move,3,6638554
-28.343,flush_begin,0,0
-28.325,flush_end,0,6638554
-28.306,trivial_move,3,6638553
-28.306,flush_begin,0,0
-28.288,flush_end,0,6638553
-28.269,trivial_move,3,6638553
-28.269,flush_begin,0,0
-28.250,flush_end,0,6638553
-28.230,trivial_move,3,6638553
-28.230,flush_begin,0,0
-28.211,flush_end,0,6638553
-28.192,trivial_move,3,6638555
-28.192,flush_begin,0,0
-28.173,flush_end,0,6638553
-28.153,trivial_move,3,6638553
-28.153,flush_begin,0,0
-28.134,flush_end,0,6638555
-28.114,trivial_move,3,6638553
-28.114,flush_begin,0,0
-28.095,flush_end,0,6638552
-28.076,trivial_move,3,6638554
-28.076,flush_begin,0,0
-28.057,flush_end,0,6638554
-28.037,trivial_move,3,6638552
-28.037,flush_begin,0,0
-28.018,flush_end,0,6638553
-27.994,trivial_move,3,6638553
-27.994,flush_begin,0,0
-27.974,flush_end,0,6638553
-27.956,trivial_move,3,6638553
-27.956,flush_begin,0,0
-27.936,flush_end,0,6638554
-27.918,trivial_move,3,6638554
-27.918,flush_begin,0,0
-27.898,flush_end,0,6638553
-27.880,trivial_move,3,6638553
-27.880,flush_begin,0,0
-27.862,flush_end,0,6638553
-27.843,trivial_move,3,6638553
-27.843,flush_begin,0,0
-27.824,flush_end,0,6638552
-27.805,trivial_move,3,6638554
-27.805,flush_begin,0,0
-27.785,flush_end,0,6638554
-27.766,trivial_move,3,6638552
-27.766,flush_begin,0,0
-27.747,flush_end,0,6638553
-27.729,trivial_move,3,6638554
-27.729,flush_begin,0,0
-27.709,flush_end,0,6638553
-27.690,trivial_move,3,6638553
-27.690,flush_begin,0,0
-27.670,flush_end,0,6638554
-27.651,trivial_move,3,6638553
-27.651,flush_begin,0,0
-27.630,flush_end,0,6638553
-27.611,trivial_move,3,6638553
-27.611,flush_begin,0,0
-27.591,flush_end,0,6638553
-27.572,trivial_move,3,6638553
-27.572,flush_begin,0,0
-27.551,flush_end,0,6638553
-27.532,trivial_move,3,6638555
-27.532,flush_begin,0,0
-27.512,flush_end,0,6638554
-27.492,trivial_move,3,6638552
-27.492,flush_begin,0,0
-27.473,flush_end,0,6638552
-27.457,trivial_move,3,6638554
-27.457,flush_begin,0,0
-27.451,flush_end,0,1164547
-27.442,compaction_begin,2,0
-27.418,compaction_end,2,6638145
-27.410,compaction_begin,2,0
-27.386,compaction_end,2,6638145
-27.378,compaction_begin,2,0
-27.354,compaction_end,2,6638146
-27.346,compaction_begin,2,0
-27.323,compaction_end,2,6638145
-27.315,compaction_begin,2,0
-27.291,compaction_end,2,6638145
-27.283,compaction_begin,2,0
-27.260,compaction_end,2,6638144
-27.252,compaction_begin,2,0
-27.229,compaction_end,2,6638146
-27.221,compaction_begin,2,0
-27.198,compaction_end,2,6638145
-27.189,compaction_begin,2,0
-27.167,compaction_end,2,6638145
-27.159,compaction_begin,2,0
-27.135,compaction_end,2,6638146
-27.127,compaction_begin,2,0
-27.103,compaction_end,2,6638145
-27.095,compaction_begin,2,0
-27.071,compaction_end,2,6638145
-27.063,compaction_begin,2,0
-27.038,compaction_end,2,6638145
-27.029,compaction_begin,2,0
-27.006,compaction_end,2,6638146
-26.998,compaction_begin,2,0
-26.972,compaction_end,2,6638144
-26.964,compaction_begin,2,0
-26.957,compaction_end,2,1164547
10.696,flush_begin,0,0
11.249,flush_end,0,6627332
11.322,compaction_begin,1,0
11.420,compaction_end,1,6560311
11.477,compaction_begin,2,0
13.899,compaction_end,2,46468050
13.907,compaction_begin,2,0
17.181,compaction_end,2,46468049
17.210,compaction_begin,2,0
20.770,compaction_end,2,46468049
20.779,compaction_begin,2,0
23.872,compaction_end,2,44118862
23.905,compaction_begin,2,0
27.292,compaction_end,2,46468049
27.311,compaction_begin,2,0
30.543,compaction_end,2,44118861
30.552,compaction_begin,2,0
33.965,compaction_end,2,46468050
33.996,compaction_begin,2,0
37.404,compaction_end,2,46468047
37.412,compaction_begin,2,0
40.593,compaction_end,2,44118863
40.614,compaction_begin,2,0
43.779,compaction_end,2,46468049
44.353,compaction_begin,2,0
44.765,compaction_end,2,4818766
48.338,flush_begin,0,0
48.889,flush_end,0,6628328
48.960,compaction_begin,1,0
49.079,compaction_end,1,6557243
49.147,compaction_begin,2,0
51.789,compaction_end,2,42179010
51.812,compaction_begin,2,0
54.449,compaction_end,2,42179010
54.471,compaction_begin,2,0
57.368,compaction_end,2,42179010
57.388,compaction_begin,2,0
60.013,compaction_end,2,42179011
60.032,compaction_begin,2,0
62.742,compaction_end,2,42179011
62.750,compaction_begin,2,0
65.666,compaction_end,2,42179010
65.680,compaction_begin,2,0
68.392,compaction_end,2,42179009
68.417,compaction_begin,2,0
71.574,compaction_end,2,44118749
71.596,compaction_begin,2,0
74.334,compaction_end,2,42179012
74.348,compaction_begin,2,0
77.113,compaction_end,2,42179009
77.154,compaction_begin,2,0
80.560,compaction_end,2,42890503
85.984,flush_begin,0,0
86.540,flush_end,0,6629763
86.613,compaction_begin,1,0
86.848,compaction_end,1,7865078
86.929,compaction_begin,2,0
89.744,compaction_end,2,42179011
89.765,compaction_begin,2,0
93.007,compaction_end,2,42890391
93.015,compaction_begin,2,0
96.066,compaction_end,2,42179011
96.091,compaction_begin,2,0
98.888,compaction_end,2,42179011
98.908,compaction_begin,2,0
102.162,compaction_end,2,42179010
102.174,compaction_begin,2,0
105.075,compaction_end,2,42179009
