t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8051,6541,1510,6418,3008,0.46868,312,352,360,64,0,0,0,0,63.96,0.00,0,86,63.96,16378,0,0,0,0,0,0,0
2,8092,6576,1516,6426,3469,0.53984,20,352,368,66,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
3,8066,6552,1514,6343,3792,0.59782,16,352,360,63,0,0,0,0,63.96,0.04,1,86,63.96,0,0,0,0,0,0,0,0
4,8014,6513,1501,6332,3687,0.58228,17,352,360,66,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
5,8018,6513,1505,6326,3798,0.60038,18,352,368,66,0,0,0,0,63.96,0.05,1,86,63.96,0,0,0,0,0,0,0,0
6,8035,6528,1507,6366,3463,0.54398,20,352,368,68,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
7,8019,6516,1503,6354,3507,0.55194,19,352,368,70,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,0,0
8,8012,6510,1502,6364,3413,0.53630,20,352,360,2016,0,0,1,0,63.96,6.21,2,87,63.96,0,0,0,0,1569,0,0,0
9,8041,6533,1508,6634,3291,0.49608,264,336,360,2944,1,1,0,0,63.96,0.05,5,97,63.96,5817,1569,49,0,1569,49,4946,2772
10,8063,6553,1510,6628,3326,0.50181,240,344,352,1280,1,0,0,0,63.96,0.20,5,97,63.96,0,1569,49,0,1569,49,10217,5719
11,8063,6549,1514,6642,2543,0.38287,312,344,368,1376,1,1,0,0,63.97,0.00,1,100,63.97,696,1569,49,0,1569,49,14389,7157
12,8009,6507,1502,6545,2256,0.34469,328,344,368,944,1,0,0,0,63.97,0.00,0,100,63.97,0,1569,49,0,1569,49,17198,7157
13,8005,6510,1495,6553,2838,0.43308,320,344,360,53,1,0,0,0,63.97,0.11,3,100,63.97,0,1569,49,0,1569,49,21077,8272
14,8004,6497,1507,6542,2800,0.42800,320,344,360,1152,1,1,0,0,49.76,0.28,6,103,49.76,1237,1569,49,0,1569,49,24395,9006
15,8075,6561,1514,6601,2471,0.37434,320,344,360,104,1,0,0,0,63.91,0.00,0,103,63.91,0,1569,49,0,1569,49,27587,9441
16,8020,6519,1501,6539,2526,0.38630,320,344,352,61,1,0,0,0,63.97,0.00,0,103,63.97,0,1569,49,0,1569,49,31282,10311
17,8049,6537,1512,6579,2902,0.44110,328,352,368,72,1,0,0,0,63.97,0.00,0,103,63.97,0,1569,49,0,1569,49,34021,10311
18,8072,6559,1513,6573,2693,0.40971,320,352,368,1632,1,1,0,0,63.97,0.00,1,106,63.97,1388,1569,49,0,1569,49,37123,10632
19,8013,6512,1501,6559,2570,0.39183,312,344,352,252,1,0,0,0,63.97,0.03,1,106,63.97,0,1569,49,0,1569,49,40945,11561
20,8085,6569,1516,6592,2518,0.38198,328,352,368,61,1,0,0,0,63.97,0.07,1,106,63.97,0,1569,49,0,1569,49,44407,12303
21,8006,6504,1502,6506,2697,0.41454,320,344,360,1888,1,1,0,0,56.88,0.18,2,103,56.89,1669,1569,49,0,1569,49,47662,12891
22,8034,6528,1506,6512,2840,0.43612,320,344,360,208,1,0,0,0,63.96,0.12,2,103,63.96,0,1569,49,0,1569,49,51183,13776
23,8021,6517,1504,6482,2763,0.42626,320,352,368,66,1,0,0,0,63.96,0.04,2,103,63.96,0,1569,49,0,1569,49,54074,13821
24,8008,6506,1502,6508,2329,0.35787,320,336,352,2432,1,1,0,0,58.49,0.04,4,106,58.50,929,1569,49,0,1569,49,57144,14087
25,8071,6559,1512,6538,2191,0.33512,328,352,360,70,1,0,0,0,63.96,0.11,2,106,63.96,0,1569,49,0,1569,49,60249,14439
26,8030,6524,1506,6490,2278,0.35100,336,352,368,68,1,0,0,0,63.96,0.02,1,106,63.96,0,1569,49,0,1569,49,63071,14500
27,8064,6552,1512,6482,2404,0.37087,320,344,352,76,1,0,0,0,63.96,0.09,1,106,63.96,0,1569,49,0,1569,49,67198,15789
28,8047,6537,1510,6463,2735,0.42318,320,344,360,1856,1,1,0,0,63.96,0.05,2,103,63.96,1147,1569,49,0,1569,49,70608,16528
29,8014,6513,1501,6443,3229,0.50116,27,344,352,172,1,0,0,0,63.96,0.03,1,103,63.96,0,1569,49,0,1569,49,74376,17564
30,8039,6530,1509,6457,3139,0.48614,256,352,368,88,1,0,0,0,63.97,0.19,2,103,63.96,0,1569,49,0,1569,49,77265,17677
31,8075,6562,1513,6480,3057,0.47176,304,344,360,560,1,1,0,0,56.45,0.10,4,106,56.46,1154,1569,49,0,1569,49,80009,17677
32,8012,6509,1503,6398,2830,0.44233,320,344,360,100,1,0,0,0,63.96,0.00,0,106,63.96,0,1569,49,0,1569,49,83308,18293
33,8017,6513,1504,6374,3231,0.50690,23,352,368,86,1,0,0,0,63.96,0.11,1,106,63.96,0,1569,49,0,1569,49,86265,18507
34,8090,6576,1514,6429,3450,0.53663,19,352,360,78,1,0,0,0,63.96,0.00,0,106,63.96,0,1569,49,0,1569,49,90083,19547
