t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8017,6514,1503,6404,2945,0.45987,256,272,288,51,0,0,0,0,63.96,0.00,0,86,63.96
2,8036,6529,1507,6395,3380,0.52854,10,272,288,26,0,0,0,0,63.96,0.00,0,86,63.96
3,8016,6517,1499,6323,3778,0.59750,7,272,288,27,0,0,0,0,63.96,0.02,1,86,63.96
4,8015,6508,1507,6301,3593,0.57023,7,264,280,21,0,0,0,0,63.95,0.00,0,86,63.95
5,8014,6515,1499,6327,3739,0.59096,8,272,288,27,0,0,0,0,63.96,0.03,1,86,63.96
6,8011,6506,1505,6351,3522,0.55456,8,272,288,24,0,0,0,0,63.96,0.00,0,86,63.96
7,8022,6517,1505,6344,3536,0.55738,7,272,280,27,0,0,0,0,63.95,0.00,0,86,63.95
8,8023,6519,1504,6367,3490,0.54814,8,272,288,76,0,0,1,0,63.96,6.19,2,87,63.96
9,8024,6521,1503,9215,5155,0.55941,240,272,288,2368,1,1,0,0,63.96,0.15,7,97,63.96
10,8024,6522,1502,8680,3762,0.43341,256,272,304,49,1,0,0,0,63.96,0.16,5,97,63.96
11,8031,6521,1510,9058,3760,0.41510,256,272,288,32,1,0,0,0,63.96,0.00,1,97,63.96
12,8014,6513,1501,9391,4652,0.49537,256,272,288,33,1,0,0,0,63.97,0.05,2,97,63.97
13,8018,6514,1504,8652,3679,0.42522,256,272,288,27,1,0,0,0,63.98,0.14,4,97,63.98
14,8004,6502,1502,8485,3296,0.38845,256,272,288,2112,1,1,0,0,56.04,0.01,1,100,56.05
15,8034,6530,1504,8657,2780,0.32113,256,272,288,26,1,0,0,0,63.97,0.00,0,100,63.97
16,8004,6504,1500,8624,3009,0.34891,256,272,288,31,1,0,0,0,63.97,0.00,0,100,63.97
17,8015,6509,1506,8658,3426,0.39570,256,272,288,28,1,0,0,0,63.98,0.00,0,100,63.98
18,8017,6514,1503,8620,3010,0.34919,256,272,288,30,1,0,0,0,63.97,0.00,0,100,63.97
19,8025,6520,1505,8455,2981,0.35257,256,272,288,30,1,0,0,0,63.97,0.21,2,100,63.97
20,8022,6518,1504,8610,3247,0.37712,256,272,288,488,1,1,0,0,63.97,0.00,1,103,63.97
21,8005,6506,1499,8567,2720,0.31750,256,272,288,29,1,0,0,0,63.97,0.00,0,103,63.97
22,8021,6515,1506,8601,3582,0.41646,256,272,288,31,1,0,0,0,63.97,0.13,3,103,63.97
23,8044,6538,1506,8624,2776,0.32189,256,272,288,36,1,0,0,0,63.97,0.04,1,103,63.97
24,8023,6518,1505,8576,2477,0.28883,256,272,280,35,1,0,0,0,63.96,0.20,2,103,63.96
25,8018,6513,1505,8427,2213,0.26261,256,272,288,132,1,1,0,0,59.79,0.06,3,106,59.80
26,8021,6520,1501,8569,2912,0.33983,256,272,288,22,1,0,0,0,63.97,0.25,3,106,63.97
27,8020,6514,1506,8544,2534,0.29658,256,272,288,32,1,0,0,0,63.97,0.03,1,106,63.97
28,8021,6516,1505,8413,2712,0.32236,256,272,288,36,1,0,0,0,63.97,0.07,3,106,63.97
29,8023,6521,1502,8171,3136,0.38380,244,272,288,30,1,0,0,0,63.97,0.00,0,106,63.97
30,8040,6542,1498,8740,3793,0.43398,15,272,280,31,1,0,0,0,63.97,0.00,0,106,63.97
31,8036,6518,1518,8542,3374,0.39499,228,272,288,704,1,1,0,0,63.97,0.10,1,109,63.97
32,8020,6521,1499,8583,3675,0.42817,228,272,280,29,1,0,0,0,63.96,0.00,0,109,63.96
33,8021,6513,1508,8474,3907,0.46106,9,272,288,41,1,0,0,0,63.96,0.08,2,109,63.96
34,8039,6532,1507,8323,3438,0.41307,8,272,288,28,1,0,0,0,63.96,0.00,1,109,63.96
35,8008,6505,1503,8121,3369,0.41485,12,272,288,39,1,0,0,0,63.96,0.00,1,109,63.96
36,8018,6515,1503,8264,3361,0.40670,10,272,288,608,1,1,0,0,60.98,0.05,2,112,60.99
37,8019,6520,1499,8779,4210,0.47955,8,272,288,33,1,0,0,0,63.96,0.13,3,112,63.96
38,8009,6503,1506,8087,3610,0.44640,7,272,288,34,1,0,0,0,63.97,0.07,3,112,63.97
39,8019,6516,1503,8099,3101,0.38289,220,272,288,35,1,0,0,0,63.97,0.00,0,112,63.97
