t,type,level,bytes
-29.875,flush_begin,0,0
-29.859,flush_end,0,6638552
-29.850,flush_begin,0,0
-29.834,flush_end,0,6638554
-29.826,flush_begin,0,0
-29.809,flush_end,0,6638553
-29.801,flush_begin,0,0
-29.785,flush_end,0,6638553
-29.776,flush_begin,0,0
-29.760,flush_end,0,6638553
-29.751,flush_begin,0,0
-29.735,flush_end,0,6638554
-29.727,flush_begin,0,0
-29.710,flush_end,0,6638552
-29.702,flush_begin,0,0
-29.686,flush_end,0,6638554
-29.677,flush_begin,0,0
-29.660,flush_end,0,6638554
-29.652,flush_begin,0,0
-29.634,flush_end,0,6638552
-29.625,flush_begin,0,0
-29.608,flush_end,0,6638553
-29.599,flush_begin,0,0
-29.582,flush_end,0,6638553
-29.574,flush_begin,0,0
-29.556,flush_end,0,6638554
-29.547,flush_begin,0,0
-29.531,flush_end,0,6638552
-29.523,flush_begin,0,0
-29.505,flush_end,0,6638554
-29.497,flush_begin,0,0
-29.480,flush_end,0,6638554
-29.463,trivial_move,3,6638552
-29.463,flush_begin,0,0
-29.445,flush_end,0,6638552
-29.428,trivial_move,3,6638554
-29.428,flush_begin,0,0
-29.411,flush_end,0,6638555
-29.393,trivial_move,3,6638553
-29.393,flush_begin,0,0
-29.375,flush_end,0,6638553
-29.357,trivial_move,3,6638553
-29.357,flush_begin,0,0
-29.339,flush_end,0,6638553
-29.321,trivial_move,3,6638553
-29.321,flush_begin,0,0
-29.304,flush_end,0,6638552
-29.288,trivial_move,3,6638554
-29.288,flush_begin,0,0
-29.270,flush_end,0,6638554
-29.254,trivial_move,3,6638552
-29.254,flush_begin,0,0
-29.237,flush_end,0,6638554
-29.221,trivial_move,3,6638554
-29.221,flush_begin,0,0
-29.203,flush_end,0,6638552
-29.187,trivial_move,3,6638554
-29.187,flush_begin,0,0
-29.169,flush_end,0,6638554
-29.148,trivial_move,3,6638552
-29.148,flush_begin,0,0
-29.131,flush_end,0,6638553
-29.113,trivial_move,3,6638553
-29.113,flush_begin,0,0
-29.096,flush_end,0,6638553
-29.081,trivial_move,3,6638553
-29.081,flush_begin,0,0
-29.063,flush_end,0,6638553
-29.046,trivial_move,3,6638554
-29.046,flush_begin,0,0
-29.029,flush_end,0,6638554
-29.011,trivial_move,3,6638552
-29.011,flush_begin,0,0
-28.993,flush_end,0,6638553
-28.975,trivial_move,3,6638554
-28.975,flush_begin,0,0
-28.958,flush_end,0,6638552
-28.940,trivial_move,3,6638554
-28.940,flush_begin,0,0
-28.923,flush_end,0,6638554
-28.905,trivial_move,3,6638552
-28.905,flush_begin,0,0
-28.888,flush_end,0,6638553
-28.869,trivial_move,3,6638555
-28.869,flush_begin,0,0
-28.851,flush_end,0,6638553
-28.833,trivial_move,3,6638553
-28.833,flush_begin,0,0
-28.815,flush_end,0,6638553
-28.797,trivial_move,3,6638553
-28.797,flush_begin,0,0
-28.779,flush_end,0,6638555
-28.771,flush_begin,0,0
-28.753,flush_end,0,6638553
-28.735,trivial_move,3,6638552
-28.735,flush_begin,0,0
-28.718,flush_end,0,6638553
-28.702,trivial_move,3,6638554
-28.692,trivial_move,3,6638554
-28.692,flush_begin,0,0
-28.674,flush_end,0,6638554
-28.656,trivial_move,3,6638552
