t,type,level,bytes
-29.947,flush_begin,0,0
-29.930,flush_end,0,6638552
-29.922,flush_begin,0,0
-29.904,flush_end,0,6638554
-29.896,flush_begin,0,0
-29.879,flush_end,0,6638553
-29.871,flush_begin,0,0
-29.853,flush_end,0,6638553
-29.845,flush_begin,0,0
-29.828,flush_end,0,6638553
-29.820,flush_begin,0,0
-29.802,flush_end,0,6638554
-29.794,flush_begin,0,0
-29.777,flush_end,0,6638552
-29.769,flush_begin,0,0
-29.751,flush_end,0,6638554
-29.743,flush_begin,0,0
-29.726,flush_end,0,6638554
-29.718,flush_begin,0,0
-29.700,flush_end,0,6638552
-29.692,flush_begin,0,0
-29.675,flush_end,0,6638553
-29.667,flush_begin,0,0
-29.650,flush_end,0,6638553
-29.642,flush_begin,0,0
-29.625,flush_end,0,6638554
-29.617,flush_begin,0,0
-29.600,flush_end,0,6638552
-29.592,flush_begin,0,0
-29.575,flush_end,0,6638554
-29.568,flush_begin,0,0
-29.551,flush_end,0,6638554
-29.533,trivial_move,3,6638552
-29.533,flush_begin,0,0
-29.515,flush_end,0,6638552
-29.497,trivial_move,3,6638554
-29.497,flush_begin,0,0
-29.480,flush_end,0,6638555
-29.462,trivial_move,3,6638553
-29.462,flush_begin,0,0
-29.445,flush_end,0,6638553
-29.425,trivial_move,3,6638553
-29.425,flush_begin,0,0
-29.407,flush_end,0,6638553
-29.388,trivial_move,3,6638553
-29.388,flush_begin,0,0
-29.371,flush_end,0,6638552
-29.351,trivial_move,3,6638554
-29.351,flush_begin,0,0
-29.333,flush_end,0,6638554
-29.315,trivial_move,3,6638552
-29.315,flush_begin,0,0
-29.298,flush_end,0,6638554
-29.278,trivial_move,3,6638554
-29.278,flush_begin,0,0
-29.260,flush_end,0,6638552
-29.241,trivial_move,3,6638554
-29.241,flush_begin,0,0
-29.223,flush_end,0,6638554
-29.204,trivial_move,3,6638552
-29.204,flush_begin,0,0
-29.187,flush_end,0,6638553
-29.163,trivial_move,3,6638553
-29.163,flush_begin,0,0
-29.145,flush_end,0,6638553
-29.128,trivial_move,3,6638553
-29.128,flush_begin,0,0
-29.110,flush_end,0,6638553
-29.093,trivial_move,3,6638554
-29.093,flush_begin,0,0
-29.074,flush_end,0,6638554
-29.058,trivial_move,3,6638552
-29.058,flush_begin,0,0
-29.039,flush_end,0,6638553
-29.022,trivial_move,3,6638554
-29.022,flush_begin,0,0
-29.003,flush_end,0,6638552
-28.984,trivial_move,3,6638554
-28.984,flush_begin,0,0
-28.966,flush_end,0,6638554
-28.947,trivial_move,3,6638552
-28.947,flush_begin,0,0
-28.929,flush_end,0,6638553
-28.911,trivial_move,3,6638555
-28.911,flush_begin,0,0
-28.893,flush_end,0,6638553
-28.874,trivial_move,3,6638553
-28.874,flush_begin,0,0
-28.856,flush_end,0,6638553
-28.838,trivial_move,3,6638553
-28.838,flush_begin,0,0
-28.820,flush_end,0,6638555
-28.800,trivial_move,3,6638552
-28.800,flush_begin,0,0
-28.782,flush_end,0,6638553
-28.763,trivial_move,3,6638554
-28.763,flush_begin,0,0
-28.744,flush_end,0,6638553
-28.726,trivial_move,3,6638554
-28.726,flush_begin,0,0
-28.708,flush_end,0,6638554
-28.690,trivial_move,3,6638552
-28.690,flush_begin,0,0
-28.671,flush_end,0,6638552
-28.653,trivial_move,3,6638554
-28.653,flush_begin,0,0
-28.635,flush_end,0,6638553
-28.616,trivial_move,3,6638553
-28.616,flush_begin,0,0
-28.598,flush_end,0,6638553
-28.580,trivial_move,3,6638553
-28.580,flush_begin,0,0
-28.562,flush_end,0,6638554
-28.543,trivial_move,3,6638553
-28.543,flush_begin,0,0
-28.525,flush_end,0,6638553
-28.508,trivial_move,3,6638554
-28.508,flush_begin,0,0
-28.488,flush_end,0,6638553
-28.470,trivial_move,3,6638553
-28.470,flush_begin,0,0
-28.452,flush_end,0,6638554
-28.434,trivial_move,3,6638552
-28.434,flush_begin,0,0
-28.416,flush_end,0,6638552
-28.397,trivial_move,3,6638554
-28.397,flush_begin,0,0
-28.379,flush_end,0,6638554
-28.360,trivial_move,3,6638553
-28.360,flush_begin,0,0
-28.341,flush_end,0,6638553
-28.323,trivial_move,3,6638553
-28.323,flush_begin,0,0
-28.306,flush_end,0,6638553
-28.286,trivial_move,3,6638553
-28.286,flush_begin,0,0
-28.268,flush_end,0,6638553
-28.249,trivial_move,3,6638555
-28.249,flush_begin,0,0
-28.232,flush_end,0,6638553
-28.213,trivial_move,3,6638553
-28.213,flush_begin,0,0
-28.195,flush_end,0,6638555
-28.178,trivial_move,3,6638553
-28.178,flush_begin,0,0
-28.159,flush_end,0,6638552
-28.144,trivial_move,3,6638554
-28.144,flush_begin,0,0
-28.126,flush_end,0,6638554
-28.107,trivial_move,3,6638552
-28.107,flush_begin,0,0
-28.088,flush_end,0,6638553
-28.071,trivial_move,3,6638553
-28.071,flush_begin,0,0
-28.053,flush_end,0,6638553
-28.035,trivial_move,3,6638553
-28.035,flush_begin,0,0
-28.018,flush_end,0,6638554
-28.002,trivial_move,3,6638554
-28.002,flush_begin,0,0
-27.984,flush_end,0,6638553
-27.965,trivial_move,3,6638553
-27.965,flush_begin,0,0
-27.945,flush_end,0,6638553
-27.929,trivial_move,3,6638553
-27.929,flush_begin,0,0
-27.912,flush_end,0,6638552
-27.893,trivial_move,3,6638554
-27.893,flush_begin,0,0
-27.876,flush_end,0,6638554
-27.860,trivial_move,3,6638552
-27.859,flush_begin,0,0
-27.842,flush_end,0,6638553
-27.824,trivial_move,3,6638554
-27.824,flush_begin,0,0
-27.806,flush_end,0,6638553
-27.789,trivial_move,3,6638553
-27.789,flush_begin,0,0
-27.771,flush_end,0,6638554
-27.753,trivial_move,3,6638553
-27.753,flush_begin,0,0
-27.736,flush_end,0,6638553
-27.718,trivial_move,3,6638553
-27.718,flush_begin,0,0
-27.699,flush_end,0,6638553
-27.682,trivial_move,3,6638553
-27.682,flush_begin,0,0
-27.663,flush_end,0,6638553
-27.648,trivial_move,3,6638555
-27.648,flush_begin,0,0
-27.629,flush_end,0,6638554
-27.611,trivial_move,3,6638552
-27.611,flush_begin,0,0
-27.594,flush_end,0,6638552
-27.579,trivial_move,3,6638554
