t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8051,6542,1509,6313,5564,0.88136,5,312,320,27,0,0,0,0,63.96,5.04,9,86,63.96
2,8060,6550,1510,6340,5561,0.87713,5,312,320,24,0,0,0,0,63.96,5.29,10,86,63.96
3,8034,6525,1509,6352,5505,0.86666,5,312,320,22,0,0,0,0,63.96,5.88,12,86,63.96
4,8042,6534,1508,6367,5564,0.87388,5,312,320,24,0,0,0,0,63.96,6.58,12,86,63.96
5,8041,6536,1505,6356,5666,0.89144,5,312,320,29,0,0,0,0,63.96,5.44,10,86,63.96
6,8041,6532,1509,6331,5693,0.89923,5,312,320,25,0,0,0,0,63.96,7.49,15,86,63.96
7,8037,6529,1508,6332,5514,0.87081,5,312,328,25,0,0,0,0,63.96,6.26,12,86,63.96
8,8003,6503,1500,7693,5515,0.71689,5,312,328,2688,1,0,1,0,63.97,4.51,9,87,63.97
9,8043,6534,1509,9974,6428,0.64448,5,312,320,1088,1,1,0,0,63.97,5.08,12,97,63.97
10,8047,6539,1508,9950,6313,0.63447,5,312,320,64,1,0,0,0,63.96,4.02,10,97,63.96
11,8047,6538,1509,10430,6678,0.64027,5,312,328,41,1,0,0,0,63.96,5.06,12,97,63.96
12,8024,6521,1503,10185,6077,0.59666,5,312,328,2560,1,1,0,0,63.96,2.90,7,94,63.96
13,8039,6530,1509,9980,6089,0.61012,5,312,328,46,1,0,0,0,63.96,1.94,5,94,63.96
14,8079,6565,1514,10452,6601,0.63155,5,312,328,88,1,0,0,0,63.96,2.58,7,94,63.96
15,8040,6532,1508,9897,5793,0.58533,5,312,328,2432,1,1,0,0,63.96,1.38,3,97,63.96
16,8040,6532,1508,9934,5809,0.58476,5,312,328,42,1,0,0,0,63.97,0.40,1,97,63.97
17,8027,6524,1503,10083,6172,0.61212,5,312,328,42,1,0,0,0,63.97,3.15,6,97,63.97
18,8040,6531,1509,9822,5732,0.58359,5,312,328,2368,1,1,0,0,63.97,2.77,6,100,63.97
19,8055,6544,1511,10367,6359,0.61339,5,312,328,98,1,0,0,0,63.97,1.96,5,100,63.97
20,8016,6517,1499,10263,6371,0.62077,5,312,320,41,1,0,0,0,63.97,1.16,5,100,63.97
21,8047,6535,1512,9994,5847,0.58505,4,312,328,2368,1,1,0,0,63.97,0.47,3,96,63.97
22,8066,6553,1513,9701,5927,0.61097,5,312,320,48,1,0,0,0,63.97,4.35,8,96,63.97
23,8018,6515,1503,10119,6238,0.61646,5,312,328,80,1,0,0,0,63.97,6.68,14,96,63.97
24,8064,6554,1510,9882,5724,0.57923,5,320,328,2016,1,1,0,0,63.97,5.66,15,99,63.97
25,8039,6529,1510,9861,5928,0.60116,5,312,328,42,1,0,0,0,63.97,5.24,15,99,63.97
26,8038,6534,1504,9875,6111,0.61884,4,312,320,68,1,0,0,0,63.97,6.12,13,99,63.97
27,8039,6530,1509,10048,5764,0.57365,5,312,328,1856,1,1,0,0,63.97,3.58,12,102,63.97
28,8041,6532,1509,9961,6056,0.60797,5,312,328,912,1,0,0,0,63.97,3.13,10,102,63.97
29,8061,6552,1509,9983,6141,0.61515,4,312,320,49,1,0,0,0,63.97,6.25,14,102,63.97
30,8033,6525,1508,9834,5803,0.59010,5,312,328,2560,1,1,0,0,63.97,5.08,16,105,63.97
31,8041,6534,1507,10111,6190,0.61220,4,312,328,58,1,0,0,0,63.97,5.60,20,105,63.97
32,8044,6535,1509,9618,5529,0.57486,4,312,328,45,1,0,0,0,63.97,6.12,21,105,63.97
33,8041,6533,1508,10244,6321,0.61704,5,312,328,2240,1,1,0,0,63.97,5.46,16,108,63.97
34,8028,6523,1505,10237,6260,0.61151,4,312,328,50,1,0,0,0,63.97,4.07,17,108,63.97
35,8048,6539,1509,9844,5740,0.58310,5,312,328,82,1,0,0,0,63.97,3.93,20,108,63.97
36,8018,6514,1504,9124,5749,0.63010,4,312,328,1536,0,1,0,0,63.97,2.33,15,111,63.97
37,8050,6541,1509,9706,5814,0.59901,4,312,328,66,1,0,0,0,63.96,2.75,11,111,63.96
38,8062,6550,1512,9954,6154,0.61824,4,312,320,42,1,0,0,0,63.96,5.84,21,111,63.96
39,8037,6531,1506,9529,5633,0.59114,4,312,328,40,1,0,0,0,63.96,4.59,18,111,63.96
40,8056,6545,1511,6698,5234,0.78143,4,312,320,192,0,1,0,0,63.96,2.88,16,113,63.96
41,8035,6528,1507,6209,5595,0.90111,4,312,320,27,0,0,0,0,63.96,7.99,19,113,63.96
42,8043,6535,1508,6243,5582,0.89412,5,312,320,25,0,0,0,0,63.96,7.47,17,113,63.96
43,8043,6535,1508,6249,5505,0.88094,5,312,328,26,0,0,0,0,63.96,6.42,19,113,63.96
44,8062,6551,1511,6267,5774,0.92133,5,312,320,24,0,0,0,0,63.96,10.06,24,113,63.96
45,8041,6533,1508,6242,5695,0.91237,5,312,320,72,0,0,1,0,63.96,9.27,25,114,63.96
46,8030,6525,1505,9353,5795,0.61959,5,312,328,2816,1,1,0,0,63.96,8.76,23,123,63.96
47,8038,6531,1507,10000,6128,0.61280,5,312,328,132,1,0,0,0,63.96,13.34,27,123,63.96
48,8043,6534,1509,10202,6100,0.59792,4,312,328,37,1,0,0,0,63.96,12.08,24,123,63.96
49,8062,6551,1511,9960,6011,0.60351,5,312,320,1536,1,1,0,0,63.96,12.21,25,122,63.96
