t,type,level,bytes
-29.958,flush_begin,0,0
-29.942,flush_end,0,6638552
-29.934,flush_begin,0,0
-29.918,flush_end,0,6638554
-29.910,flush_begin,0,0
-29.894,flush_end,0,6638553
-29.886,flush_begin,0,0
-29.869,flush_end,0,6638553
-29.861,flush_begin,0,0
-29.844,flush_end,0,6638553
-29.835,flush_begin,0,0
-29.819,flush_end,0,6638554
-29.811,flush_begin,0,0
-29.793,flush_end,0,6638552
-29.786,flush_begin,0,0
-29.770,flush_end,0,6638554
-29.762,flush_begin,0,0
-29.746,flush_end,0,6638554
-29.739,flush_begin,0,0
-29.722,flush_end,0,6638552
-29.715,flush_begin,0,0
-29.698,flush_end,0,6638553
-29.690,flush_begin,0,0
-29.671,flush_end,0,6638553
-29.664,flush_begin,0,0
-29.647,flush_end,0,6638554
-29.640,flush_begin,0,0
-29.623,flush_end,0,6638552
-29.615,flush_begin,0,0
-29.599,flush_end,0,6638554
-29.592,flush_begin,0,0
-29.574,flush_end,0,6638554
-29.558,trivial_move,3,6638552
-29.558,flush_begin,0,0
-29.541,flush_end,0,6638552
-29.525,trivial_move,3,6638554
-29.525,flush_begin,0,0
-29.507,flush_end,0,6638555
-29.489,trivial_move,3,6638553
-29.489,flush_begin,0,0
-29.472,flush_end,0,6638553
-29.456,trivial_move,3,6638553
-29.456,flush_begin,0,0
-29.438,flush_end,0,6638553
-29.420,trivial_move,3,6638553
-29.420,flush_begin,0,0
-29.403,flush_end,0,6638552
-29.384,trivial_move,3,6638554
-29.384,flush_begin,0,0
-29.366,flush_end,0,6638554
-29.348,trivial_move,3,6638552
-29.348,flush_begin,0,0
-29.331,flush_end,0,6638554
-29.312,trivial_move,3,6638554
-29.312,flush_begin,0,0
-29.294,flush_end,0,6638552
-29.276,trivial_move,3,6638554
-29.276,flush_begin,0,0
-29.257,flush_end,0,6638554
-29.241,trivial_move,3,6638552
-29.241,flush_begin,0,0
-29.223,flush_end,0,6638553
-29.204,trivial_move,3,6638553
-29.204,flush_begin,0,0
-29.184,flush_end,0,6638553
-29.166,trivial_move,3,6638553
-29.166,flush_begin,0,0
-29.147,flush_end,0,6638553
-29.128,trivial_move,3,6638554
-29.128,flush_begin,0,0
-29.109,flush_end,0,6638554
-29.090,trivial_move,3,6638552
-29.090,flush_begin,0,0
-29.071,flush_end,0,6638553
-29.052,trivial_move,3,6638554
-29.052,flush_begin,0,0
-29.034,flush_end,0,6638552
-29.007,trivial_move,3,6638554
-29.007,flush_begin,0,0
-28.990,flush_end,0,6638554
-28.972,trivial_move,3,6638552
-28.972,flush_begin,0,0
-28.954,flush_end,0,6638553
-28.936,trivial_move,3,6638555
-28.936,flush_begin,0,0
-28.918,flush_end,0,6638553
-28.900,trivial_move,3,6638553
-28.900,flush_begin,0,0
-28.882,flush_end,0,6638553
-28.865,trivial_move,3,6638553
-28.865,flush_begin,0,0
-28.847,flush_end,0,6638555
-28.829,trivial_move,3,6638552
-28.829,flush_begin,0,0
-28.811,flush_end,0,6638553
-28.794,trivial_move,3,6638554
-28.794,flush_begin,0,0
-28.775,flush_end,0,6638553
-28.757,trivial_move,3,6638554
-28.757,flush_begin,0,0
-28.738,flush_end,0,6638554
-28.722,trivial_move,3,6638552
-28.722,flush_begin,0,0
-28.703,flush_end,0,6638552
-28.686,trivial_move,3,6638554
-28.686,flush_begin,0,0
-28.668,flush_end,0,6638553
-28.649,trivial_move,3,6638553
-28.649,flush_begin,0,0
-28.631,flush_end,0,6638553
-28.613,trivial_move,3,6638553
-28.613,flush_begin,0,0
-28.595,flush_end,0,6638554
-28.577,trivial_move,3,6638553
-28.577,flush_begin,0,0
-28.558,flush_end,0,6638553
-28.543,trivial_move,3,6638554
-28.543,flush_begin,0,0
-28.525,flush_end,0,6638553
-28.507,trivial_move,3,6638553
-28.507,flush_begin,0,0
-28.489,flush_end,0,6638554
-28.471,trivial_move,3,6638552
-28.471,flush_begin,0,0
-28.453,flush_end,0,6638552
-28.435,trivial_move,3,6638554
-28.435,flush_begin,0,0
-28.418,flush_end,0,6638554
-28.400,trivial_move,3,6638553
-28.400,flush_begin,0,0
-28.381,flush_end,0,6638553
-28.364,trivial_move,3,6638553
-28.364,flush_begin,0,0
-28.346,flush_end,0,6638553
-28.328,trivial_move,3,6638553
-28.328,flush_begin,0,0
-28.310,flush_end,0,6638553
-28.290,trivial_move,3,6638555
-28.290,flush_begin,0,0
-28.272,flush_end,0,6638553
-28.254,trivial_move,3,6638553
-28.254,flush_begin,0,0
-28.235,flush_end,0,6638555
-28.220,trivial_move,3,6638553
-28.220,flush_begin,0,0
-28.202,flush_end,0,6638552
-28.183,trivial_move,3,6638554
-28.183,flush_begin,0,0
-28.165,flush_end,0,6638554
-28.146,trivial_move,3,6638552
-28.146,flush_begin,0,0
-28.127,flush_end,0,6638553
-28.109,trivial_move,3,6638553
-28.109,flush_begin,0,0
-28.091,flush_end,0,6638553
-28.073,trivial_move,3,6638553
-28.073,flush_begin,0,0
-28.054,flush_end,0,6638554
-28.037,trivial_move,3,6638554
-28.037,flush_begin,0,0
-28.019,flush_end,0,6638553
-28.000,trivial_move,3,6638553
-28.000,flush_begin,0,0
-27.981,flush_end,0,6638553
-27.966,trivial_move,3,6638553
-27.966,flush_begin,0,0
-27.949,flush_end,0,6638552
-27.930,trivial_move,3,6638554
-27.930,flush_begin,0,0
-27.912,flush_end,0,6638554
-27.895,trivial_move,3,6638552
-27.895,flush_begin,0,0
-27.877,flush_end,0,6638553
-27.861,trivial_move,3,6638554
-27.861,flush_begin,0,0
-27.844,flush_end,0,6638553
-27.826,trivial_move,3,6638553
-27.826,flush_begin,0,0
-27.807,flush_end,0,6638554
-27.789,trivial_move,3,6638553
-27.789,flush_begin,0,0
-27.771,flush_end,0,6638553
-27.754,trivial_move,3,6638553
-27.754,flush_begin,0,0
-27.736,flush_end,0,6638553
-27.718,trivial_move,3,6638553
-27.718,flush_begin,0,0
-27.701,flush_end,0,6638553
-27.681,trivial_move,3,6638555
-27.681,flush_begin,0,0
-27.662,flush_end,0,6638554
-27.645,trivial_move,3,6638552
-27.645,flush_begin,0,0
-27.628,flush_end,0,6638552
-27.612,trivial_move,3,6638554
-27.612,flush_begin,0,0
-27.605,flush_end,0,1164547
-27.596,compaction_begin,2,0
-27.153,compaction_end,2,6638145
-27.145,compaction_begin,2,0
-26.680,compaction_end,2,6638145
-26.672,compaction_begin,2,0
-26.232,compaction_end,2,6638146
-26.223,compaction_begin,2,0
-25.777,compaction_end,2,6638145
-25.769,compaction_begin,2,0
-25.329,compaction_end,2,6638145
-25.321,compaction_begin,2,0
-24.886,compaction_end,2,6638144
-24.878,compaction_begin,2,0
-24.434,compaction_end,2,6638146
-24.426,compaction_begin,2,0
-23.979,compaction_end,2,6638145
-23.971,compaction_begin,2,0
-23.531,compaction_end,2,6638145
-23.523,compaction_begin,2,0
-23.081,compaction_end,2,6638146
-23.073,compaction_begin,2,0
-22.637,compaction_end,2,6638145
-22.628,compaction_begin,2,0
-22.188,compaction_end,2,6638145
-22.180,compaction_begin,2,0
-21.744,compaction_end,2,6638145
-21.735,compaction_begin,2,0
-21.294,compaction_end,2,6638146
-21.286,compaction_begin,2,0
-20.837,compaction_end,2,6638144
-20.829,compaction_begin,2,0
-20.747,compaction_end,2,1164547
16.905,flush_begin,0,0
16.929,flush_end,0,6609716
17.001,compaction_begin,1,0
17.458,compaction_end,1,6464470
17.524,compaction_begin,2,0
19.981,compaction_end,2,44118863
19.990,compaction_begin,2,0
22.432,compaction_end,2,44118862
22.441,compaction_begin,2,0
24.512,compaction_end,2,35540555
24.521,compaction_begin,2,0
27.178,compaction_end,2,46468050
27.187,compaction_begin,2,0
29.849,compaction_end,2,46468049
29.857,compaction_begin,2,0
32.603,compaction_end,2,46468050
32.610,compaction_begin,2,0
35.105,compaction_end,2,46468049
35.115,compaction_begin,2,0
37.843,compaction_end,2,46468049
37.852,compaction_begin,2,0
40.612,compaction_end,2,46468049
40.621,compaction_begin,2,0
43.405,compaction_end,2,46468047
51.283,compaction_begin,2,0
51.993,compaction_end,2,11470034
54.548,flush_begin,0,0
54.566,flush_end,0,6609387
54.638,compaction_begin,1,0
55.097,compaction_end,1,6459296
55.176,compaction_begin,2,0
57.679,compaction_end,2,44118749
57.688,compaction_begin,2,0
59.980,compaction_end,2,39829708
59.989,compaction_begin,2,0
62.456,compaction_end,2,42179009
62.465,compaction_begin,2,0
64.852,compaction_end,2,42179009
64.862,compaction_begin,2,0
67.258,compaction_end,2,42179012
67.267,compaction_begin,2,0
69.711,compaction_end,2,42179010
69.720,compaction_begin,2,0
72.032,compaction_end,2,42179009
72.042,compaction_begin,2,0
74.398,compaction_end,2,42179010
74.407,compaction_begin,2,0
76.589,compaction_end,2,37889971
76.598,compaction_begin,2,0
79.114,compaction_end,2,42179011
79.120,compaction_begin,2,0
81.662,compaction_end,2,42890503
92.190,flush_begin,0,0
92.213,flush_end,0,6610601
92.286,compaction_begin,1,0
92.830,compaction_end,1,7796293
92.914,compaction_begin,2,0
95.056,compaction_end,2,38601349
95.065,compaction_begin,2,0
97.419,compaction_end,2,42179011
97.428,compaction_begin,2,0
99.919,compaction_end,2,42179010
99.929,compaction_begin,2,0
102.272,compaction_end,2,42179012
102.281,compaction_begin,2,0
104.693,compaction_end,2,42179009
104.702,compaction_begin,2,0
107.099,compaction_end,2,39829708
107.108,compaction_begin,2,0
109.556,compaction_end,2,42179010
109.565,compaction_begin,2,0
112.130,compaction_end,2,43407537
112.140,compaction_begin,2,0
114.644,compaction_end,2,42890390
114.653,compaction_begin,2,0
117.027,compaction_end,2,42179011
117.037,compaction_begin,2,0
119.482,compaction_end,2,42890503
129.834,flush_begin,0,0
129.857,flush_end,0,6609122
129.928,compaction_begin,1,0
130.547,compaction_end,1,9072445
130.643,compaction_begin,2,0
132.973,compaction_end,2,42890503
132.982,compaction_begin,2,0
135.253,compaction_end,2,42890391
135.262,compaction_begin,2,0
137.564,compaction_end,2,42179010
137.577,compaction_begin,2,0
140.202,compaction_end,2,43407537
140.213,compaction_begin,2,0
142.723,compaction_end,2,42179010
142.732,compaction_begin,2,0
145.201,compaction_end,2,42179009
145.209,compaction_begin,2,0
147.680,compaction_end,2,42179011
147.690,compaction_begin,2,0
149.911,compaction_end,2,42179011
149.921,compaction_begin,2,0
152.127,compaction_end,2,38601353
152.136,compaction_begin,2,0
154.539,compaction_end,2,42179011
154.554,compaction_begin,2,0
156.679,compaction_end,2,38076527
167.477,flush_begin,0,0
167.503,flush_end,0,6610814
167.576,compaction_begin,1,0
168.038,compaction_end,1,6471423
168.110,compaction_begin,2,0
170.483,compaction_end,2,42179010
170.491,compaction_begin,2,0
172.835,compaction_end,2,42179012
172.846,compaction_begin,2,0
175.252,compaction_end,2,42890503
175.260,compaction_begin,2,0
177.807,compaction_end,2,42179011
177.817,compaction_begin,2,0
180.280,compaction_end,2,42890388
180.289,compaction_begin,2,0
182.746,compaction_end,2,42179011
182.755,compaction_begin,2,0
185.072,compaction_end,2,42179011
185.081,compaction_begin,2,0
187.608,compaction_end,2,42179009
187.617,compaction_begin,2,0
