t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb
1,8023,6516,1507,6291,5620,0.89334,4,264,272,20,0,0,0,0,63.96,6.97,16,86,63.96
2,8025,6520,1505,6276,5517,0.87906,4,264,272,21,0,0,0,0,63.96,8.48,19,86,63.96
3,8005,6505,1500,6251,5450,0.87186,4,264,272,22,0,0,0,0,63.96,6.75,15,86,63.96
4,8016,6513,1503,6257,5669,0.90603,5,264,272,21,0,0,0,0,63.96,7.45,16,86,63.96
5,8006,6504,1502,6228,5621,0.90254,4,264,272,21,0,0,0,0,63.96,6.34,15,86,63.96
6,8027,6522,1505,6239,5750,0.92162,5,264,272,22,0,0,0,0,63.96,7.82,16,86,63.96
7,8023,6519,1504,6221,5766,0.92686,4,264,264,23,0,0,0,0,63.97,7.89,15,86,63.97
8,8009,6508,1501,7596,5712,0.75197,4,264,272,2624,1,0,1,0,63.97,7.63,15,87,63.97
9,8022,6517,1505,10635,6591,0.61975,4,264,264,1920,1,1,0,0,63.97,6.14,13,97,63.97
10,8013,6511,1502,10943,6632,0.60605,4,264,264,272,1,0,0,0,63.97,5.88,13,97,63.97
11,8025,6521,1504,10551,6164,0.58421,4,264,272,2496,1,1,0,0,63.96,7.31,14,100,63.96
12,8032,6526,1506,10857,6609,0.60873,4,264,272,160,1,0,0,0,63.96,7.04,15,100,63.96
13,8013,6510,1503,10454,6047,0.57844,4,264,272,80,1,0,0,0,63.96,5.73,14,100,63.96
14,8021,6516,1505,10679,6097,0.57093,4,264,272,2432,1,1,0,0,63.96,3.71,11,97,63.96
15,8031,6526,1505,10621,6220,0.58563,4,264,272,328,1,0,0,0,63.96,2.16,8,97,63.96
16,8009,6511,1498,10780,6432,0.59666,4,264,272,3264,1,1,0,0,63.96,1.72,8,94,63.96
17,8011,6505,1506,10984,6729,0.61262,4,264,272,236,1,0,0,0,63.96,1.39,5,94,63.96
18,8017,6513,1504,10407,5908,0.56769,4,264,272,2560,1,1,0,0,63.96,0.68,3,97,63.96
19,8023,6523,1500,11033,6184,0.56050,4,264,272,1984,1,0,0,0,63.96,0.31,4,97,63.96
20,8010,6506,1504,10377,5979,0.57618,4,264,272,336,1,0,0,0,63.96,1.41,8,97,63.96
21,8016,6511,1505,10440,5865,0.56178,4,264,272,1600,1,1,0,0,63.97,2.56,9,100,63.97
22,8005,6505,1500,10612,6104,0.57520,4,264,272,63,1,0,0,0,63.97,3.44,10,100,63.97
23,8019,6516,1503,10270,5852,0.56981,4,264,272,72,1,0,0,0,63.97,3.49,11,100,63.97
