t,type,level,bytes
-29.873,flush_begin,0,0
-29.445,flush_end,0,6638552
-29.436,flush_begin,0,0
-29.007,flush_end,0,6638554
-28.998,flush_begin,0,0
-28.570,flush_end,0,6638553
-28.561,flush_begin,0,0
-28.132,flush_end,0,6638553
-28.123,flush_begin,0,0
-27.692,flush_end,0,6638553
-27.682,flush_begin,0,0
-27.249,flush_end,0,6638554
-27.239,flush_begin,0,0
-26.805,flush_end,0,6638552
-26.796,flush_begin,0,0
-26.364,flush_end,0,6638554
-26.355,flush_begin,0,0
-25.924,flush_end,0,6638554
-25.915,flush_begin,0,0
-25.485,flush_end,0,6638552
-25.475,flush_begin,0,0
-25.041,flush_end,0,6638553
-25.032,flush_begin,0,0
-24.600,flush_end,0,6638553
-24.591,flush_begin,0,0
-24.154,flush_end,0,6638554
-24.143,flush_begin,0,0
-23.711,flush_end,0,6638552
-23.702,flush_begin,0,0
-23.265,flush_end,0,6638554
-23.256,flush_begin,0,0
-22.822,flush_end,0,6638554
-22.802,trivial_move,3,6638552
-22.802,flush_begin,0,0
-22.366,flush_end,0,6638552
-22.347,trivial_move,3,6638554
-22.347,flush_begin,0,0
-21.912,flush_end,0,6638555
-21.894,trivial_move,3,6638553
-21.894,flush_begin,0,0
-21.459,flush_end,0,6638553
-21.439,trivial_move,3,6638553
-21.439,flush_begin,0,0
-21.007,flush_end,0,6638553
-20.986,trivial_move,3,6638553
-20.986,flush_begin,0,0
-20.553,flush_end,0,6638552
-20.535,trivial_move,3,6638554
-20.535,flush_begin,0,0
-20.099,flush_end,0,6638554
-20.078,trivial_move,3,6638552
-20.078,flush_begin,0,0
-19.645,flush_end,0,6638554
-19.623,trivial_move,3,6638554
-19.623,flush_begin,0,0
-19.188,flush_end,0,6638552
-19.169,trivial_move,3,6638554
-19.169,flush_begin,0,0
-18.739,flush_end,0,6638554
-18.720,trivial_move,3,6638552
-18.720,flush_begin,0,0
-18.289,flush_end,0,6638553
-18.269,trivial_move,3,6638553
-18.269,flush_begin,0,0
-17.839,flush_end,0,6638553
-17.819,trivial_move,3,6638553
-17.819,flush_begin,0,0
-17.385,flush_end,0,6638553
-17.365,trivial_move,3,6638554
-17.365,flush_begin,0,0
-16.932,flush_end,0,6638554
-16.912,trivial_move,3,6638552
-16.912,flush_begin,0,0
-16.481,flush_end,0,6638553
-16.463,trivial_move,3,6638554
-16.463,flush_begin,0,0
-16.033,flush_end,0,6638552
-16.013,trivial_move,3,6638554
-16.013,flush_begin,0,0
-15.582,flush_end,0,6638554
-15.562,trivial_move,3,6638552
-15.562,flush_begin,0,0
-15.126,flush_end,0,6638553
-15.107,trivial_move,3,6638555
-15.107,flush_begin,0,0
-14.675,flush_end,0,6638553
-14.653,trivial_move,3,6638553
-14.653,flush_begin,0,0
-14.223,flush_end,0,6638553
-14.204,trivial_move,3,6638553
-14.204,flush_begin,0,0
-13.773,flush_end,0,6638555
-13.751,trivial_move,3,6638552
-13.751,flush_begin,0,0
-13.316,flush_end,0,6638553
-13.296,trivial_move,3,6638554
-13.296,flush_begin,0,0
-12.861,flush_end,0,6638553
-12.840,trivial_move,3,6638554
-12.840,flush_begin,0,0
-12.405,flush_end,0,6638554
-12.388,trivial_move,3,6638552
-12.388,flush_begin,0,0
-11.961,flush_end,0,6638552
-11.942,trivial_move,3,6638554
-11.942,flush_begin,0,0
-11.514,flush_end,0,6638553
-11.496,trivial_move,3,6638553
-11.496,flush_begin,0,0
-11.067,flush_end,0,6638553
-11.047,trivial_move,3,6638553
-11.047,flush_begin,0,0
-10.616,flush_end,0,6638554
-10.596,trivial_move,3,6638553
-10.596,flush_begin,0,0
-10.162,flush_end,0,6638553
-10.144,trivial_move,3,6638554
-10.144,flush_begin,0,0
-9.714,flush_end,0,6638553
-9.696,trivial_move,3,6638553
-9.696,flush_begin,0,0
-9.261,flush_end,0,6638554
-9.242,trivial_move,3,6638552
-9.242,flush_begin,0,0
-8.806,flush_end,0,6638552
-8.788,trivial_move,3,6638554
-8.788,flush_begin,0,0
-8.358,flush_end,0,6638554
-8.341,trivial_move,3,6638553
-8.341,flush_begin,0,0
-7.912,flush_end,0,6638553
-7.893,trivial_move,3,6638553
-7.893,flush_begin,0,0
-7.466,flush_end,0,6638553
-7.448,trivial_move,3,6638553
-7.448,flush_begin,0,0
-7.019,flush_end,0,6638553
-6.999,trivial_move,3,6638555
-6.999,flush_begin,0,0
-6.571,flush_end,0,6638553
-6.548,trivial_move,3,6638553
-6.548,flush_begin,0,0
-6.120,flush_end,0,6638555
-6.102,trivial_move,3,6638553
-6.102,flush_begin,0,0
-5.673,flush_end,0,6638552
-5.654,trivial_move,3,6638554
-5.654,flush_begin,0,0
-5.218,flush_end,0,6638554
-5.199,trivial_move,3,6638552
-5.199,flush_begin,0,0
-4.770,flush_end,0,6638553
-4.752,trivial_move,3,6638553
-4.752,flush_begin,0,0
-4.322,flush_end,0,6638553
-4.303,trivial_move,3,6638553
-4.303,flush_begin,0,0
-3.872,flush_end,0,6638554
-3.853,trivial_move,3,6638554
-3.853,flush_begin,0,0
-3.423,flush_end,0,6638553
-3.403,trivial_move,3,6638553
-3.403,flush_begin,0,0
-2.975,flush_end,0,6638553
-2.958,trivial_move,3,6638553
-2.958,flush_begin,0,0
-2.529,flush_end,0,6638552
-2.511,trivial_move,3,6638554
-2.511,flush_begin,0,0
-2.080,flush_end,0,6638554
-2.063,trivial_move,3,6638552
-2.063,flush_begin,0,0
-1.634,flush_end,0,6638553
-1.616,trivial_move,3,6638554
-1.616,flush_begin,0,0
-1.185,flush_end,0,6638553
-1.167,trivial_move,3,6638553
-1.167,flush_begin,0,0
-0.738,flush_end,0,6638554
-0.720,trivial_move,3,6638553
-0.720,flush_begin,0,0
-0.290,flush_end,0,6638553
-0.273,trivial_move,3,6638553
-0.273,flush_begin,0,0
0.156,flush_end,0,6638553
0.175,trivial_move,3,6638553
0.175,flush_begin,0,0
0.603,flush_end,0,6638553
0.622,trivial_move,3,6638555
0.622,flush_begin,0,0
1.049,flush_end,0,6638554
1.070,trivial_move,3,6638552
1.070,flush_begin,0,0
1.498,flush_end,0,6638552
1.515,trivial_move,3,6638554
1.515,flush_begin,0,0
1.594,flush_end,0,1164547
1.603,compaction_begin,2,0
2.474,compaction_end,2,6638145
2.482,compaction_begin,2,0
3.347,compaction_end,2,6638145
3.355,compaction_begin,2,0
4.228,compaction_end,2,6638146
4.237,compaction_begin,2,0
5.101,compaction_end,2,6638145
5.109,compaction_begin,2,0
5.888,compaction_end,2,6638145
5.897,compaction_begin,2,0
6.372,compaction_end,2,6638144
6.381,compaction_begin,2,0
6.844,compaction_end,2,6638146
6.853,compaction_begin,2,0
7.315,compaction_end,2,6638145
7.324,compaction_begin,2,0
7.783,compaction_end,2,6638145
7.792,compaction_begin,2,0
8.242,compaction_end,2,6638146
8.251,compaction_begin,2,0
8.708,compaction_end,2,6638145
8.717,compaction_begin,2,0
9.174,compaction_end,2,6638145
9.183,compaction_begin,2,0
9.634,compaction_end,2,6638145
9.643,compaction_begin,2,0
10.098,compaction_end,2,6638146
10.107,compaction_begin,2,0
10.558,compaction_end,2,6638144
10.567,compaction_begin,2,0
10.649,compaction_end,2,1164547
48.304,flush_begin,0,0
48.738,flush_end,0,6610899
48.808,compaction_begin,1,0
49.281,compaction_end,1,6474389
49.369,compaction_begin,2,0
54.583,compaction_end,2,44118861
54.593,compaction_begin,2,0
59.699,compaction_end,2,44118862
59.711,compaction_begin,2,0
65.239,compaction_end,2,46468050
65.249,compaction_begin,2,0
70.758,compaction_end,2,46468049
70.769,compaction_begin,2,0
75.643,compaction_end,2,42178896
75.653,compaction_begin,2,0
81.032,compaction_end,2,46468049
81.043,compaction_begin,2,0
86.175,flush_begin,0,0
86.602,flush_end,0,6610283
86.986,compaction_end,2,46468050
86.996,compaction_begin,1,0
87.828,compaction_end,1,9583346
87.933,compaction_begin,2,0
93.249,compaction_end,2,42890506
93.260,compaction_begin,2,0
98.556,compaction_end,2,44528185
98.568,compaction_begin,2,0
104.210,compaction_end,2,47287025
104.221,compaction_begin,2,0
109.823,compaction_end,2,46468047
109.835,compaction_begin,2,0
114.898,compaction_end,2,44118747
114.910,compaction_begin,2,0
119.645,compaction_end,2,42179011
119.657,compaction_begin,2,0
123.788,flush_begin,0,0
124.219,flush_end,0,6610628
125.695,compaction_end,2,46468049
125.708,compaction_begin,1,0
126.728,compaction_end,1,10956995
126.796,compaction_begin,2,0
131.915,compaction_end,2,42179011
131.926,compaction_begin,2,0
137.182,compaction_end,2,44118748
137.193,compaction_begin,2,0
142.256,compaction_end,2,42890390
142.268,compaction_begin,2,0
146.685,compaction_end,2,37538913
146.696,compaction_begin,2,0
151.681,compaction_end,2,42179010
151.693,compaction_begin,2,0
156.991,compaction_end,2,45756619
157.003,compaction_begin,2,0
161.230,flush_begin,0,0
161.662,flush_end,0,6610527
162.446,compaction_end,2,43816924
162.458,compaction_begin,1,0
163.205,compaction_end,1,8897430
163.276,compaction_begin,2,0
168.256,compaction_end,2,42890390
168.267,compaction_begin,2,0
173.560,compaction_end,2,42890389
173.571,compaction_begin,2,0
178.607,compaction_end,2,42890390
178.618,compaction_begin,2,0
183.734,compaction_end,2,42890389
183.746,compaction_begin,2,0
188.730,compaction_end,2,42890390
188.740,compaction_begin,2,0
193.946,compaction_end,2,42890503
193.957,compaction_begin,2,0
198.919,compaction_end,2,42179011
198.930,flush_begin,0,0
199.358,flush_end,0,6610833
199.429,compaction_begin,1,0
200.371,compaction_end,1,10460300
200.449,compaction_begin,2,0
205.530,compaction_end,2,42890390
205.540,compaction_begin,2,0
210.551,compaction_end,2,42890390
210.561,compaction_begin,2,0
215.534,compaction_end,2,42890503
215.544,compaction_begin,2,0
220.453,compaction_end,2,42890389
220.464,compaction_begin,2,0
