t,type,level,bytes
-29.925,flush_begin,0,0
-29.904,flush_end,0,6638552
-29.896,flush_begin,0,0
-29.875,flush_end,0,6638554
-29.867,flush_begin,0,0
-29.848,flush_end,0,6638553
-29.839,flush_begin,0,0
-29.819,flush_end,0,6638553
-29.810,flush_begin,0,0
-29.790,flush_end,0,6638553
-29.781,flush_begin,0,0
-29.761,flush_end,0,6638554
-29.752,flush_begin,0,0
-29.732,flush_end,0,6638552
-29.723,flush_begin,0,0
-29.703,flush_end,0,6638554
-29.694,flush_begin,0,0
-29.674,flush_end,0,6638554
-29.666,flush_begin,0,0
-29.651,flush_end,0,6638552
-29.641,flush_begin,0,0
-29.625,flush_end,0,6638553
-29.616,flush_begin,0,0
-29.599,flush_end,0,6638553
-29.589,flush_begin,0,0
-29.574,flush_end,0,6638554
-29.564,flush_begin,0,0
-29.548,flush_end,0,6638552
-29.538,flush_begin,0,0
-29.522,flush_end,0,6638554
-29.512,flush_begin,0,0
-29.494,flush_end,0,6638554
-29.476,trivial_move,3,6638552
-29.476,flush_begin,0,0
-29.456,flush_end,0,6638552
-29.438,trivial_move,3,6638554
-29.438,flush_begin,0,0
-29.418,flush_end,0,6638555
-29.400,trivial_move,3,6638553
-29.400,flush_begin,0,0
-29.379,flush_end,0,6638553
-29.361,trivial_move,3,6638553
-29.361,flush_begin,0,0
-29.341,flush_end,0,6638553
-29.323,trivial_move,3,6638553
-29.323,flush_begin,0,0
-29.302,flush_end,0,6638552
-29.284,trivial_move,3,6638554
-29.284,flush_begin,0,0
-29.265,flush_end,0,6638554
-29.246,trivial_move,3,6638552
-29.246,flush_begin,0,0
-29.226,flush_end,0,6638554
-29.208,trivial_move,3,6638554
-29.208,flush_begin,0,0
-29.188,flush_end,0,6638552
-29.170,trivial_move,3,6638554
-29.170,flush_begin,0,0
-29.150,flush_end,0,6638554
-29.132,trivial_move,3,6638552
-29.132,flush_begin,0,0
-29.114,flush_end,0,6638553
-29.097,trivial_move,3,6638553
-29.097,flush_begin,0,0
-29.081,flush_end,0,6638553
-29.065,trivial_move,3,6638553
-29.065,flush_begin,0,0
-29.047,flush_end,0,6638553
-29.034,trivial_move,3,6638554
-29.033,flush_begin,0,0
-29.016,flush_end,0,6638554
-29.001,trivial_move,3,6638552
-29.000,flush_begin,0,0
-28.984,flush_end,0,6638553
-28.968,trivial_move,3,6638554
-28.966,flush_begin,0,0
-28.948,flush_end,0,6638552
-28.933,trivial_move,3,6638554
-28.931,flush_begin,0,0
-28.911,flush_end,0,6638554
-28.893,trivial_move,3,6638552
-28.893,flush_begin,0,0
-28.871,flush_end,0,6638553
-28.853,trivial_move,3,6638555
-28.853,flush_begin,0,0
-28.833,flush_end,0,6638553
-28.815,trivial_move,3,6638553
-28.815,flush_begin,0,0
-28.794,flush_end,0,6638553
-28.776,trivial_move,3,6638553
-28.776,flush_begin,0,0
-28.758,flush_end,0,6638555
-28.741,trivial_move,3,6638552
-28.741,flush_begin,0,0
-28.724,flush_end,0,6638553
-28.709,trivial_move,3,6638554
-28.708,flush_begin,0,0
-28.690,flush_end,0,6638553
-28.670,trivial_move,3,6638554
-28.670,flush_begin,0,0
-28.653,flush_end,0,6638554
-28.637,trivial_move,3,6638552
-28.637,flush_begin,0,0
-28.620,flush_end,0,6638552
-28.604,trivial_move,3,6638554
-28.603,flush_begin,0,0
-28.587,flush_end,0,6638553
-28.571,trivial_move,3,6638553
-28.570,flush_begin,0,0
-28.549,flush_end,0,6638553
-28.533,trivial_move,3,6638553
-28.533,flush_begin,0,0
-28.512,flush_end,0,6638554
-28.494,trivial_move,3,6638553
-28.494,flush_begin,0,0
-28.474,flush_end,0,6638553
-28.456,trivial_move,3,6638554
-28.456,flush_begin,0,0
-28.436,flush_end,0,6638553
-28.417,trivial_move,3,6638553
-28.417,flush_begin,0,0
-28.401,flush_end,0,6638554
-28.383,trivial_move,3,6638552
-28.383,flush_begin,0,0
-28.367,flush_end,0,6638552
-28.351,trivial_move,3,6638554
-28.350,flush_begin,0,0
-28.334,flush_end,0,6638554
-28.319,trivial_move,3,6638553
-28.318,flush_begin,0,0
-28.302,flush_end,0,6638553
-28.286,trivial_move,3,6638553
-28.285,flush_begin,0,0
-28.269,flush_end,0,6638553
-28.253,trivial_move,3,6638553
-28.252,flush_begin,0,0
-28.235,flush_end,0,6638553
-28.220,trivial_move,3,6638555
-28.219,flush_begin,0,0
-28.203,flush_end,0,6638553
-28.188,trivial_move,3,6638553
-28.186,flush_begin,0,0
-28.165,flush_end,0,6638555
-28.149,trivial_move,3,6638553
-28.149,flush_begin,0,0
-28.128,flush_end,0,6638552
-28.111,trivial_move,3,6638554
-28.111,flush_begin,0,0
-28.091,flush_end,0,6638554
-28.073,trivial_move,3,6638552
-28.073,flush_begin,0,0
-28.052,flush_end,0,6638553
-28.034,trivial_move,3,6638553
-28.034,flush_begin,0,0
-28.018,flush_end,0,6638553
-28.001,trivial_move,3,6638553
-28.000,flush_begin,0,0
