t,type,level,bytes
-29.915,flush_begin,0,0
-29.895,flush_end,0,6638552
-29.887,flush_begin,0,0
-29.868,flush_end,0,6638554
-29.859,flush_begin,0,0
-29.839,flush_end,0,6638553
-29.831,flush_begin,0,0
-29.811,flush_end,0,6638553
-29.803,flush_begin,0,0
-29.783,flush_end,0,6638553
-29.775,flush_begin,0,0
-29.755,flush_end,0,6638554
-29.747,flush_begin,0,0
-29.727,flush_end,0,6638552
-29.719,flush_begin,0,0
-29.699,flush_end,0,6638554
-29.691,flush_begin,0,0
-29.672,flush_end,0,6638554
-29.664,flush_begin,0,0
-29.644,flush_end,0,6638552
-29.635,flush_begin,0,0
-29.619,flush_end,0,6638553
-29.610,flush_begin,0,0
-29.593,flush_end,0,6638553
-29.583,flush_begin,0,0
-29.568,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.543,flush_end,0,6638552
-29.533,flush_begin,0,0
-29.518,flush_end,0,6638554
-29.509,flush_begin,0,0
-29.488,flush_end,0,6638554
-29.469,trivial_move,3,6638552
-29.469,flush_begin,0,0
-29.449,flush_end,0,6638552
-29.432,trivial_move,3,6638554
-29.431,flush_begin,0,0
-29.411,flush_end,0,6638555
-29.392,trivial_move,3,6638553
-29.392,flush_begin,0,0
-29.372,flush_end,0,6638553
-29.351,trivial_move,3,6638553
-29.351,flush_begin,0,0
-29.330,flush_end,0,6638553
-29.311,trivial_move,3,6638553
-29.311,flush_begin,0,0
-29.291,flush_end,0,6638552
-29.272,trivial_move,3,6638554
-29.272,flush_begin,0,0
-29.252,flush_end,0,6638554
-29.233,trivial_move,3,6638552
-29.233,flush_begin,0,0
-29.213,flush_end,0,6638554
-29.196,trivial_move,3,6638554
-29.196,flush_begin,0,0
-29.176,flush_end,0,6638552
-29.155,trivial_move,3,6638554
-29.155,flush_begin,0,0
-29.135,flush_end,0,6638554
-29.117,trivial_move,3,6638552
-29.117,flush_begin,0,0
-29.102,flush_end,0,6638553
-29.083,trivial_move,3,6638553
-29.083,flush_begin,0,0
-29.067,flush_end,0,6638553
-29.051,trivial_move,3,6638553
-29.051,flush_begin,0,0
-29.036,flush_end,0,6638553
-29.020,trivial_move,3,6638554
-29.020,flush_begin,0,0
-29.002,flush_end,0,6638554
-28.994,flush_begin,0,0
-28.975,flush_end,0,6638553
-28.956,trivial_move,3,6638552
-28.956,flush_begin,0,0
-28.936,flush_end,0,6638552
-28.918,trivial_move,3,6638554
-28.918,flush_begin,0,0
-28.899,flush_end,0,6638554
-28.881,trivial_move,3,6638554
-28.881,flush_begin,0,0
-28.862,flush_end,0,6638553
-28.844,trivial_move,3,6638552
-28.844,flush_begin,0,0
-28.823,flush_end,0,6638553
-28.805,trivial_move,3,6638555
-28.805,flush_begin,0,0
-28.783,flush_end,0,6638553
-28.761,trivial_move,3,6638553
-28.761,flush_begin,0,0
-28.740,flush_end,0,6638555
-28.724,trivial_move,3,6638553
-28.724,flush_begin,0,0
-28.704,flush_end,0,6638553
-28.685,trivial_move,3,6638552
-28.685,flush_begin,0,0
-28.666,flush_end,0,6638553
-28.648,trivial_move,3,6638554
-28.648,flush_begin,0,0
-28.631,flush_end,0,6638554
-28.612,trivial_move,3,6638554
-28.612,flush_begin,0,0
-28.596,flush_end,0,6638552
-28.580,trivial_move,3,6638552
-28.580,flush_begin,0,0
-28.564,flush_end,0,6638553
-28.548,trivial_move,3,6638554
-28.540,trivial_move,3,6638553
-28.540,flush_begin,0,0
-28.523,flush_end,0,6638553
-28.507,trivial_move,3,6638553
-28.507,flush_begin,0,0
-28.485,flush_end,0,6638554
-28.468,trivial_move,3,6638553
-28.468,flush_begin,0,0
-28.447,flush_end,0,6638553
-28.429,trivial_move,3,6638554
-28.428,flush_begin,0,0
-28.408,flush_end,0,6638553
-28.390,trivial_move,3,6638553
-28.390,flush_begin,0,0
-28.370,flush_end,0,6638554
-28.351,trivial_move,3,6638552
-28.351,flush_begin,0,0
-28.332,flush_end,0,6638552
-28.314,trivial_move,3,6638554
-28.314,flush_begin,0,0
-28.294,flush_end,0,6638554
-28.275,trivial_move,3,6638553
-28.275,flush_begin,0,0
-28.256,flush_end,0,6638553
-28.239,trivial_move,3,6638553
-28.239,flush_begin,0,0
-28.218,flush_end,0,6638553
-28.200,trivial_move,3,6638553
-28.200,flush_begin,0,0
-28.180,flush_end,0,6638553
-28.163,trivial_move,3,6638555
-28.163,flush_begin,0,0
