t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,7993,6489,1504,6346,5176,0.81563,14,296,304,61,0,0,0,0,127.98,2.29,4,65,127.98,0,0,0,0,0,0,0,0
2,7990,6491,1499,6330,5111,0.80742,10,288,296,54,0,0,0,0,127.97,3.26,4,65,127.97,0,0,0,0,0,0,0,0
3,8001,6501,1500,6366,5147,0.80851,14,296,304,62,0,0,0,0,127.98,2.14,3,65,127.98,0,0,0,0,0,0,0,0
4,8029,6524,1505,6364,5333,0.83799,14,296,304,63,0,0,0,0,127.97,1.36,3,65,127.97,0,0,0,0,0,0,0,0
5,7977,6480,1497,6317,5362,0.84882,14,296,304,60,0,0,0,0,127.97,1.02,4,65,127.97,0,0,0,0,0,0,0,0
6,7995,6499,1496,6333,5337,0.84273,13,288,296,55,0,0,0,0,127.97,3.39,4,65,127.97,0,0,0,0,0,0,0,0
7,8030,6522,1508,6347,5301,0.83520,14,296,304,70,0,0,0,0,127.97,4.44,3,65,127.97,0,0,0,0,0,0,0,0
8,8010,6509,1501,6408,5294,0.82615,12,288,296,528,1,0,1,0,127.97,5.94,6,66,127.97,0,0,0,0,0,0,936,50
9,8001,6501,1500,6607,5319,0.80506,9,272,280,1248,1,1,0,0,127.98,5.76,5,68,127.98,0,0,0,0,0,0,6112,2107
10,8000,6498,1502,6582,5454,0.82862,7,272,280,25,1,0,0,0,127.97,6.88,7,68,127.97,0,0,0,0,0,0,12530,4906
11,7961,6470,1491,6529,5507,0.84347,8,272,280,27,1,0,0,0,127.98,8.31,8,68,127.98,0,0,0,0,0,0,17557,6315
12,8039,6530,1509,6584,5660,0.85966,10,272,280,38,1,0,0,0,127.98,6.61,8,68,127.98,0,0,0,0,0,0,21914,7185
13,7988,6492,1496,6544,5748,0.87836,9,272,280,44,1,0,0,0,127.98,5.22,8,68,127.98,0,0,0,0,0,0,26507,8311
14,8000,6508,1492,6530,5864,0.89801,11,272,288,40,1,0,0,0,127.98,4.18,6,68,127.98,0,0,0,0,0,0,30104,8375
15,7971,6467,1504,6483,5942,0.91655,11,272,288,40,1,0,0,0,127.98,3.42,6,68,127.98,0,0,0,0,0,0,33598,8375
16,8007,6506,1501,6498,5972,0.91905,11,272,288,41,1,0,0,0,127.98,7.45,9,68,127.98,0,0,0,0,0,0,38081,9471
17,7993,6495,1498,6486,5753,0.88699,10,272,280,2304,1,1,0,0,127.98,6.48,16,52,127.98,0,0,0,0,0,0,43521,11672
18,8029,6523,1506,6496,3484,0.53633,16,280,288,33,1,0,0,0,127.98,5.26,7,52,127.98,0,0,0,0,0,0,47088,11672
19,8013,6510,1503,6464,4232,0.65470,13,280,296,49,1,0,0,0,127.98,4.37,9,52,127.98,0,0,0,0,0,0,50589,11672
20,7995,6499,1496,6432,4699,0.73057,9,272,288,30,1,0,0,0,127.97,3.77,10,52,127.97,0,0,0,0,0,0,54439,11832
21,7968,6472,1496,6407,5151,0.80396,10,272,280,34,1,0,0,0,127.98,2.01,10,52,127.98,0,0,0,0,0,0,57994,11832
22,8035,6528,1507,6436,5314,0.82567,11,280,288,37,1,0,0,0,127.98,1.80,6,52,127.98,0,0,0,0,0,0,61519,11832
23,7969,6480,1489,6408,5440,0.84894,11,280,288,39,1,0,0,0,127.98,2.56,7,52,127.98,0,0,0,0,0,0,66385,13351
24,8024,6515,1509,6439,4751,0.73785,11,272,280,120,1,1,0,0,127.98,2.68,8,46,127.98,0,0,0,0,0,0,71501,15112
25,7968,6473,1495,6336,4839,0.76373,10,272,280,33,1,0,0,0,127.98,3.27,10,46,127.98,0,0,0,0,0,0,75115,15112
26,8006,6510,1496,6390,5062,0.79218,12,280,288,46,1,0,0,0,127.98,3.64,12,46,127.98,0,0,0,0,0,0,78563,15113
27,8023,6514,1509,6383,5188,0.81278,12,280,288,45,1,0,0,0,127.98,7.59,14,46,127.98,0,0,0,0,0,0,82835,16044
28,8009,6507,1502,6389,5282,0.82673,8,272,280,32,1,0,0,0,127.98,30.32,23,46,127.98,0,0,0,0,0,0,87993,17586
29,7971,6476,1495,6314,5362,0.84922,7,272,280,35,1,0,0,0,127.98,26.83,22,46,127.98,0,0,0,0,0,0,94890,20966
30,8031,6527,1504,6368,5542,0.87029,10,272,288,41,1,0,0,0,127.98,23.57,20,46,127.98,0,0,0,0,0,0,99301,21985
31,7974,6477,1497,6288,5493,0.87357,11,280,288,46,1,0,0,0,127.98,22.02,21,46,127.98,0,0,0,0,0,0,102699,21986
32,8001,6501,1500,6326,5540,0.87575,11,280,280,37,1,0,0,0,127.98,19.17,21,46,127.98,0,0,0,0,0,0,108022,24010
33,8025,6521,1504,6332,5405,0.85360,10,272,280,35,1,0,0,0,127.98,17.70,18,46,127.98,0,0,0,0,0,0,111659,24072
34,7983,6486,1497,6286,4332,0.68915,14,296,304,70,0,1,0,0,127.98,10.26,17,30,127.98,0,0,0,0,0,0,112681,24072
35,8007,6505,1502,6314,4196,0.66455,15,296,304,59,0,0,0,0,127.98,19.84,15,30,127.98,0,0,0,0,0,0,112681,24072
36,7983,6486,1497,6294,4515,0.71735,13,288,296,54,0,0,0,0,127.98,17.01,8,30,127.98,0,0,0,0,0,0,112681,24072
37,8017,6516,1501,6342,4742,0.74771,11,288,304,188,0,0,0,0,127.98,12.03,11,30,127.98,0,0,0,0,0,0,112681,24072
38,7979,6485,1494,6333,4676,0.73835,14,288,304,61,0,0,0,0,127.98,7.67,8,30,127.98,0,0,0,0,0,0,112681,24072
39,8024,6516,1508,6353,4659,0.73335,15,296,304,59,0,0,0,0,127.98,6.11,3,30,127.98,0,0,0,0,0,0,112681,24072
40,7971,6477,1494,6308,4764,0.75523,15,296,304,59,0,0,0,0,127.98,8.46,3,30,127.98,0,0,0,0,0,0,112681,24072
41,8023,6518,1505,6328,4928,0.77876,14,296,304,59,0,0,0,0,127.98,9.90,4,30,127.98,0,0,0,0,0,0,112681,24072
42,8001,6501,1500,6306,4915,0.77942,15,296,304,61,0,0,0,0,127.98,8.23,3,30,127.98,0,0,0,0,0,0,112681,24072
43,7972,6477,1495,6281,4904,0.78077,15,296,304,61,0,0,0,0,127.98,9.21,4,30,127.98,0,0,0,0,0,0,112681,24072
44,8027,6523,1504,6357,5155,0.81092,14,296,304,60,0,0,0,0,127.98,8.37,4,30,127.98,0,0,0,0,0,0,112681,24072
45,7974,6478,1496,6292,5180,0.82327,13,288,296,56,0,0,0,0,127.98,19.50,11,30,127.98,0,0,0,0,0,0,112681,24072
46,8020,6516,1504,6514,5337,0.81931,11,288,296,2560,1,1,1,0,127.98,15.75,13,33,127.98,0,0,0,0,0,0,114526,24135
47,8018,6515,1503,6601,5583,0.84578,11,280,288,41,1,0,0,0,127.98,12.24,11,33,127.98,0,0,0,0,0,0,119776,26198
48,8001,6500,1501,6591,5892,0.89395,10,272,280,35,1,0,0,0,127.98,15.70,12,33,127.98,0,0,0,0,0,0,124221,27218
49,7989,6493,1496,6565,6118,0.93191,10,272,280,34,1,0,0,0,127.98,14.31,11,33,127.98,0,0,0,0,0,0,127753,27218
50,8010,6507,1503,6562,6273,0.95596,12,29,288,45,1,0,0,0,127.98,13.44,11,33,127.98,0,0,0,0,0,0,131116,27218
51,8000,6501,1499,6545,6367,0.97280,10,18,280,35,1,0,0,0,127.98,20.50,13,33,127.98,0,0,0,0,0,0,136378,29123
52,8001,6501,1500,6515,6380,0.97928,10,19,272,44,1,0,0,0,127.98,20.01,13,33,127.98,0,0,0,0,0,0,141948,31357
53,7961,6468,1493,6460,6228,0.96409,9,19,272,36,1,0,0,0,127.98,19.16,13,33,127.98,0,0,0,0,0,0,146559,32448
