t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,7962,6469,1493,6340,5302,0.83628,3,264,424,12,0,0,0,0,127.97,1.98,4,66,127.97,0,0,0,0,0,0,0,0
2,8031,6525,1506,6369,5643,0.88601,4,256,424,14,0,0,0,0,127.97,1.34,4,66,127.97,0,0,0,0,0,0,0,0
3,7972,6478,1494,6314,5760,0.91226,5,264,424,20,0,0,0,0,127.97,1.18,5,66,127.97,0,0,0,0,0,0,0,0
4,8014,6510,1504,6349,5741,0.90424,11,280,448,55,0,0,0,0,127.97,6.19,6,66,127.97,0,0,0,0,0,0,0,0
5,7986,6489,1497,6320,5585,0.88370,13,288,448,61,0,0,0,0,127.97,8.19,7,66,127.97,0,0,0,0,0,0,0,0
6,7998,6500,1498,6338,5589,0.88182,13,288,304,57,0,0,0,0,127.97,6.78,6,66,127.97,0,0,0,0,0,0,0,0
7,8003,6501,1502,6302,5517,0.87544,14,288,304,60,0,0,0,0,127.97,11.14,8,66,127.97,0,0,0,0,0,0,0,0
8,7997,6498,1499,6387,5595,0.87600,12,288,304,1152,1,0,1,0,127.97,9.09,6,67,127.97,0,0,0,0,0,0,854,37
9,8013,6512,1501,6607,5663,0.85712,7,272,280,184,1,1,0,0,127.98,6.83,7,69,127.98,0,0,0,0,0,0,3771,276
10,7988,6488,1500,6580,5880,0.89362,3,256,264,16,1,0,0,0,127.97,5.38,6,69,127.97,0,0,0,0,0,0,8653,2476
11,7997,6498,1499,6567,6000,0.91366,3,256,256,11,1,0,0,0,127.97,4.26,6,69,127.97,0,0,0,0,0,0,11607,2476
12,8000,6500,1500,6545,6009,0.91811,4,256,256,15,1,0,0,0,127.97,6.03,8,69,127.97,0,0,0,0,0,0,15998,3949
13,8012,6511,1501,6572,5857,0.89121,3,256,336,14,1,0,0,0,127.97,11.75,8,69,127.97,0,0,0,0,0,0,22999,8236
14,8005,6503,1502,6542,5685,0.86900,5,264,424,18,1,0,0,0,127.98,14.01,9,69,127.98,0,0,0,0,0,0,26878,8336
