t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,7994,6495,1499,6345,5151,0.81182,15,296,312,68,0,0,0,0,127.98,2.42,5,91,127.98,0,0,0,0,0,0,0,0
2,8039,6531,1508,6388,5175,0.81011,13,304,488,51,0,0,0,0,127.97,4.49,5,91,127.97,0,0,0,0,0,0,0,0
3,7975,6479,1496,6326,5182,0.81916,4,264,424,13,0,0,0,0,127.97,5.75,6,91,127.97,0,0,0,0,0,0,0,0
4,7987,6490,1497,6326,5224,0.82580,4,272,424,12,0,0,0,0,127.97,4.18,7,91,127.97,0,0,0,0,0,0,0,0
5,8023,6519,1504,6351,5438,0.85624,3,264,424,12,0,0,0,0,127.98,3.11,7,91,127.98,0,0,0,0,0,0,0,0
6,7998,6498,1500,6313,5337,0.84540,3,360,424,14,0,0,0,0,127.98,3.74,7,91,127.98,0,0,0,0,0,0,0,0
7,8001,6501,1500,6306,5232,0.82969,3,384,432,12,0,0,0,0,127.98,4.58,6,91,127.98,0,0,0,0,0,0,0,0
8,7978,6482,1496,6383,5244,0.82156,3,352,432,2432,1,0,1,0,127.98,5.99,7,92,127.98,25,0,0,0,0,0,925,50
9,8001,6501,1500,6590,5319,0.80713,4,368,440,2176,1,1,0,0,127.97,6.04,7,102,127.97,4475,0,0,0,0,0,5270,1057
10,8009,6507,1502,6601,5453,0.82609,3,376,432,2240,1,0,0,0,127.97,10.41,10,102,127.97,0,0,0,0,0,0,11847,4042
11,8011,6511,1500,6561,4589,0.69944,4,392,432,3328,1,1,0,0,114.97,9.75,11,105,114.97,4373,0,0,0,0,0,19356,8107
12,8017,6511,1506,6556,4978,0.75930,4,368,432,2688,1,1,0,0,103.75,9.74,12,105,103.75,2398,0,0,0,0,0,25109,10312
13,8000,6508,1492,6514,5099,0.78278,4,352,424,624,1,0,0,0,109.28,9.69,13,105,109.28,0,0,0,0,0,0,29117,10615
14,7962,6461,1501,6447,5408,0.83884,4,264,432,68,1,0,0,0,113.34,9.63,10,105,113.34,0,0,0,0,0,0,32816,10615
15,7999,6500,1499,6478,5285,0.81584,3,256,384,2496,1,1,0,0,108.48,11.65,9,108,108.48,5440,0,0,0,0,0,37747,12730
16,8015,6512,1503,6472,5452,0.84240,3,256,352,2432,1,0,0,0,112.46,12.48,10,108,112.47,0,0,0,0,0,0,43578,16010
17,7985,6487,1498,6446,4935,0.76559,5,264,344,2368,1,1,0,0,96.79,11.41,9,111,96.79,3663,0,0,0,0,0,47963,17190
18,8000,6501,1499,6436,4719,0.73322,7,264,288,1920,1,0,0,0,103.50,15.75,11,111,103.50,0,0,0,0,0,0,54135,19842
19,8000,6500,1500,6410,4892,0.76318,8,272,280,2432,1,1,0,0,94.79,24.25,14,114,94.79,3287,0,0,0,0,0,59161,21893
20,8005,6504,1501,6422,4946,0.77017,4,256,264,1536,1,0,0,0,100.56,24.32,15,114,100.56,0,0,0,0,0,0,63921,24091
21,7997,6498,1499,6414,5064,0.78952,5,264,272,2560,1,1,0,0,92.80,24.43,18,116,92.80,4738,0,0,0,0,0,68256,25125
22,8035,6528,1507,6426,5113,0.79567,8,272,280,2880,1,0,0,0,97.92,24.41,15,116,97.93,0,0,0,0,0,0,74765,28294
23,7963,6470,1493,6338,4525,0.71395,11,280,288,3968,1,1,0,0,86.30,17.96,11,112,86.31,3093,0,0,0,0,0,80739,31176
24,8004,6503,1501,6357,4796,0.75444,12,280,296,66,1,0,0,0,92.40,17.96,11,112,92.40,0,0,0,0,0,0,84109,31177
25,8034,6531,1503,6368,4824,0.75754,12,280,296,2624,0,2,0,0,82.95,18.01,13,112,82.96,287,0,0,0,0,0,87099,32371
26,7999,6499,1500,6339,4654,0.73419,8,272,288,51,0,0,0,0,89.53,19.39,13,112,89.54,0,0,0,0,0,0,87099,32371
27,7997,6496,1501,6349,4864,0.76610,14,288,304,60,0,0,0,0,95.34,19.67,14,112,95.34,0,0,0,0,0,0,87099,32371
