t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,7973,6478,1495,6331,5128,0.80998,13,296,496,57,0,0,0,0,127.97,2.38,5,86,127.97,0,0,0,0,0,0,0,0
2,8004,6502,1502,6350,5132,0.80819,10,304,472,41,0,0,0,0,127.97,4.37,5,86,127.97,0,0,0,0,0,0,0,0
3,8003,6502,1501,6357,5163,0.81218,4,344,424,13,0,0,0,0,127.98,5.67,6,86,127.98,0,0,0,0,0,0,0,0
4,8000,6501,1499,6332,5327,0.84128,3,264,424,13,0,0,0,0,127.97,4.20,7,86,127.97,0,0,0,0,0,0,0,0
5,7983,6485,1498,6326,5372,0.84919,3,352,432,13,0,0,0,0,127.98,3.13,7,86,127.98,0,0,0,0,0,0,0,0
6,8020,6516,1504,6341,5346,0.84308,3,352,424,12,0,0,0,0,127.98,3.63,7,86,127.98,0,0,0,0,0,0,0,0
7,8006,6505,1501,6299,5246,0.83283,3,384,424,12,0,0,0,0,127.98,5.15,7,86,127.98,0,0,0,0,0,0,0,0
8,7973,6478,1495,6339,5326,0.84020,3,288,424,1664,1,0,1,0,127.97,5.78,9,87,127.97,611,0,0,0,847,57,346,239
9,8027,6522,1505,6608,5556,0.84080,3,352,432,2432,1,1,0,0,127.95,7.40,6,97,127.95,4302,0,0,0,2035,295,3223,937
10,7975,6483,1492,6563,5536,0.84352,3,392,432,448,1,0,0,0,127.96,10.29,11,97,127.96,0,0,0,0,2719,432,6751,1458
11,8000,6496,1504,6565,5517,0.84037,3,392,432,64,1,0,0,0,127.96,16.86,15,97,127.96,0,0,0,0,4787,503,10967,4041
12,8001,6504,1497,6568,5610,0.85414,4,400,432,688,1,1,0,0,104.71,5.25,9,100,104.72,3893,718,248,0,5618,938,13927,4130
13,8007,6505,1502,6509,5719,0.87863,3,400,432,22,1,0,0,0,112.82,10.30,12,100,112.82,0,718,248,0,6904,2008,17522,5268
14,8001,6499,1502,6496,5753,0.88562,4,360,432,352,1,0,0,0,120.07,14.62,13,100,120.07,0,718,248,0,8016,2727,21182,6334
15,7992,6494,1498,6483,5774,0.89064,4,256,424,1568,1,1,0,0,112.18,18.35,15,103,112.18,3048,794,314,0,8987,3180,24584,7145
16,8013,6510,1503,6484,5734,0.88433,3,256,400,18,1,0,0,0,119.11,24.64,18,103,119.12,0,794,314,0,10011,3477,27681,8300
17,7990,6492,1498,6459,5717,0.88512,4,264,384,25,1,0,0,0,123.01,25.43,17,103,123.01,0,794,314,0,10268,3681,30199,8300
18,7996,6499,1497,6467,5757,0.89021,3,264,376,2176,1,1,0,0,113.74,21.32,16,105,113.75,5477,828,348,0,10421,4114,33648,9245
19,8000,6498,1502,6443,5859,0.90936,3,256,416,13,1,0,0,0,122.74,35.84,21,105,122.74,0,828,348,0,12139,4682,36312,10454
20,8000,6500,1500,6433,5809,0.90300,3,256,384,208,1,0,0,0,127.40,38.35,25,105,127.40,0,828,348,0,12987,5067,39541,11611
21,8009,6508,1501,6456,5893,0.91279,4,256,392,1024,1,0,0,0,127.97,37.39,25,105,127.97,0,828,348,0,13704,5238,41926,11847
22,8011,6508,1503,6393,5780,0.90411,3,256,408,152,1,1,0,0,104.11,19.90,14,108,104.11,3125,1009,510,0,14689,6520,44785,12725
23,7981,6487,1494,6401,5831,0.91095,4,264,416,2176,1,0,0,0,112.85,26.80,18,108,112.86,0,1009,510,0,16356,7694,46942,13405
24,8000,6499,1501,6388,5842,0.91453,4,352,408,25,1,0,0,0,117.16,29.05,20,108,117.16,0,1009,510,0,16913,8443,49668,13845
25,8001,6499,1502,6363,5839,0.91765,3,352,416,19,1,0,0,0,123.56,29.09,21,108,123.56,0,1009,510,0,18026,8997,51596,13845
26,8010,6509,1501,6397,5838,0.91262,3,352,384,528,1,1,0,0,113.66,24.60,17,111,113.66,3727,1043,542,0,18026,9479,54830,14431
27,7987,6490,1497,6366,5786,0.90889,3,352,416,18,1,0,0,0,120.27,32.78,20,111,120.27,0,1043,542,0,19138,10270,57181,14866
28,8000,6499,1501,6383,5760,0.90240,3,360,416,14,1,0,0,0,126.63,36.71,22,111,126.63,0,1043,542,0,20251,10772,59958,15741
29,8036,6531,1505,6413,5871,0.91548,4,352,392,40,1,0,0,0,127.69,31.95,24,111,127.69,0,1043,542,0,20251,11122,62660,15741
30,7965,6471,1494,6339,5876,0.92696,3,344,392,2368,1,1,0,0,119.69,21.71,16,114,119.69,3960,1053,544,0,20251,11379,65293,15743
31,8034,6528,1506,6373,5886,0.92358,4,352,392,16,1,0,0,0,122.46,26.93,17,114,122.46,0,1053,544,0,20473,11962,68259,16162
32,8001,6499,1502,6361,5870,0.92281,4,352,408,13,1,0,0,0,127.63,25.49,16,114,127.63,0,1053,544,0,21363,12321,70847,16681
33,7971,6478,1493,6332,5640,0.89071,4,376,416,264,1,0,0,0,127.98,27.73,23,114,127.98,0,2006,583,0,23118,12546,74455,18893
34,8006,6504,1502,6335,5420,0.85556,4,400,424,38,1,1,0,0,117.74,20.27,13,110,117.74,420,3386,735,0,25333,13556,76897,20246
35,7994,6498,1496,6302,5331,0.84592,4,368,408,23,1,0,0,0,122.31,21.01,13,110,122.31,0,3386,735,0,25533,14442,79476,20246
36,8008,6504,1504,6312,5407,0.85662,3,360,392,15,1,0,0,0,125.85,21.01,13,110,125.85,0,3386,735,0,25533,14933,82234,20246
37,8019,6514,1505,6371,5487,0.86125,4,368,424,1600,1,1,0,0,127.87,20.34,18,112,127.87,2510,3803,891,0,26501,15462,85221,21262
38,7968,6475,1493,6351,5240,0.82507,3,360,400,22,1,0,0,0,127.97,18.61,12,112,127.97,0,4929,1543,0,26645,15925,87831,21262
39,8020,6516,1504,6408,5129,0.80041,4,368,400,18,1,0,0,0,127.97,20.66,16,112,127.97,0,6073,2108,0,26645,16228,91049,21779
40,7978,6483,1495,6358,5035,0.79192,3,376,424,212,1,0,0,0,127.97,22.97,18,112,127.97,0,8504,3382,0,28041,16441,94587,23675
41,8008,6506,1502,6327,4819,0.76166,4,392,424,2048,1,2,0,0,120.74,12.08,10,114,120.74,2199,9447,3865,0,29865,17198,96498,24230
42,7993,6493,1500,6305,4969,0.78810,4,360,400,18,1,0,0,0,127.05,14.18,11,114,127.05,0,9475,3873,0,30176,17923,99021,24240
