t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,7962,6469,1493,6314,5154,0.81628,14,296,304,64,0,0,0,0,127.98,2.55,5,86,127.98,0,0,0,0,0,0,0,0
2,8039,6531,1508,6368,5133,0.80606,14,296,304,60,0,0,0,0,127.97,4.38,5,86,127.97,0,0,0,0,0,0,0,0
3,7998,6498,1500,6342,5155,0.81284,14,288,304,62,0,0,0,0,127.98,5.70,6,86,127.98,0,0,0,0,0,0,0,0
4,7999,6499,1500,6331,5256,0.83020,14,288,304,59,0,0,0,0,127.98,4.14,7,86,127.98,0,0,0,0,0,0,0,0
5,8002,6502,1500,6337,5424,0.85593,12,280,296,56,0,0,0,0,127.98,3.14,7,86,127.98,0,0,0,0,0,0,0,0
6,8001,6503,1498,6308,5316,0.84274,14,288,304,59,0,0,0,0,127.98,3.63,7,86,127.98,0,0,0,0,0,0,0,0
7,7962,6466,1496,6268,5225,0.83360,13,288,304,55,0,0,0,0,127.98,5.13,7,86,127.98,0,0,0,0,0,0,0,0
8,8036,6530,1506,6412,5290,0.82502,13,288,304,2304,1,0,1,0,127.98,5.97,7,87,127.98,21,0,0,0,0,0,761,26
9,7976,6481,1495,6574,5301,0.80636,10,272,288,2560,1,1,0,0,121.41,5.75,8,97,121.42,4441,0,0,0,0,0,4114,396
10,8026,6521,1505,6592,5479,0.83116,12,280,288,176,1,0,0,0,125.76,9.18,10,97,125.76,0,0,0,0,0,0,7422,396
11,8000,6499,1501,6594,5556,0.84258,9,272,280,1536,1,0,0,0,127.97,12.10,11,97,127.97,0,0,0,0,0,0,12723,2374
12,7997,6498,1499,6529,4677,0.71634,11,272,280,2432,1,1,0,0,124.24,13.19,11,100,124.24,2224,0,0,0,0,0,17195,3587
13,7964,6474,1490,6480,4940,0.76235,12,280,296,2368,1,1,0,0,107.10,8.15,15,102,107.10,4792,0,0,0,0,0,21428,4684
14,7999,6496,1503,6496,4965,0.76432,12,280,288,72,1,0,0,0,113.08,8.12,11,102,113.08,0,0,0,0,0,0,24794,4686
15,8023,6519,1504,6509,5400,0.82962,8,272,280,1824,1,0,0,0,117.41,8.12,11,102,117.41,0,0,0,0,0,0,29396,5783
16,8017,6515,1502,6480,5223,0.80602,8,272,280,2432,1,1,0,0,108.23,10.88,9,98,108.23,3841,0,0,0,0,0,33764,6721
