t,type,level,bytes
-29.902,flush_begin,0,0
-29.880,flush_end,0,6638552
-29.871,flush_begin,0,0
-29.850,flush_end,0,6638554
-29.841,flush_begin,0,0
-29.822,flush_end,0,6638553
-29.814,flush_begin,0,0
-29.796,flush_end,0,6638553
-29.788,flush_begin,0,0
-29.772,flush_end,0,6638553
-29.763,flush_begin,0,0
-29.747,flush_end,0,6638554
-29.739,flush_begin,0,0
-29.723,flush_end,0,6638552
-29.715,flush_begin,0,0
-29.699,flush_end,0,6638554
-29.691,flush_begin,0,0
-29.675,flush_end,0,6638554
-29.667,flush_begin,0,0
-29.649,flush_end,0,6638552
-29.640,flush_begin,0,0
-29.622,flush_end,0,6638553
-29.614,flush_begin,0,0
-29.598,flush_end,0,6638553
-29.590,flush_begin,0,0
-29.574,flush_end,0,6638554
-29.566,flush_begin,0,0
-29.550,flush_end,0,6638552
-29.542,flush_begin,0,0
-29.525,flush_end,0,6638554
-29.517,flush_begin,0,0
-29.501,flush_end,0,6638554
-29.493,flush_begin,0,0
-29.476,flush_end,0,6638552
-29.458,trivial_move,3,6638552
-29.458,flush_begin,0,0
-29.442,flush_end,0,6638555
-29.423,trivial_move,3,6638554
-29.423,flush_begin,0,0
-29.407,flush_end,0,6638553
-29.389,trivial_move,3,6638553
-29.389,flush_begin,0,0
-29.373,flush_end,0,6638553
-29.354,trivial_move,3,6638553
-29.354,flush_begin,0,0
-29.338,flush_end,0,6638552
-29.320,trivial_move,3,6638553
-29.320,flush_begin,0,0
-29.304,flush_end,0,6638554
-29.286,trivial_move,3,6638554
-29.286,flush_begin,0,0
-29.270,flush_end,0,6638554
-29.252,trivial_move,3,6638552
-29.252,flush_begin,0,0
-29.228,flush_end,0,6638552
-29.210,trivial_move,3,6638554
-29.210,flush_begin,0,0
-29.192,flush_end,0,6638554
-29.175,trivial_move,3,6638554
-29.175,flush_begin,0,0
-29.158,flush_end,0,6638553
-29.140,trivial_move,3,6638552
-29.140,flush_begin,0,0
-29.124,flush_end,0,6638553
-29.106,trivial_move,3,6638553
-29.106,flush_begin,0,0
-29.090,flush_end,0,6638553
-29.072,trivial_move,3,6638553
-29.072,flush_begin,0,0
-29.056,flush_end,0,6638554
-29.037,trivial_move,3,6638554
-29.037,flush_begin,0,0
-29.021,flush_end,0,6638553
-29.003,trivial_move,3,6638552
-29.003,flush_begin,0,0
-28.987,flush_end,0,6638552
-28.969,trivial_move,3,6638554
-28.969,flush_begin,0,0
-28.953,flush_end,0,6638554
-28.935,trivial_move,3,6638554
-28.935,flush_begin,0,0
-28.918,flush_end,0,6638553
-28.900,trivial_move,3,6638552
-28.900,flush_begin,0,0
-28.884,flush_end,0,6638553
-28.866,trivial_move,3,6638555
-28.866,flush_begin,0,0
-28.850,flush_end,0,6638553
-28.832,trivial_move,3,6638553
-28.832,flush_begin,0,0
-28.816,flush_end,0,6638555
-28.797,trivial_move,3,6638553
-28.797,flush_begin,0,0
-28.782,flush_end,0,6638553
-28.764,trivial_move,3,6638552
-28.764,flush_begin,0,0
-28.749,flush_end,0,6638553
-28.732,trivial_move,3,6638554
-28.732,flush_begin,0,0
-28.717,flush_end,0,6638554
-28.700,trivial_move,3,6638554
-28.700,flush_begin,0,0
-28.684,flush_end,0,6638552
-28.666,trivial_move,3,6638552
-28.666,flush_begin,0,0
-28.650,flush_end,0,6638553
-28.633,trivial_move,3,6638554
-28.633,flush_begin,0,0
-28.617,flush_end,0,6638553
-28.599,trivial_move,3,6638553
-28.599,flush_begin,0,0
-28.583,flush_end,0,6638554
-28.565,trivial_move,3,6638553
-28.565,flush_begin,0,0
-28.549,flush_end,0,6638553
-28.531,trivial_move,3,6638553
-28.531,flush_begin,0,0
-28.515,flush_end,0,6638553
-28.496,trivial_move,3,6638554
-28.496,flush_begin,0,0
-28.480,flush_end,0,6638554
-28.462,trivial_move,3,6638553
-28.462,flush_begin,0,0
-28.446,flush_end,0,6638552
-28.427,trivial_move,3,6638552
-28.427,flush_begin,0,0
-28.411,flush_end,0,6638554
-28.393,trivial_move,3,6638554
-28.393,flush_begin,0,0
-28.374,flush_end,0,6638553
-28.356,trivial_move,3,6638553
-28.356,flush_begin,0,0
-28.340,flush_end,0,6638553
-28.322,trivial_move,3,6638553
-28.322,flush_begin,0,0
-28.305,flush_end,0,6638553
-28.287,trivial_move,3,6638553
-28.287,flush_begin,0,0
-28.270,flush_end,0,6638553
-28.251,trivial_move,3,6638555
-28.251,flush_begin,0,0
-28.235,flush_end,0,6638555
-28.215,trivial_move,3,6638553
-28.215,flush_begin,0,0
