t,type,level,bytes
-29.934,flush_begin,0,0
-29.918,flush_end,0,6638552
-29.909,flush_begin,0,0
-29.894,flush_end,0,6638554
-29.885,flush_begin,0,0
-29.870,flush_end,0,6638553
-29.861,flush_begin,0,0
-29.845,flush_end,0,6638553
-29.836,flush_begin,0,0
-29.820,flush_end,0,6638553
-29.811,flush_begin,0,0
-29.794,flush_end,0,6638554
-29.786,flush_begin,0,0
-29.769,flush_end,0,6638552
-29.761,flush_begin,0,0
-29.744,flush_end,0,6638554
-29.736,flush_begin,0,0
-29.719,flush_end,0,6638554
-29.711,flush_begin,0,0
-29.695,flush_end,0,6638552
-29.685,flush_begin,0,0
-29.669,flush_end,0,6638553
-29.661,flush_begin,0,0
-29.644,flush_end,0,6638553
-29.635,flush_begin,0,0
-29.620,flush_end,0,6638554
-29.611,flush_begin,0,0
-29.593,flush_end,0,6638552
-29.584,flush_begin,0,0
-29.569,flush_end,0,6638554
-29.560,flush_begin,0,0
-29.544,flush_end,0,6638554
-29.526,trivial_move,3,6638552
-29.526,flush_begin,0,0
-29.510,flush_end,0,6638552
-29.502,flush_begin,0,0
-29.486,flush_end,0,6638555
-29.471,trivial_move,3,6638554
-29.460,trivial_move,3,6638553
-29.460,flush_begin,0,0
-29.443,flush_end,0,6638553
-29.426,trivial_move,3,6638553
-29.426,flush_begin,0,0
-29.409,flush_end,0,6638553
-29.390,trivial_move,3,6638553
-29.390,flush_begin,0,0
-29.374,flush_end,0,6638552
-29.359,trivial_move,3,6638554
-29.358,flush_begin,0,0
-29.341,flush_end,0,6638554
-29.324,trivial_move,3,6638552
-29.323,flush_begin,0,0
-29.307,flush_end,0,6638554
-29.290,trivial_move,3,6638554
-29.290,flush_begin,0,0
-29.273,flush_end,0,6638552
-29.256,trivial_move,3,6638554
-29.256,flush_begin,0,0
-29.238,flush_end,0,6638554
-29.220,trivial_move,3,6638552
-29.220,flush_begin,0,0
-29.204,flush_end,0,6638553
-29.183,trivial_move,3,6638553
-29.183,flush_begin,0,0
-29.166,flush_end,0,6638553
-29.158,flush_begin,0,0
-29.142,flush_end,0,6638553
-29.126,trivial_move,3,6638553
-29.118,trivial_move,3,6638554
-29.118,flush_begin,0,0
-29.101,flush_end,0,6638554
-29.085,trivial_move,3,6638552
-29.085,flush_begin,0,0
-29.069,flush_end,0,6638553
-29.060,flush_begin,0,0
-29.044,flush_end,0,6638552
-29.027,trivial_move,3,6638554
-29.027,flush_begin,0,0
-29.012,flush_end,0,6638554
-28.996,trivial_move,3,6638554
-28.996,flush_begin,0,0
-28.981,flush_end,0,6638553
-28.964,trivial_move,3,6638552
-28.964,flush_begin,0,0
-28.948,flush_end,0,6638553
-28.940,flush_begin,0,0
-28.925,flush_end,0,6638553
-28.916,flush_begin,0,0
-28.901,flush_end,0,6638555
-28.883,trivial_move,3,6638555
-28.883,flush_begin,0,0
-28.867,flush_end,0,6638553
-28.859,flush_begin,0,0
-28.844,flush_end,0,6638553
-28.827,trivial_move,3,6638553
-28.827,flush_begin,0,0
