t,type,level,bytes
-29.925,flush_begin,0,0
-29.908,flush_end,0,6638552
-29.899,flush_begin,0,0
-29.883,flush_end,0,6638554
-29.874,flush_begin,0,0
-29.858,flush_end,0,6638553
-29.849,flush_begin,0,0
-29.834,flush_end,0,6638553
-29.825,flush_begin,0,0
-29.809,flush_end,0,6638553
-29.801,flush_begin,0,0
-29.786,flush_end,0,6638554
-29.777,flush_begin,0,0
-29.761,flush_end,0,6638552
-29.753,flush_begin,0,0
-29.738,flush_end,0,6638554
-29.729,flush_begin,0,0
-29.714,flush_end,0,6638554
-29.705,flush_begin,0,0
-29.689,flush_end,0,6638552
-29.680,flush_begin,0,0
-29.665,flush_end,0,6638553
-29.657,flush_begin,0,0
-29.641,flush_end,0,6638553
-29.632,flush_begin,0,0
-29.617,flush_end,0,6638554
-29.608,flush_begin,0,0
-29.592,flush_end,0,6638552
-29.583,flush_begin,0,0
-29.568,flush_end,0,6638554
-29.559,flush_begin,0,0
-29.543,flush_end,0,6638554
-29.534,flush_begin,0,0
-29.519,flush_end,0,6638552
-29.501,trivial_move,3,6638552
-29.501,flush_begin,0,0
-29.485,flush_end,0,6638555
-29.476,flush_begin,0,0
-29.461,flush_end,0,6638553
-29.443,trivial_move,3,6638554
-29.443,flush_begin,0,0
-29.426,flush_end,0,6638553
-29.408,trivial_move,3,6638553
-29.408,flush_begin,0,0
-29.392,flush_end,0,6638552
-29.384,flush_begin,0,0
-29.367,flush_end,0,6638554
-29.349,trivial_move,3,6638553
-29.349,flush_begin,0,0
-29.333,flush_end,0,6638554
-29.315,trivial_move,3,6638553
-29.315,flush_begin,0,0
-29.299,flush_end,0,6638552
-29.282,trivial_move,3,6638554
-29.282,flush_begin,0,0
-29.265,flush_end,0,6638554
-29.257,flush_begin,0,0
-29.241,flush_end,0,6638553
-29.222,trivial_move,3,6638552
-29.222,flush_begin,0,0
-29.206,flush_end,0,6638553
-29.187,trivial_move,3,6638554
-29.187,flush_begin,0,0
-29.171,flush_end,0,6638553
-29.152,trivial_move,3,6638554
-29.152,flush_begin,0,0
-29.136,flush_end,0,6638554
-29.127,flush_begin,0,0
-29.110,flush_end,0,6638553
-29.092,trivial_move,3,6638552
-29.092,flush_begin,0,0
-29.075,flush_end,0,6638552
-29.056,trivial_move,3,6638553
-29.056,flush_begin,0,0
-29.040,flush_end,0,6638554
-29.024,trivial_move,3,6638553
-29.024,flush_begin,0,0
-29.006,flush_end,0,6638553
-28.991,trivial_move,3,6638554
-28.981,trivial_move,3,6638552
-28.981,flush_begin,0,0
-28.956,flush_end,0,6638553
-28.938,trivial_move,3,6638554
-28.938,flush_begin,0,0
-28.921,flush_end,0,6638553
-28.903,trivial_move,3,6638554
-28.903,flush_begin,0,0
-28.886,flush_end,0,6638555
-28.867,trivial_move,3,6638552
-28.867,flush_begin,0,0
-28.852,flush_end,0,6638553
-28.834,trivial_move,3,6638555
-28.834,flush_begin,0,0
-28.817,flush_end,0,6638553
-28.808,flush_begin,0,0
-28.792,flush_end,0,6638554
-28.774,trivial_move,3,6638553
-28.774,flush_begin,0,0
-28.757,flush_end,0,6638552
-28.749,flush_begin,0,0
-28.734,flush_end,0,6638553
-28.718,trivial_move,3,6638553
-28.710,trivial_move,3,6638552
-28.700,trivial_move,3,6638554
-28.700,flush_begin,0,0
-28.682,flush_end,0,6638553
-28.665,trivial_move,3,6638554
-28.665,flush_begin,0,0
-28.648,flush_end,0,6638554
-28.630,trivial_move,3,6638552
-28.630,flush_begin,0,0
-28.611,flush_end,0,6638553
-28.593,trivial_move,3,6638554
-28.593,flush_begin,0,0
-28.576,flush_end,0,6638553
-28.567,flush_begin,0,0
-28.551,flush_end,0,6638554
-28.536,trivial_move,3,6638553
-28.536,flush_begin,0,0
-28.520,flush_end,0,6638552
-28.501,trivial_move,3,6638553
-28.501,flush_begin,0,0
-28.485,flush_end,0,6638554
-28.469,trivial_move,3,6638553
-28.469,flush_begin,0,0
-28.453,flush_end,0,6638553
-28.434,trivial_move,3,6638554
-28.434,flush_begin,0,0
-28.418,flush_end,0,6638553
-28.400,trivial_move,3,6638553
-28.400,flush_begin,0,0
-28.383,flush_end,0,6638553
-28.365,trivial_move,3,6638552
-28.365,flush_begin,0,0
-28.348,flush_end,0,6638553
-28.329,trivial_move,3,6638554
-28.329,flush_begin,0,0
-28.311,flush_end,0,6638555
-28.293,trivial_move,3,6638553
-28.293,flush_begin,0,0
-28.276,flush_end,0,6638552
-28.257,trivial_move,3,6638553
-28.257,flush_begin,0,0
-28.240,flush_end,0,6638554
-28.220,trivial_move,3,6638553
-28.220,flush_begin,0,0
-28.203,flush_end,0,6638553
-28.184,trivial_move,3,6638555
-28.184,flush_begin,0,0
-28.168,flush_end,0,6638553
-28.152,trivial_move,3,6638553
-28.142,trivial_move,3,6638553
-28.142,flush_begin,0,0
-28.125,flush_end,0,6638554
-28.109,trivial_move,3,6638554
-28.109,flush_begin,0,0
-28.092,flush_end,0,6638553
-28.074,trivial_move,3,6638552
-28.074,flush_begin,0,0
-28.058,flush_end,0,6638553
-28.042,trivial_move,3,6638553
-28.032,trivial_move,3,6638553
-28.032,flush_begin,0,0
-28.015,flush_end,0,6638552
-28.007,flush_begin,0,0
-27.992,flush_end,0,6638554
-27.974,trivial_move,3,6638554
-27.974,flush_begin,0,0
-27.958,flush_end,0,6638553
-27.942,trivial_move,3,6638553
-27.942,flush_begin,0,0
-27.926,flush_end,0,6638553
-27.908,trivial_move,3,6638553
-27.908,flush_begin,0,0
-27.892,flush_end,0,6638554
-27.873,trivial_move,3,6638554
-27.873,flush_begin,0,0
-27.857,flush_end,0,6638553
-27.840,trivial_move,3,6638552
-27.840,flush_begin,0,0
-27.823,flush_end,0,6638553
-27.806,trivial_move,3,6638554
-27.806,flush_begin,0,0
-27.791,flush_end,0,6638553
-27.775,trivial_move,3,6638553
-27.764,trivial_move,3,6638553
-27.764,flush_begin,0,0
-27.748,flush_end,0,6638554
-27.732,trivial_move,3,6638553
-27.724,trivial_move,3,6638553
-27.715,trivial_move,3,6638555
-27.715,flush_begin,0,0
-27.699,flush_end,0,6638552
-27.683,trivial_move,3,6638552
-27.683,flush_begin,0,0
-27.677,flush_end,0,1164547
-27.661,trivial_move,3,6638554
-27.661,compaction_begin,2,0
-27.521,compaction_end,2,73027477
-27.511,compaction_begin,2,0
-27.460,compaction_end,2,27720113
10.195,flush_begin,0,0
10.239,flush_end,0,6621925
10.309,compaction_begin,2,0
40.036,compaction_end,2,467203219
47.835,flush_begin,0,0
47.890,flush_end,0,6616817
47.961,compaction_begin,2,0
76.649,compaction_end,2,468521142
85.479,flush_begin,0,0
85.532,flush_end,0,6617130
85.602,compaction_begin,2,0
115.075,compaction_end,2,469837521
123.120,flush_begin,0,0
123.162,flush_end,0,6622679
123.231,compaction_begin,2,0
152.086,compaction_end,2,471150274
160.765,flush_begin,0,0
160.806,flush_end,0,6615139
160.879,compaction_begin,2,0
