t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8005,6504,1501,6347,5171,0.81472,13,344,352,59,0,0,0,0,127.98,2.24,3,58,127.98,0,0,0,0,0,0,0,0
2,8020,6517,1503,6359,5147,0.80940,13,344,352,61,0,0,0,0,127.98,4.39,5,58,127.98,0,0,0,0,0,0,0,0
3,8050,6540,1510,6398,5228,0.81713,13,344,352,72,0,0,0,0,127.98,3.12,4,58,127.98,0,0,0,0,0,0,0,0
4,8000,6504,1496,6334,5279,0.83344,12,336,344,66,0,0,0,0,127.98,2.06,5,58,127.98,0,0,0,0,0,0,0,0
5,7980,6479,1501,6312,5355,0.84838,12,344,352,66,0,0,0,0,127.98,1.43,5,58,127.98,0,0,0,0,0,0,0,0
6,7938,6452,1486,6272,5272,0.84056,12,344,352,62,0,0,0,0,127.98,0.61,4,58,127.98,0,0,0,0,0,0,0,0
7,8005,6503,1502,6321,5241,0.82914,13,344,352,62,0,0,0,0,127.97,2.42,3,58,127.97,0,0,0,0,0,0,0,0
8,8016,6512,1504,6400,5299,0.82797,9,320,328,62,1,0,1,0,127.97,4.95,4,59,127.97,32751,0,0,0,0,0,662,0
9,8007,6506,1501,6615,5335,0.80650,9,320,336,32,1,0,0,0,127.97,7.21,5,59,127.97,0,0,0,0,0,0,4016,203
10,7982,6485,1497,6554,5245,0.80027,14,344,352,56,1,0,0,0,127.97,10.31,6,59,127.97,0,0,0,0,0,0,8114,1450
11,7994,6495,1499,6568,5048,0.76857,15,344,360,57,1,0,0,0,127.97,10.03,6,59,127.97,0,0,0,0,0,0,11666,2182
12,8041,6537,1504,6573,5060,0.76982,15,344,352,54,1,0,0,0,127.97,7.39,4,59,127.97,0,0,0,0,0,0,15421,3109
13,8026,6519,1507,6560,5332,0.81280,15,344,352,62,1,0,0,0,127.97,3.49,3,59,127.97,0,0,0,0,0,0,18953,3873
14,7960,6467,1493,6506,5509,0.84676,15,344,352,55,1,0,0,0,127.98,3.36,3,59,127.98,0,0,0,0,0,0,21876,3873
15,7976,6485,1491,6484,5660,0.87292,15,344,352,55,1,0,0,0,127.98,3.31,2,59,127.98,0,0,0,0,0,0,25679,4854
16,8002,6499,1503,6499,5686,0.87490,16,344,352,54,1,0,0,0,127.97,8.19,3,59,127.97,0,0,0,0,0,0,28577,4855
17,8071,6559,1512,6596,5783,0.87674,14,336,352,57,1,0,0,0,127.97,8.19,3,59,127.97,0,0,0,0,0,0,31580,4855
