t,type,level,bytes
-29.917,flush_begin,0,0
-29.901,flush_end,0,6638552
-29.891,flush_begin,0,0
-29.875,flush_end,0,6638554
-29.866,flush_begin,0,0
-29.850,flush_end,0,6638553
-29.841,flush_begin,0,0
-29.824,flush_end,0,6638553
-29.815,flush_begin,0,0
-29.800,flush_end,0,6638553
-29.790,flush_begin,0,0
-29.774,flush_end,0,6638554
-29.764,flush_begin,0,0
-29.749,flush_end,0,6638552
-29.739,flush_begin,0,0
-29.722,flush_end,0,6638554
-29.713,flush_begin,0,0
-29.698,flush_end,0,6638554
-29.689,flush_begin,0,0
-29.674,flush_end,0,6638552
-29.665,flush_begin,0,0
-29.650,flush_end,0,6638553
-29.641,flush_begin,0,0
-29.625,flush_end,0,6638553
-29.616,flush_begin,0,0
-29.601,flush_end,0,6638554
-29.592,flush_begin,0,0
-29.577,flush_end,0,6638552
-29.568,flush_begin,0,0
-29.552,flush_end,0,6638554
-29.543,flush_begin,0,0
-29.528,flush_end,0,6638554
-29.513,trivial_move,3,6638552
-29.512,flush_begin,0,0
-29.496,flush_end,0,6638552
-29.480,trivial_move,3,6638554
-29.480,flush_begin,0,0
-29.464,flush_end,0,6638555
-29.448,trivial_move,3,6638553
-29.448,flush_begin,0,0
-29.432,flush_end,0,6638553
-29.416,trivial_move,3,6638553
-29.416,flush_begin,0,0
-29.399,flush_end,0,6638553
-29.383,trivial_move,3,6638553
-29.383,flush_begin,0,0
-29.367,flush_end,0,6638552
-29.351,trivial_move,3,6638554
-29.351,flush_begin,0,0
-29.334,flush_end,0,6638554
-29.318,trivial_move,3,6638552
-29.318,flush_begin,0,0
-29.302,flush_end,0,6638554
-29.287,trivial_move,3,6638554
-29.286,flush_begin,0,0
-29.271,flush_end,0,6638552
-29.254,trivial_move,3,6638554
-29.254,flush_begin,0,0
-29.239,flush_end,0,6638554
-29.222,trivial_move,3,6638552
-29.222,flush_begin,0,0
-29.206,flush_end,0,6638553
-29.190,trivial_move,3,6638553
-29.190,flush_begin,0,0
-29.174,flush_end,0,6638553
-29.158,trivial_move,3,6638553
-29.157,flush_begin,0,0
-29.141,flush_end,0,6638553
-29.125,trivial_move,3,6638554
-29.125,flush_begin,0,0
-29.108,flush_end,0,6638554
-29.093,trivial_move,3,6638552
-29.092,flush_begin,0,0
